ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",23965,-0.0127,0.1632,0.8238,0.0131,18942,0.918,0.082,0.0155,0.0334,0.0051,0.0234,0.0004,
"2",23089,-0.0488,0.2323,0.7569,0.0108,17753,0.7755,0.2245,0.0316,0.1678,0.0074,0.0167,0.0009,
"3",25373,0.0453,0.2042,0.7859,0.0099,19694,0.853,0.147,0.0208,0.1039,0.0032,0.0165,0.0007,
"4",23122,-0.0474,0.2107,0.7797,0.0096,17768,0.7906,0.2094,0.0393,0.1555,0.002,0.0117,0.0005,
"5",23345,-0.0382,0.6431,0.3473,0.0097,18730,0.358,0.642,0.0298,0.5971,0.0041,0.0128,0.0019,
"6",23733,-0.0222,0.3882,0.5959,0.0159,17739,0.6078,0.3922,0.0377,0.3144,0.0191,0.0181,0.0012,
"7",24015,-0.0106,0.3741,0.6134,0.0125,18618,0.6155,0.3845,0.0377,0.2939,0.0339,0.019,0.001,
"8",23708,-0.0233,0.3007,0.6876,0.0117,18356,0.7323,0.2677,0.0217,0.2253,0.0038,0.0139,0.0011,
"9",24472,0.0082,0.6592,0.3305,0.0103,18437,0.2962,0.7038,0.0226,0.6681,0.0061,0.0081,0.0008,
"10",25442,0.0482,0.3933,0.595,0.0116,20041,0.7216,0.2784,0.0265,0.219,0.0195,0.0146,0.0006,
"11",23331,-0.0388,0.6162,0.3762,0.0076,17497,0.3455,0.6545,0.0151,0.6288,0.0029,0.0088,0.0007,
"12",25332,0.0436,0.496,0.4853,0.0187,21682,0.7284,0.2716,0.0359,0.1653,0.0559,0.0116,0.0011,
"13",23379,-0.0368,0.317,0.6748,0.0082,17951,0.7543,0.2457,0.0278,0.1968,0.0065,0.0148,0.0004,
"14",24198,-0.0031,0.2157,0.773,0.0112,18442,0.7719,0.2281,0.041,0.1653,0.0057,0.0155,0.0002,
"15",23245,-0.0423,0.2455,0.744,0.0105,17339,0.7528,0.2472,0.0582,0.1688,0.0037,0.0179,0.0005,
"16",24962,0.0284,0.6166,0.3746,0.0088,18884,0.3349,0.6651,0.0295,0.6229,0.0065,0.0113,0.0005,
"17",23560,-0.0294,0.3661,0.6235,0.0103,18177,0.6837,0.3163,0.0356,0.251,0.0146,0.0144,0.0003,
"18",24540,0.011,0.2769,0.7125,0.0106,18726,0.7723,0.2277,0.0135,0.1812,0.0143,0.0163,0.001,
"19",24592,0.0132,0.1774,0.8126,0.01,19046,0.8541,0.1459,0.0183,0.1009,0.01,0.0157,0.0005,
