ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",70174,0.2323,0.2807,0.6989,0.0204,52308,0.7133,0.2867,0.0393,0.205,0.0194,0.0202,0.001,
"2",61092,0.0728,0.4698,0.5085,0.0217,45468,0.506,0.494,0.0597,0.3964,0.018,0.0193,0.0013,
"3",57884,0.0164,0.251,0.7337,0.0153,44018,0.7553,0.2447,0.0422,0.1825,0.0041,0.0166,0.0004,
"4",56555,-0.0069,0.2089,0.777,0.0142,43590,0.806,0.194,0.0314,0.1402,0.005,0.0158,0.0006,
"5",58680,0.0304,0.1925,0.7899,0.0176,45960,0.8691,0.1309,0.0175,0.0886,0.0034,0.018,0.0005,
"6",62466,0.0969,0.2566,0.7279,0.0156,47947,0.7712,0.2288,0.0232,0.174,0.0153,0.015,0.0006,
"7",51636,-0.0933,0.4383,0.5495,0.0123,39540,0.5816,0.4184,0.0212,0.3813,0.0045,0.0125,0.0003,
"8",53112,-0.0674,0.4071,0.5855,0.0074,41090,0.6186,0.3814,0.0298,0.3365,0.0035,0.0142,0.0006,
"9",66851,0.1739,0.4308,0.5534,0.0157,54239,0.7031,0.2969,0.0329,0.2162,0.0322,0.0141,0.001,
"10",52188,-0.0836,0.4515,0.535,0.0135,41009,0.5597,0.4403,0.0255,0.3971,0.0042,0.0126,0.0014,
"11",50162,-0.1192,0.6938,0.2978,0.0084,37189,0.2528,0.7472,0.0112,0.7274,0.0053,0.007,0.0006,
"12",46704,-0.1799,0.7119,0.2776,0.0106,35875,0.2734,0.7266,0.0157,0.6983,0.0082,0.0076,0.0004,
"13",51091,-0.1028,0.733,0.2578,0.0092,39599,0.261,0.739,0.0286,0.7041,0.0056,0.0069,0.0008,
"14",52127,-0.0847,0.3364,0.6564,0.0072,41296,0.6705,0.3295,0.0114,0.3015,0.0061,0.0121,0.0006,
"15",55784,-0.0204,0.3811,0.604,0.0148,45493,0.6674,0.3326,0.0209,0.2705,0.0257,0.0133,0.0007,
"16",53342,-0.0633,0.6752,0.3104,0.0144,41455,0.3646,0.6354,0.0126,0.6065,0.0096,0.009,0.0005,
"17",54632,-0.0407,0.3806,0.6066,0.0128,42713,0.6277,0.3723,0.0203,0.3253,0.0139,0.0133,0.0009,
"18",51707,-0.092,0.32,0.6724,0.0076,38449,0.6075,0.3925,0.0214,0.2554,0.0051,0.1143,0.0009,
"19",63676,0.1181,0.3827,0.5984,0.0189,48097,0.617,0.383,0.0415,0.2982,0.0242,0.0174,0.0016,
"20",63273,0.1111,0.259,0.7236,0.0174,48719,0.7788,0.2212,0.0224,0.1585,0.0222,0.0157,0.0003,
"21",50164,-0.1191,0.6983,0.2947,0.007,37741,0.2908,0.7092,0.0298,0.6708,0.0043,0.0086,0.0005,
"22",63854,0.1213,0.5058,0.4848,0.0094,49013,0.4582,0.5418,0.0329,0.4884,0.0124,0.0109,0.0007,
"23",52095,-0.0852,0.4751,0.5129,0.012,40148,0.5166,0.4834,0.0185,0.4431,0.011,0.012,0.0003,
"24",50755,-0.1087,0.7539,0.2384,0.0077,38053,0.208,0.792,0.0175,0.768,0.0052,0.0076,0.0002,
"25",66557,0.1687,0.3621,0.6228,0.0151,51133,0.7002,0.2998,0.0244,0.2248,0.0382,0.0116,0.0005,
"26",54224,-0.0478,0.7255,0.265,0.0095,42153,0.2641,0.7359,0.0262,0.6823,0.0205,0.0093,0.0004,
"27",51764,-0.091,0.7728,0.2153,0.012,40177,0.2496,0.7504,0.0172,0.7107,0.017,0.01,0.0007,
"28",47804,-0.1606,0.9117,0.078,0.0103,36090,0.109,0.891,0.0214,0.8582,0.0094,0.0083,0.0009,
"29",56444,-0.0088,0.7129,0.2773,0.0097,44596,0.3518,0.6482,0.0187,0.6129,0.0106,0.009,0.0004,
"30",63420,0.1137,0.3175,0.6665,0.016,48729,0.6631,0.3369,0.0338,0.267,0.0185,0.0159,0.0016,
"31",56086,-0.0151,0.3403,0.6496,0.0101,41613,0.5958,0.4042,0.0662,0.3086,0.0055,0.0289,0.0005,
"32",51255,-0.1,0.6494,0.3445,0.0061,38907,0.3161,0.6839,0.0144,0.651,0.0062,0.0164,0.0012,
"33",52532,-0.0775,0.3128,0.6743,0.0129,40587,0.6645,0.3355,0.0182,0.2956,0.0098,0.0124,0.0013,
"34",55653,-0.0227,0.5825,0.4067,0.0107,42383,0.4035,0.5965,0.0302,0.5521,0.0067,0.0099,0.0008,
"35",58788,0.0323,0.3085,0.6806,0.0109,44648,0.7047,0.2953,0.0191,0.2545,0.0047,0.0159,0.0003,
"36",52953,-0.0701,0.6602,0.3323,0.0076,41861,0.3335,0.6665,0.0192,0.6397,0.0032,0.0088,0.0008,
"37",54424,-0.0443,0.3921,0.6006,0.0073,42949,0.5712,0.4288,0.0268,0.3839,0.0079,0.0122,0.0008,
"38",54212,-0.048,0.632,0.3601,0.0078,42038,0.3456,0.6544,0.0108,0.6308,0.0038,0.0118,0.0008,
"39",54934,-0.0354,0.3222,0.6714,0.0064,41846,0.6772,0.3228,0.0129,0.2926,0.0067,0.0119,0.0009,
"40",57214,0.0047,0.2392,0.7453,0.0155,43881,0.7607,0.2393,0.0278,0.1783,0.0075,0.0222,0.0006,
"41",53262,-0.0647,0.3704,0.6213,0.0083,40791,0.6379,0.3621,0.0136,0.3327,0.0048,0.0119,0.0009,
"42",56895,-0.0009,0.1992,0.784,0.0169,42862,0.7515,0.2485,0.0489,0.1738,0.0061,0.0198,0.001,
"43",57659,0.0125,0.2484,0.7378,0.0138,44109,0.7353,0.2647,0.0167,0.2252,0.0041,0.0165,0.0007,
"44",60825,0.0681,0.2627,0.7159,0.0214,45652,0.7075,0.2925,0.032,0.2183,0.0218,0.0186,0.0013,
"45",58523,0.0277,0.3484,0.6335,0.0181,46782,0.6715,0.3285,0.0304,0.2636,0.016,0.0158,0.001,
"46",61034,0.0718,0.2368,0.7409,0.0223,47511,0.8266,0.1734,0.0362,0.0902,0.0144,0.0287,0.0014,
"47",61119,0.0732,0.2582,0.7194,0.0224,47098,0.7314,0.2686,0.0364,0.1705,0.0313,0.0261,0.0017,
"48",62655,0.1002,0.5048,0.4696,0.0256,47621,0.533,0.467,0.0514,0.3633,0.0275,0.0241,0.0027,
"49",67987,0.1939,0.3307,0.6485,0.0207,52307,0.6781,0.3219,0.0548,0.2107,0.0295,0.0259,0.0024,
"50",62998,0.1062,0.3282,0.6503,0.0215,48226,0.651,0.349,0.0729,0.1868,0.066,0.0249,0.0033,
"51",58801,0.0325,0.3352,0.6498,0.015,45776,0.6703,0.3297,0.043,0.2424,0.0194,0.0251,0.0016,
"52",61253,0.0756,0.3432,0.6347,0.0221,46264,0.6579,0.3421,0.0798,0.2168,0.0242,0.0227,0.0021,
"Summary",56948,0.4121,0.4268,0.5597,0.0135,43800,0.5776,0.4224,0.0301,0.3614,0.0144,0.0172,0.001,
