ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",10823,-0.0004,0.2533,0.7303,0.0165,8854,0.9086,0.0914,0.027,0.0049,0.0089,0.0374,0.0029,
"2",10904,0.0071,0.2565,0.7236,0.0199,8744,0.9145,0.0855,0.0183,0.0045,0.0091,0.0396,0.0027,
"3",10764,-0.0058,0.5301,0.45,0.0198,8873,0.9167,0.0833,0.0275,0.0036,0.0132,0.0267,0.0021,
"4",10774,-0.0049,0.4747,0.5022,0.0231,8472,0.9055,0.0945,0.0238,0.0057,0.0111,0.036,0.0035,
"5",10919,0.0085,0.2776,0.7009,0.0215,8487,0.9056,0.0944,0.026,0.0068,0.0104,0.039,0.0029,
"6",10934,0.0099,0.3353,0.6462,0.0184,8419,0.9208,0.0792,0.0204,0.0027,0.0159,0.0253,0.0021,
"7",10736,-0.0084,0.4211,0.5496,0.0294,8366,0.8887,0.1113,0.0331,0.0066,0.0149,0.0441,0.0026,
"8",10727,-0.0093,0.2889,0.6842,0.0269,8330,0.901,0.099,0.025,0.0042,0.0132,0.0431,0.0013,
"9",10916,0.0082,0.2815,0.6978,0.0208,8374,0.9145,0.0855,0.029,0.0038,0.0098,0.0332,0.0008,
"10",10780,-0.0044,0.2977,0.6818,0.0205,8156,0.9082,0.0918,0.0273,0.007,0.0167,0.033,0.0021,
"11",10732,-0.0088,0.2603,0.7222,0.0174,8182,0.9182,0.0818,0.0244,0.0037,0.0105,0.0296,0.0017,
"12",10891,0.0059,0.347,0.6383,0.0147,9072,0.8805,0.1195,0.025,0.004,0.0104,0.0702,0.0015,
"13",10920,0.0086,0.4158,0.5647,0.0195,8528,0.744,0.256,0.0358,0.0083,0.008,0.2047,0.0032,
"14",10735,-0.0085,0.2522,0.7274,0.0204,8866,0.8931,0.1069,0.0222,0.0038,0.0088,0.052,0.0033,
"15",10862,0.0032,0.6121,0.3665,0.0214,7394,0.3861,0.6139,0.0327,0.0043,0.0055,0.5826,0.0031,
"16",10932,0.0097,0.6257,0.358,0.0163,7668,0.3491,0.6509,0.016,0.007,0.0078,0.627,0.003,
"17",10916,0.0082,0.2981,0.6828,0.0191,8646,0.9084,0.0916,0.0177,0.0046,0.0074,0.0477,0.0019,
"18",10933,0.0098,0.2699,0.7144,0.0157,9030,0.8845,0.1155,0.0196,0.0071,0.0075,0.0735,0.0018,
"19",10918,0.0084,0.4731,0.4957,0.0312,8447,0.7554,0.2446,0.0472,0.025,0.0219,0.1513,0.0039,
"20",10730,-0.009,0.4806,0.4968,0.0227,8453,0.8514,0.1486,0.0356,0.0175,0.015,0.0754,0.0032,
"21",10934,0.0099,0.4414,0.532,0.0267,8378,0.8751,0.1249,0.0267,0.0143,0.0171,0.0567,0.0029,
"22",10862,0.0032,0.466,0.5012,0.0328,7991,0.7488,0.2512,0.0961,0.0607,0.0429,0.0491,0.0066,
"23",10930,0.0095,0.469,0.5068,0.0242,8971,0.8328,0.1672,0.0408,0.0193,0.0212,0.076,0.0046,
"24",10893,0.0061,0.4087,0.5717,0.0196,8444,0.8545,0.1455,0.0326,0.0114,0.0186,0.0733,0.002,
"25",10910,0.0077,0.3015,0.6774,0.0211,8609,0.8858,0.1142,0.0251,0.0065,0.0091,0.0647,0.0028,
"26",10829,0.0002,0.3384,0.6446,0.017,8339,0.9198,0.0802,0.0168,0.0054,0.0094,0.0387,0.0011,
"27",10731,-0.0089,0.446,0.5265,0.0276,8101,0.7943,0.2057,0.0314,0.0095,0.0148,0.1491,0.0019,
"28",10859,0.0029,0.2629,0.7202,0.0169,8339,0.9108,0.0892,0.0159,0.0056,0.0074,0.0556,0.0036,
"29",10911,0.0077,0.2713,0.7083,0.0204,8496,0.8978,0.1022,0.021,0.0055,0.0087,0.0646,0.0014,
"30",10896,0.0064,0.1826,0.7999,0.0175,8146,0.8689,0.1311,0.0435,0.0104,0.0125,0.0536,0.0014,
"31",10304,-0.0483,0.5733,0.4049,0.0218,7108,0.3084,0.6916,0.0172,0.0049,0.0104,0.6687,0.0006,
"32",10342,-0.0448,0.6035,0.3805,0.016,6837,0.3311,0.6689,0.0219,0.0038,0.0054,0.6496,0.002,
"33",10772,-0.0051,0.2208,0.7628,0.0164,8489,0.9086,0.0914,0.0223,0.0075,0.0111,0.0376,0.0011,
"34",10878,0.0047,0.1405,0.8501,0.0094,8368,0.9441,0.0559,0.0154,0.0051,0.0075,0.0231,0.0035,
"35",10768,-0.0055,0.1969,0.7874,0.0156,8353,0.8932,0.1068,0.0305,0.005,0.0085,0.062,0.0023,
"36",10853,0.0024,0.3123,0.6661,0.0216,8521,0.9105,0.0895,0.0263,0.0081,0.0086,0.0366,0.0016,
"37",10931,0.0096,0.2502,0.7325,0.0173,8687,0.932,0.068,0.0158,0.0009,0.0075,0.0326,0.0016,
"38",10942,0.0106,0.189,0.7923,0.0187,8596,0.9144,0.0856,0.0265,0.0071,0.0071,0.0373,0.002,
