ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",19677,-0.0926,0.2589,0.7209,0.0202,16037,0.9126,0.0874,0.0232,0.0045,0.0089,0.037,0.0031,
"2",22666,0.0453,0.3184,0.6596,0.022,17710,0.9104,0.0896,0.0237,0.0057,0.0097,0.036,0.0036,
"3",23430,0.0805,0.4553,0.5244,0.0203,18765,0.9182,0.0818,0.0235,0.0036,0.0152,0.0256,0.0015,
"4",23206,0.0702,0.3703,0.6042,0.0255,17600,0.8881,0.1119,0.0331,0.0073,0.016,0.0432,0.0024,
"5",22269,0.027,0.3007,0.6799,0.0195,17772,0.9124,0.0876,0.0272,0.0039,0.0106,0.0336,0.0017,
"6",22440,0.0348,0.348,0.6349,0.0171,17604,0.8457,0.1543,0.027,0.0052,0.0105,0.107,0.0014,
"7",21748,0.0029,0.2595,0.7158,0.0247,17711,0.892,0.108,0.0228,0.0043,0.0102,0.0555,0.003,
"8",19477,-0.1018,0.6555,0.3202,0.0243,13384,0.3304,0.6696,0.0238,0.0061,0.0058,0.6447,0.0029,
"9",19569,-0.0976,0.2701,0.7049,0.025,15200,0.8769,0.1231,0.0168,0.0063,0.0074,0.0841,0.0021,
"10",21576,-0.005,0.3315,0.6492,0.0193,16732,0.8998,0.1002,0.0225,0.0065,0.0128,0.0478,0.0016,
"11",19666,-0.0931,0.4406,0.5304,0.029,15359,0.8524,0.1476,0.0322,0.013,0.0152,0.0779,0.0033,
"12",20104,-0.0729,0.4827,0.4865,0.0308,15867,0.8172,0.1828,0.0384,0.0208,0.0217,0.0956,0.0036,
"13",20232,-0.067,0.4698,0.4949,0.0352,15549,0.7712,0.2288,0.0724,0.042,0.0298,0.0823,0.0055,
"14",20019,-0.0768,0.3616,0.607,0.0314,15225,0.8633,0.1367,0.0222,0.0086,0.0118,0.0903,0.0026,
"15",19720,-0.0906,0.2367,0.7426,0.0207,15721,0.9316,0.0684,0.0167,0.0042,0.0072,0.0294,0.0025,
"16",20659,-0.0473,0.5859,0.3926,0.0216,13955,0.3192,0.6808,0.0196,0.0044,0.008,0.6595,0.0013,
"17",20218,-0.0676,0.2583,0.716,0.0258,15590,0.8891,0.1109,0.0214,0.0061,0.0081,0.0721,0.0017,
"18",21368,-0.0146,0.2,0.7782,0.0218,16383,0.8934,0.1066,0.0333,0.0087,0.012,0.0408,0.0013,
"19",20427,-0.058,0.212,0.7639,0.0241,15798,0.928,0.072,0.0206,0.0067,0.0085,0.0301,0.0025,
"20",19983,-0.0785,0.193,0.7813,0.0257,15630,0.9077,0.0923,0.0287,0.0054,0.0081,0.0428,0.0023,
"21",18999,-0.1238,0.5038,0.4789,0.0173,12796,0.3718,0.6282,0.0327,0.0047,0.0089,0.5929,0.0014,
"22",21878,0.0089,0.3667,0.602,0.0313,16364,0.8536,0.1464,0.05,0.0131,0.0153,0.0642,0.0026,
"23",21742,0.0027,0.3797,0.5978,0.0224,16483,0.8938,0.1062,0.0363,0.0096,0.015,0.0387,0.0029,
"24",19624,-0.095,0.5208,0.4508,0.0284,15964,0.8421,0.1579,0.0501,0.0186,0.0136,0.0675,0.0024,
"25",19284,-0.1107,0.509,0.4521,0.0389,15270,0.7991,0.2009,0.0768,0.0204,0.0141,0.0916,0.0048,
"26",21954,0.0124,0.4435,0.5202,0.0363,16819,0.8001,0.1999,0.0766,0.0191,0.0156,0.0903,0.0044,
"27",28360,0.3078,0.3268,0.6512,0.0221,21663,0.9007,0.0993,0.0332,0.0077,0.0168,0.0305,0.0022,
"28",21440,-0.0113,0.3172,0.6512,0.0316,16060,0.8853,0.1147,0.038,0.006,0.0084,0.0522,0.0017,
"29",19941,-0.0804,0.2951,0.683,0.0219,16018,0.9233,0.0767,0.0225,0.0036,0.0062,0.0272,0.0017,
"30",20937,-0.0345,0.439,0.5442,0.0168,17275,0.9209,0.0791,0.023,0.0061,0.009,0.0278,0.0013,
