ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",199623,-0.0439,0.4548,0.5272,0.018,160716,0.6329,0.3671,0.0397,0.2949,0.0115,0.0216,0.0019,
"2",198557,-0.049,0.4473,0.5353,0.0174,162322,0.6313,0.3687,0.0314,0.3001,0.0094,0.0299,0.0019,
"3",200494,-0.0397,0.4136,0.5665,0.0199,158711,0.6359,0.3641,0.06,0.2666,0.0213,0.0186,0.0019,
"4",219143,0.0496,0.5605,0.4197,0.0197,170462,0.5059,0.4941,0.0602,0.4035,0.0196,0.0166,0.0013,
"5",204576,-0.0202,0.3338,0.6319,0.0343,157467,0.6571,0.3429,0.125,0.1533,0.038,0.0311,0.0076,
"6",216568,0.0373,0.4724,0.5111,0.0165,168123,0.5204,0.4796,0.1002,0.3502,0.0167,0.0204,0.0017,
"7",212582,0.0182,0.4906,0.4794,0.03,173703,0.7733,0.2267,0.0613,0.1219,0.0222,0.0197,0.002,
"8",206121,-0.0128,0.503,0.4796,0.0174,160589,0.5377,0.4623,0.0705,0.3665,0.0109,0.0202,0.0011,
"9",215999,0.0345,0.3694,0.6071,0.0235,160099,0.6676,0.3324,0.1318,0.1673,0.0131,0.0247,0.0013,
"10",204809,-0.0191,0.3916,0.591,0.0174,158023,0.6122,0.3878,0.1197,0.2376,0.0069,0.0303,0.0012,
"11",200436,-0.04,0.3777,0.6024,0.0198,167332,0.7725,0.2275,0.0441,0.1438,0.0087,0.0287,0.0009,
"12",198389,-0.0498,0.4775,0.4995,0.023,149470,0.6621,0.3379,0.0777,0.2148,0.0288,0.0189,0.0013,
"13",198409,-0.0497,0.7274,0.2491,0.0235,149989,0.3633,0.6367,0.1596,0.4353,0.035,0.0233,0.0015,
"14",198376,-0.0499,0.6256,0.3475,0.027,153746,0.6016,0.3984,0.1103,0.2219,0.0557,0.0181,0.0014,
"15",198420,-0.0497,0.6817,0.2911,0.0272,163833,0.6421,0.3579,0.0757,0.1481,0.1195,0.0155,0.0013,
"16",198383,-0.0498,0.4891,0.4826,0.0283,142042,0.7254,0.2746,0.0868,0.1125,0.0563,0.0195,0.0016,
"17",198425,-0.0496,0.6165,0.357,0.0265,149194,0.5997,0.4003,0.0731,0.0897,0.2229,0.0139,0.0016,
"18",210529,0.0083,0.6473,0.3326,0.0201,169086,0.6684,0.3316,0.0751,0.1673,0.0702,0.0201,0.0012,
"19",200260,-0.0408,0.8473,0.1329,0.0197,159962,0.4135,0.5865,0.1423,0.3729,0.0635,0.0203,0.0011,
"20",200858,-0.038,0.6453,0.3337,0.021,160391,0.5831,0.4169,0.1047,0.2453,0.0516,0.0206,0.001,
"21",198776,-0.048,0.3993,0.5777,0.0231,147932,0.6208,0.3792,0.1325,0.2074,0.0177,0.0297,0.003,
"22",217984,0.044,0.3903,0.5879,0.0217,167448,0.6607,0.3393,0.086,0.1956,0.0274,0.0347,0.0043,
"23",216471,0.0368,0.6471,0.3266,0.0263,165245,0.3569,0.6431,0.1023,0.4807,0.0436,0.0373,0.0071,
"24",202786,-0.0287,0.4856,0.4956,0.0187,152772,0.3385,0.6615,0.0835,0.2963,0.0148,0.2823,0.0027,
"25",218484,0.0464,0.3975,0.5827,0.0199,170505,0.6735,0.3265,0.1105,0.1785,0.0176,0.0259,0.0011,
"26",201428,-0.0353,0.3672,0.6113,0.0215,157180,0.7304,0.2696,0.0513,0.1744,0.0239,0.021,0.001,
"27",216058,0.0348,0.6852,0.292,0.0228,172637,0.4879,0.5121,0.0699,0.3901,0.0428,0.0194,0.0011,
"28",214909,0.0293,0.6474,0.33,0.0226,166729,0.4125,0.5875,0.1059,0.3927,0.0774,0.0218,0.0016,
"29",214631,0.028,0.3277,0.6511,0.0212,168107,0.689,0.311,0.0902,0.1794,0.0159,0.0279,0.0009,
"30",212299,0.0168,0.3692,0.6072,0.0236,166936,0.7675,0.2325,0.0674,0.1211,0.0231,0.0227,0.001,
"31",214811,0.0288,0.6806,0.2949,0.0245,166501,0.4663,0.5337,0.1427,0.353,0.0293,0.0222,0.0017,
"32",211642,0.0137,0.2669,0.7112,0.0219,165963,0.8042,0.1958,0.0644,0.0921,0.0153,0.0243,0.0007,
