ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",763437,0.0238,0.4186,0.5593,0.0221,604662,0.6581,0.3419,0.0694,0.2303,0.023,0.0212,0.003,
"2",745670,0,0.5199,0.4638,0.0163,587675,0.5061,0.4939,0.0672,0.3999,0.0105,0.0225,0.0013,
"3",745671,0,0.4139,0.5629,0.0232,594152,0.6731,0.3269,0.069,0.1644,0.0145,0.0816,0.0018,
"4",745671,0,0.4621,0.5143,0.0236,559343,0.5399,0.4601,0.1195,0.2919,0.0261,0.0335,0.0042,
"5",745671,0,0.6223,0.3519,0.0258,580425,0.5831,0.4169,0.1089,0.2447,0.0512,0.019,0.0014,
"6",745671,0,0.716,0.2612,0.0228,579554,0.545,0.455,0.1001,0.2142,0.1275,0.018,0.0013,
"7",727904,-0.0238,0.4116,0.5667,0.0218,561075,0.6916,0.3084,0.1041,0.1616,0.0223,0.0247,0.0011,
"8",745670,0,0.4063,0.5708,0.0229,564238,0.6672,0.3328,0.0829,0.1722,0.0461,0.0333,0.0016,
"9",745670,0,0.7161,0.2572,0.0267,579370,0.4009,0.5991,0.1487,0.3795,0.0639,0.0195,0.0014,
"10",745671,0,0.3826,0.5929,0.0245,573267,0.6888,0.3112,0.0802,0.1697,0.0415,0.0222,0.0012,
"11",745671,0,0.4283,0.5492,0.0225,592406,0.6911,0.3089,0.0667,0.1997,0.0262,0.0206,0.001,
"12",745670,0,0.4247,0.5516,0.0237,582969,0.6788,0.3212,0.098,0.1786,0.027,0.0225,0.0013,
"13",745671,0,0.3867,0.5904,0.023,583127,0.7262,0.2738,0.0708,0.1543,0.0281,0.0229,0.0011,
"14",745670,0,0.451,0.5244,0.0246,612836,0.8449,0.1551,0.0629,0.0396,0.014,0.0346,0.0023,
"Summary",745671,0.0477,0.4828,0.4941,0.0231,582507,0.6364,0.3636,0.0888,0.2137,0.0371,0.0284,0.0017,
