ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",82812,-0.0481,0.3659,0.6156,0.0184,66464,0.7496,0.2504,0.0309,0.1846,0.011,0.0207,0.0021,
"2",90751,0.0432,0.5525,0.4291,0.0184,71471,0.568,0.432,0.0886,0.3069,0.0186,0.0232,0.0009,
"3",84906,-0.024,0.3985,0.5812,0.0204,67137,0.6947,0.3053,0.0491,0.202,0.0345,0.0203,0.0021,
"4",83034,-0.0455,0.4134,0.5742,0.0123,62938,0.5204,0.4796,0.1865,0.2749,0.0077,0.0215,0.0015,
"5",82953,-0.0465,0.4945,0.4886,0.0169,65833,0.5343,0.4657,0.0481,0.3859,0.0134,0.0231,0.0022,
"6",90919,0.0451,0.3983,0.5764,0.0253,64871,0.6036,0.3964,0.1133,0.2349,0.0223,0.0345,0.0047,
"7",83541,-0.0397,0.4465,0.5342,0.0193,64664,0.625,0.375,0.0806,0.268,0.0096,0.0217,0.001,
"8",83559,-0.0395,0.6439,0.3358,0.0203,65552,0.446,0.554,0.0673,0.4534,0.0236,0.0168,0.0015,
"9",86684,-0.0036,0.4522,0.5303,0.0176,66721,0.637,0.363,0.062,0.2625,0.0246,0.0179,0.0016,
"10",83014,-0.0458,0.4342,0.5491,0.0167,64607,0.5716,0.4284,0.0662,0.324,0.0245,0.019,0.0023,
"11",86381,-0.0071,0.6429,0.3298,0.0274,68540,0.6748,0.3252,0.1004,0.1136,0.0937,0.019,0.0015,
"12",84745,-0.0259,0.4615,0.5259,0.0126,66970,0.5241,0.4759,0.0719,0.3848,0.0074,0.0172,0.001,
"13",83500,-0.0402,0.3023,0.6776,0.0201,68859,0.8149,0.1851,0.0506,0.0891,0.0185,0.0242,0.003,
"14",88470,0.017,0.3629,0.6038,0.0333,71369,0.6281,0.3719,0.1605,0.1464,0.0391,0.0285,0.0095,
"15",91212,0.0485,0.3454,0.6242,0.0304,66962,0.6402,0.3598,0.1057,0.1876,0.0407,0.0345,0.0066,
"16",85097,-0.0218,0.3216,0.6555,0.0229,65744,0.7778,0.2222,0.063,0.1172,0.0135,0.027,0.0022,
"17",90514,0.0405,0.3854,0.5956,0.019,75860,0.8043,0.1957,0.0514,0.1081,0.0103,0.0228,0.0011,
"18",89413,0.0278,0.6147,0.3586,0.0266,75047,0.6781,0.3219,0.0756,0.2058,0.0222,0.0202,0.0029,
"19",91288,0.0493,0.3875,0.592,0.0205,77211,0.8844,0.1156,0.028,0.0453,0.0138,0.0218,0.0008,
"20",91180,0.0481,0.4388,0.5357,0.0255,72601,0.809,0.191,0.0639,0.0829,0.022,0.0192,0.0016,
"21",87764,0.0088,0.6136,0.362,0.0244,60593,0.5656,0.4344,0.0639,0.09,0.2665,0.0137,0.0015,
"22",88642,0.0189,0.4114,0.5765,0.0121,68362,0.5465,0.4535,0.1331,0.2847,0.0057,0.039,0.0011,
"23",88865,0.0215,0.5937,0.3958,0.0106,70700,0.4167,0.5833,0.0357,0.5341,0.0049,0.0139,0.0007,
"24",83322,-0.0422,0.5075,0.4791,0.0134,64630,0.5004,0.4996,0.0895,0.385,0.0141,0.0205,0.0012,
"25",90432,0.0395,0.5104,0.4767,0.0129,70999,0.5088,0.4912,0.0638,0.3997,0.0122,0.0213,0.0014,
"26",89947,0.0339,0.4183,0.5578,0.0238,65902,0.671,0.329,0.1136,0.1778,0.0165,0.0239,0.0017,
"27",84735,-0.026,0.6166,0.3734,0.01,68639,0.4139,0.5861,0.0236,0.5188,0.0066,0.0445,0.0016,
"28",85389,-0.0185,0.3319,0.6505,0.0176,64169,0.6429,0.3571,0.1618,0.1699,0.0076,0.0239,0.0009,
"29",90900,0.0449,0.8306,0.15,0.0195,72930,0.5035,0.4965,0.0984,0.3103,0.0779,0.0171,0.0009,
"30",91038,0.0465,0.8477,0.1343,0.018,74671,0.4752,0.5248,0.1305,0.3075,0.0776,0.02,0.0012,
"31",91241,0.0488,0.7962,0.1837,0.0201,71456,0.3212,0.6788,0.157,0.4563,0.059,0.0231,0.0011,
"32",88602,0.0185,0.532,0.4512,0.0168,69546,0.5042,0.4958,0.0772,0.3964,0.0092,0.019,0.0009,
"33",85001,-0.0229,0.7129,0.2642,0.0229,64467,0.3983,0.6017,0.1435,0.4121,0.0357,0.0213,0.0012,
"34",89807,0.0323,0.6397,0.3355,0.0248,71556,0.6739,0.3261,0.1046,0.1687,0.0422,0.0154,0.001,
"35",83094,-0.0448,0.4595,0.5176,0.0229,61153,0.7561,0.2439,0.0616,0.127,0.0376,0.0168,0.0012,
"36",86038,-0.011,0.5328,0.4411,0.0261,61271,0.7439,0.2561,0.0766,0.0937,0.0669,0.0162,0.0013,
"37",90307,0.0381,0.4542,0.5193,0.0265,66740,0.7222,0.2778,0.0973,0.1338,0.0272,0.0226,0.0018,
"38",86444,-0.0063,0.8218,0.1577,0.0205,67496,0.3702,0.6298,0.1708,0.4089,0.0441,0.0217,0.0013,
"39",85371,-0.0187,0.6149,0.3626,0.0226,64158,0.4675,0.5325,0.1462,0.3422,0.0329,0.026,0.002,
"40",86359,-0.0073,0.6131,0.3611,0.0257,68402,0.7209,0.2791,0.0673,0.1388,0.0584,0.0161,0.0015,
"41",89876,0.0331,0.6607,0.3174,0.0219,66844,0.4847,0.5153,0.0546,0.1155,0.3318,0.0123,0.0018,
"42",82965,-0.0463,0.7514,0.2223,0.0262,63563,0.3363,0.6637,0.1486,0.466,0.042,0.0292,0.0092,
