ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",15976,0.0048,0.1732,0.7854,0.0415,11746,0.8063,0.1937,0.0628,0.0452,0.0236,0.058,0.0047,
"2",16452,0.0347,0.1249,0.8433,0.0317,12033,0.8868,0.1132,0.0513,0.014,0.0106,0.0322,0.0012,
"3",15796,-0.0065,0.2259,0.725,0.049,11713,0.8128,0.1872,0.0708,0.0423,0.0167,0.0558,0.0022,
"4A",8350,-0.4748,0.5915,0.3719,0.0366,5709,0.2556,0.7444,0.0571,0.0235,0.0168,0.6723,0.0035,
"4B",8119,-0.4894,0.1632,0.8068,0.03,6207,0.9175,0.0825,0.0179,0.0082,0.0087,0.0433,0.0023,
"5",16307,0.0256,0.2641,0.6942,0.0417,12869,0.8369,0.1631,0.0418,0.0474,0.0256,0.0465,0.0018,
"6",17293,0.0876,0.1726,0.8,0.0274,13436,0.9332,0.0668,0.0159,0.0078,0.0061,0.0325,0.0016,
"7",16986,0.0683,0.2276,0.7223,0.0501,12718,0.8885,0.1115,0.0331,0.0217,0.0189,0.0359,0.0018,
"8",17385,0.0934,0.1642,0.7874,0.0484,12602,0.9422,0.0578,0.0137,0.0065,0.0055,0.0283,0.0008,
"9A",7922,-0.5018,0.7094,0.2617,0.0288,5269,0.1904,0.8096,0.008,0.0036,0.0021,0.7979,0.0013,
"9B",8236,-0.482,0.3602,0.6098,0.0299,5986,0.6569,0.3431,0.0125,0.0043,0.0055,0.3223,0.0013,
"10",16660,0.0478,0.4357,0.5173,0.047,13378,0.7328,0.2672,0.0422,0.1455,0.0522,0.0298,0.0008,
"11",16529,0.0396,0.4758,0.4794,0.0448,13354,0.8168,0.1832,0.0338,0.0765,0.0353,0.035,0.0016,
"12",15845,-0.0035,0.2815,0.6816,0.0369,12761,0.9016,0.0984,0.0274,0.0303,0.0103,0.0299,0.0014,
"13",16790,0.056,0.3814,0.5782,0.0405,12945,0.8908,0.1092,0.0243,0.0341,0.0178,0.0297,0.0008,
"14",17189,0.0811,0.1949,0.7776,0.0274,13531,0.9464,0.0536,0.0131,0.0089,0.004,0.0248,0.0015,
"15",17129,0.0773,0.3226,0.6393,0.0381,12455,0.7375,0.2625,0.0164,0.0078,0.0084,0.2308,0.0023,
"16",16615,0.045,0.3749,0.582,0.0431,11767,0.8279,0.1721,0.0322,0.071,0.0411,0.0252,0.0004,
"17",16067,0.0105,0.3619,0.6077,0.0303,12185,0.8781,0.1219,0.0271,0.0318,0.0299,0.027,0.0014,
"18",16196,0.0186,0.4291,0.5288,0.0421,12840,0.8326,0.1674,0.0452,0.0412,0.0197,0.0598,0.0019,
"19",17231,0.0837,0.2391,0.7304,0.0305,13396,0.8765,0.1235,0.0691,0.0092,0.0064,0.0354,0.0004,
"20",17126,0.0771,0.2796,0.6903,0.0301,12924,0.9256,0.0744,0.0292,0.0105,0.0076,0.0214,0.0022,
"21",16684,0.0493,0.5248,0.4248,0.0504,13719,0.7612,0.2388,0.035,0.0857,0.0684,0.0456,0.0018,
"22",16178,0.0175,0.2985,0.6658,0.0356,11265,0.9346,0.0654,0.0123,0.0135,0.0113,0.0194,0.0019,
"23",16314,0.026,0.1557,0.796,0.0483,11816,0.6982,0.3018,0.1193,0.0816,0.0269,0.0684,0.0036,
"24",16556,0.0413,0.3194,0.6458,0.0348,13055,0.9357,0.0643,0.0156,0.0173,0.009,0.0183,0.0007,
"25",16598,0.0439,0.3096,0.6594,0.031,12896,0.9132,0.0868,0.0247,0.0115,0.0103,0.0338,0.0028,
"26",15750,-0.0094,0.0937,0.8789,0.0274,11435,0.8296,0.1704,0.0845,0.0198,0.0208,0.0402,0.0017,
"27",17002,0.0693,0.3559,0.6056,0.0386,12185,0.8647,0.1353,0.0227,0.0538,0.0345,0.0219,0.0014,
"28",17291,0.0875,0.2299,0.7431,0.0269,13414,0.9445,0.0555,0.0205,0.0098,0.0075,0.0133,0.0013,
"29",16264,0.0229,0.2363,0.7367,0.027,12827,0.9548,0.0452,0.0156,0.0066,0.0058,0.0145,0.0019,
"30",16339,0.0276,0.2404,0.706,0.0536,13013,0.8621,0.1379,0.028,0.0278,0.011,0.0677,0.002,
"31",16030,0.0082,0.2689,0.6855,0.0456,11814,0.7489,0.2511,0.0232,0.0091,0.0056,0.2159,0.0024,
"32",16998,0.0691,0.2979,0.6452,0.0569,13420,0.8395,0.1605,0.0346,0.0265,0.0134,0.0758,0.009,
"33",17274,0.0864,0.1628,0.7952,0.042,13095,0.9332,0.0668,0.0198,0.0086,0.0069,0.0287,0.0011,
"34",17084,0.0745,0.2679,0.6772,0.0548,13197,0.8696,0.1304,0.0342,0.0206,0.0101,0.0624,0.0033,
"35",17326,0.0897,0.3221,0.618,0.0599,13761,0.8649,0.1351,0.0328,0.0358,0.0161,0.0497,0.0025,
"36",15907,0.0004,0.1477,0.8088,0.0434,11673,0.8915,0.1085,0.0496,0.0198,0.0096,0.0236,0.0015,
"37",16045,0.0091,0.1827,0.7697,0.0476,12181,0.8372,0.1628,0.0635,0.0459,0.0201,0.0287,0.0044,
"38",17275,0.0865,0.2098,0.7534,0.0367,12658,0.8354,0.1646,0.0506,0.0504,0.0291,0.0314,0.0044,
"39",15749,-0.0095,0.1156,0.8515,0.0328,11932,0.9424,0.0576,0.0213,0.008,0.0085,0.0184,0.0021,
"40",15831,-0.0043,0.2774,0.6683,0.0543,12019,0.7428,0.2572,0.0869,0.0884,0.0409,0.0369,0.0081,
