ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",38691,-0.0335,0.2727,0.6958,0.0315,29984,0.8946,0.1054,0.0493,0.0194,0.0096,0.0259,0.0008,
"2",40708,0.0169,0.3429,0.6254,0.0316,30860,0.9156,0.0844,0.0285,0.0124,0.0175,0.0164,0.001,
"3",38656,-0.0343,0.3979,0.5643,0.0378,28363,0.7282,0.2718,0.1409,0.0673,0.0376,0.0277,0.0034,
"4",41072,0.026,0.3742,0.5992,0.0266,29617,0.8668,0.1332,0.0327,0.027,0.0573,0.011,0.0011,
"5",40970,0.0235,0.5564,0.4081,0.0355,29491,0.5229,0.4771,0.3695,0.0653,0.0213,0.0417,0.0021,
"6",40726,0.0174,0.4918,0.4795,0.0287,32980,0.7694,0.2306,0.0532,0.0898,0.0679,0.0168,0.0014,
"7",40454,0.0106,0.6496,0.3095,0.0409,29954,0.4371,0.5629,0.4308,0.0834,0.0301,0.0478,0.0035,
"8",40473,0.011,0.6128,0.3533,0.0339,31197,0.7266,0.2734,0.0681,0.1293,0.0513,0.0257,0.0012,
"9",40306,0.0069,0.6558,0.3105,0.0337,33764,0.7256,0.2744,0.113,0.0816,0.0594,0.0233,0.0036,
"10",41580,0.0387,0.467,0.5009,0.032,30986,0.7549,0.2451,0.0608,0.1129,0.0521,0.0182,0.0017,
"11",40338,0.0077,0.827,0.1406,0.0325,27850,0.2474,0.7526,0.1341,0.5378,0.059,0.0406,0.0025,
"12",40689,0.0164,0.4453,0.5194,0.0353,31802,0.7647,0.2353,0.1154,0.0548,0.0432,0.0192,0.0026,
"13",41106,0.0269,0.6009,0.3692,0.0298,30252,0.5209,0.4791,0.0745,0.2926,0.0885,0.0302,0.0016,
"14",40857,0.0206,0.3796,0.584,0.0364,30551,0.8162,0.1838,0.0762,0.0465,0.0393,0.0191,0.0021,
"15",41650,0.0405,0.3074,0.6609,0.0317,31477,0.8437,0.1563,0.1178,0.0098,0.0085,0.0201,0.0011,
