ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",3417,-0.6006,0.392,0.5733,0.0347,2860,0.9427,0.0573,0.0077,0.0091,0.0115,0.0171,0,
"2",14361,0.6785,0.3959,0.5803,0.0238,12051,0.9439,0.0561,0.0161,0.0053,0.011,0.0152,0.0003,
"3",16871,0.9718,0.3929,0.5788,0.0283,13919,0.9167,0.0833,0.0213,0.0129,0.0174,0.0249,0.0011,
"4",6988,-0.1833,0.3902,0.5764,0.0334,5739,0.9343,0.0657,0.0132,0.0056,0.0148,0.0197,0.0009,
"5",9839,0.1499,0.3225,0.6481,0.0294,8107,0.944,0.056,0.0078,0.0047,0.0091,0.022,0.0004,
"6",7314,-0.1452,0.334,0.632,0.0339,5858,0.9339,0.0661,0.0149,0.0053,0.0142,0.0213,0.001,
"7",4915,-0.4256,0.3399,0.625,0.0352,3919,0.937,0.063,0.0128,0.0064,0.0066,0.024,0.0018,
"101",4296,-0.4979,0.56,0.4139,0.0261,3785,0.9614,0.0386,0.0103,0.0063,0.0061,0.0092,0.0003,
"102",10700,0.2506,0.4829,0.4828,0.0343,9007,0.9335,0.0665,0.0159,0.0062,0.0144,0.0168,0.0013,
"103",7825,-0.0854,0.4577,0.51,0.0323,6662,0.9508,0.0492,0.0117,0.0026,0.0069,0.017,0.0009,
"104",8851,0.0345,0.3917,0.5835,0.0248,7676,0.9498,0.0502,0.0128,0.0036,0.0089,0.0156,0.0007,
"105",12019,0.4047,0.3358,0.6343,0.0299,9969,0.9407,0.0593,0.0118,0.0054,0.0097,0.0227,0.001,
"106",6416,-0.2501,0.4138,0.5618,0.0243,5467,0.9532,0.0468,0.0108,0.0051,0.009,0.0152,0.0009,
"201",12839,0.5006,0.5241,0.4425,0.0334,10521,0.9292,0.0708,0.0138,0.0076,0.0104,0.022,0.0032,
"202",3433,-0.5988,0.4993,0.4719,0.0288,2807,0.9437,0.0563,0.0135,0.0046,0.0093,0.0167,0.0004,
"203",3413,-0.6011,0.4768,0.492,0.0313,2819,0.9365,0.0635,0.0138,0.0085,0.0085,0.0206,0,
"204",3472,-0.5942,0.649,0.3103,0.0407,3157,0.8971,0.1029,0.0345,0.0238,0.025,0.0139,0.0016,
"205",4725,-0.4478,0.6419,0.3235,0.0347,3877,0.8973,0.1027,0.0273,0.025,0.0217,0.0188,0.0013,
"206",4720,-0.4483,0.5992,0.371,0.0298,3749,0.9125,0.0875,0.0213,0.0128,0.0232,0.0224,0.0005,
"207",5104,-0.4035,0.5996,0.3678,0.0325,4247,0.8919,0.1081,0.0243,0.0184,0.0419,0.0188,0.0021,
"208",5026,-0.4126,0.6118,0.3567,0.0316,4168,0.9278,0.0722,0.0197,0.0115,0.0238,0.0132,0.0014,
