ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",55947,-0.0253,0.4194,0.5507,0.0299,46626,0.9288,0.0712,0.017,0.0149,0.0097,0.0216,0.0008,
"2",56448,-0.0165,0.4071,0.5668,0.0261,46794,0.9328,0.0672,0.0162,0.0079,0.0135,0.02,0.0008,
"3",57090,-0.0053,0.4159,0.5597,0.0244,48269,0.9434,0.0566,0.0129,0.0053,0.0111,0.0174,0.0008,
"4",56519,-0.0153,0.5232,0.4449,0.032,45733,0.8711,0.1289,0.0274,0.0207,0.0541,0.0168,0.0016,
"5",58966,0.0273,0.6244,0.3491,0.0265,49988,0.8681,0.1319,0.0299,0.0199,0.0534,0.0188,0.0009,
"6",55976,-0.0248,0.381,0.5876,0.0314,45636,0.9208,0.0792,0.0187,0.013,0.016,0.0217,0.001,
"7",56259,-0.0198,0.4185,0.5508,0.0307,46266,0.923,0.077,0.0179,0.0143,0.0104,0.0235,0.0014,
"8",56429,-0.0169,0.3917,0.5751,0.0332,45423,0.9259,0.0741,0.0153,0.0076,0.0103,0.0261,0.0012,
"9",56269,-0.0197,0.4241,0.5482,0.0277,43823,0.9087,0.0913,0.0204,0.011,0.0314,0.017,0.0017,
"10",56160,-0.0216,0.573,0.3972,0.0298,46371,0.9195,0.0805,0.0213,0.0113,0.0192,0.0183,0.0013,
"11",58412,0.0177,0.4397,0.5303,0.03,46311,0.9039,0.0961,0.0282,0.0158,0.0246,0.0153,0.0009,
"12",60153,0.048,0.4362,0.5349,0.0289,48022,0.8474,0.1526,0.0433,0.0234,0.0592,0.0146,0.0011,
"13",60252,0.0497,0.5184,0.4514,0.0302,48241,0.7133,0.2867,0.1456,0.0449,0.074,0.016,0.0015,
"14",57166,-0.004,0.3827,0.5911,0.0262,45198,0.9023,0.0977,0.0329,0.0149,0.0262,0.0129,0.0009,
"15",58119,0.0126,0.5616,0.4123,0.0261,47197,0.8814,0.1186,0.0253,0.0319,0.0364,0.0163,0.0007,
"16",57841,0.0077,0.3984,0.5741,0.0275,47442,0.9047,0.0953,0.0276,0.018,0.0248,0.0147,0.001,
"17",55965,-0.0249,0.3842,0.5848,0.031,44874,0.931,0.069,0.0153,0.0089,0.0102,0.0222,0.0008,
"18",56585,-0.0141,0.4322,0.5378,0.03,44815,0.7879,0.2121,0.0996,0.0471,0.0473,0.0178,0.0011,
"19",59132,0.0302,0.3783,0.5955,0.0262,46175,0.9025,0.0975,0.0326,0.0144,0.0264,0.0139,0.0008,
"20",57841,0.0077,0.4899,0.4721,0.038,47683,0.7783,0.2217,0.0917,0.0672,0.0453,0.02,0.0017,
"21",56894,-0.0088,0.6118,0.3598,0.0284,48412,0.8801,0.1199,0.0307,0.0204,0.0497,0.0126,0.0014,
"22",59228,0.0319,0.36,0.6166,0.0235,48385,0.8967,0.1033,0.0414,0.014,0.0309,0.0106,0.0007,
"23",57395,0,0.3676,0.6047,0.0277,46343,0.9354,0.0646,0.0176,0.0085,0.0109,0.0148,0.0008,
"24",56483,-0.0159,0.4979,0.48,0.0221,46653,0.9282,0.0718,0.0187,0.0088,0.0238,0.0114,0.0011,
"",57397,0.075,0.4519,0.5197,0.0284,46695,0.8885,0.1115,0.0355,0.0194,0.0302,0.0172,0.0011,
