ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",229633,-0.0105,0.4476,0.5346,0.0178,187403,0.6297,0.3703,0.2095,0.1375,0.0147,0.0245,0.0014,
"2",232422,0.0015,0.5218,0.4606,0.0175,183797,0.5549,0.4451,0.1687,0.1755,0.0991,0.0163,0.0026,
"3",236205,0.0178,0.4524,0.5261,0.0215,184500,0.7631,0.2369,0.0697,0.1225,0.0286,0.019,0.0012,
"4",233742,0.0072,0.5082,0.4751,0.0167,183888,0.6968,0.3032,0.072,0.1806,0.0404,0.0157,0.0014,
"5",237187,0.022,0.6679,0.3136,0.0185,180761,0.4858,0.5142,0.2438,0.2306,0.0459,0.0201,0.0024,
"6",234823,0.0118,0.6329,0.3508,0.0163,184527,0.6639,0.3361,0.0897,0.1396,0.0992,0.014,0.0013,
"7",230455,-0.007,0.6229,0.3615,0.0155,181640,0.6008,0.3992,0.0723,0.2435,0.0701,0.0153,0.0011,
"8",225591,-0.0279,0.4839,0.4991,0.017,182835,0.7282,0.2718,0.0862,0.1227,0.0531,0.0157,0.002,
"9",230665,-0.0061,0.3397,0.6448,0.0155,195023,0.8706,0.1294,0.0667,0.029,0.0196,0.0125,0.0008,
"10",225640,-0.0277,0.3477,0.6343,0.018,183071,0.8332,0.1668,0.0906,0.0329,0.0301,0.0128,0.0007,
"11",229602,-0.0107,0.5251,0.4565,0.0184,183146,0.6246,0.3754,0.1615,0.1406,0.0503,0.0161,0.0012,
"12",225241,-0.0294,0.3969,0.5854,0.0177,177062,0.7364,0.2636,0.103,0.061,0.0889,0.0114,0.0011,
"13",230186,-0.0081,0.4215,0.5615,0.017,181398,0.7936,0.2064,0.0776,0.034,0.0826,0.0085,0.001,
"14",226184,-0.0254,0.5584,0.4236,0.018,180675,0.5812,0.4188,0.1354,0.0963,0.1822,0.0112,0.0012,
"15",232394,0.0014,0.7046,0.2771,0.0183,182911,0.4247,0.5753,0.2028,0.2595,0.114,0.0166,0.0016,
"16",226298,-0.0249,0.5504,0.4297,0.0199,177676,0.6223,0.3777,0.0774,0.0556,0.2356,0.0084,0.0015,
"17",233721,0.0071,0.7109,0.27,0.0192,187332,0.293,0.707,0.2383,0.2095,0.2615,0.017,0.0016,
"18",235119,0.0131,0.586,0.3941,0.02,182689,0.4544,0.5456,0.1114,0.0806,0.3462,0.0099,0.0013,
"19",237856,0.0249,0.5836,0.398,0.0184,186467,0.3611,0.6389,0.3419,0.1307,0.1798,0.015,0.0019,
"20",228731,-0.0144,0.7241,0.2606,0.0153,175794,0.2103,0.7897,0.4731,0.2682,0.0533,0.0199,0.0018,
"21",229349,-0.0117,0.5252,0.4589,0.0159,173709,0.7132,0.2868,0.103,0.0407,0.1317,0.0076,0.001,
"22",238713,0.0286,0.6492,0.3342,0.0167,183052,0.4088,0.5912,0.3002,0.2392,0.0542,0.0176,0.0016,
"23",237553,0.0236,0.4246,0.5528,0.0227,190099,0.7245,0.2755,0.1256,0.0519,0.0838,0.0133,0.0011,
"24",237969,0.0254,0.3786,0.5983,0.0231,190160,0.8125,0.1875,0.0946,0.0342,0.0429,0.0123,0.0007,
"25",238522,0.0278,0.485,0.4972,0.0178,189905,0.6901,0.3099,0.191,0.0451,0.0651,0.0147,0.0009,
"26",226146,-0.0255,0.4533,0.53,0.0167,182107,0.7004,0.2996,0.0884,0.0326,0.1681,0.009,0.001,
"27",239532,0.0321,0.6927,0.2911,0.0162,185021,0.5106,0.4894,0.2105,0.1463,0.1346,0.0127,0.0013,
"28",228648,-0.0148,0.9203,0.0693,0.0104,170740,0.1375,0.8625,0.1229,0.7202,0.0262,0.0127,0.0014,
"29",231803,-0.0012,0.8444,0.1422,0.0134,179622,0.1352,0.8648,0.4555,0.337,0.0488,0.0191,0.0024,
"30",226439,-0.0243,0.3381,0.6474,0.0145,143193,0.8015,0.1985,0.1143,0.0413,0.0265,0.0107,0.0009,
"31",236630,0.0196,0.7277,0.2534,0.019,183592,0.2938,0.7062,0.3076,0.2632,0.1358,0.0177,0.003,
"32",230767,-0.0056,0.7726,0.2044,0.023,192521,0.4172,0.5828,0.192,0.0769,0.3141,0.0113,0.0023,
"33",236438,0.0188,0.7247,0.259,0.0163,188477,0.1977,0.8023,0.6613,0.0631,0.1016,0.0325,0.0021,
"34",233959,0.0081,0.7484,0.2372,0.0144,182661,0.2663,0.7337,0.2401,0.4339,0.0691,0.0161,0.0019,
"35",239237,0.0309,0.726,0.2569,0.0171,179831,0.2311,0.7689,0.5163,0.2232,0.0581,0.0213,0.0022,
"36",233571,0.0064,0.5673,0.4151,0.0176,181162,0.4238,0.5762,0.3935,0.0657,0.1235,0.0246,0.0014,
"37",229296,-0.012,0.6987,0.2867,0.0146,183177,0.3441,0.6559,0.254,0.1633,0.2511,0.0138,0.0015,
"38",224801,-0.0313,0.5492,0.4353,0.0155,177044,0.5612,0.4388,0.2049,0.0562,0.1815,0.0088,0.0018,
"39",231470,-0.0026,0.4884,0.4971,0.0145,181092,0.7402,0.2598,0.0876,0.0234,0.1419,0.0068,0.0008,
"40",230478,-0.0069,0.4695,0.5156,0.0149,181550,0.7542,0.2458,0.1185,0.0366,0.0854,0.007,0.0009,
"",232075,0.0635,0.5507,0.4319,0.0174,182033,0.5447,0.4553,0.1972,0.1453,0.109,0.0148,0.0015,
