ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",28162,-0.069,0.2229,0.743,0.0341,20833,0.6051,0.3949,0.1901,0.0121,0.015,0.1848,0.0024,
"2",28237,-0.0666,0.3007,0.6591,0.0402,20683,0.4097,0.5903,0.2152,0.0132,0.0109,0.3659,0.002,
"3",28323,-0.0637,0.2186,0.7473,0.0341,21091,0.5644,0.4356,0.2576,0.0066,0.0091,0.1655,0.0012,
"4",28168,-0.0688,0.5502,0.4057,0.0441,20298,0.121,0.879,0.0753,0.0101,0.0118,0.7958,0.0016,
"5",28631,-0.0535,0.6937,0.2639,0.0424,21044,0.084,0.916,0.0878,0.0088,0.0162,0.8211,0.0013,
"6",28185,-0.0683,0.6195,0.3446,0.0359,21052,0.1882,0.8118,0.1619,0.0101,0.0097,0.6491,0.0019,
"7",29884,-0.0121,0.4796,0.4844,0.036,22194,0.2991,0.7009,0.6481,0.0131,0.0099,0.0486,0.0025,
"8",31124,0.0289,0.4315,0.5346,0.0339,24155,0.3947,0.6053,0.5278,0.0221,0.0134,0.0615,0.0015,
"9",28195,-0.0679,0.6593,0.3043,0.0365,20241,0.1061,0.8939,0.1845,0.0133,0.0224,0.7051,0.0019,
"10",30697,0.0148,0.6155,0.3497,0.0348,23530,0.2367,0.7633,0.6856,0.0383,0.0162,0.0441,0.0028,
"11",30889,0.0211,0.7481,0.2145,0.0374,25549,0.3674,0.6326,0.5083,0.0355,0.0228,0.0936,0.002,
"12",30913,0.0219,0.67,0.2987,0.0313,22693,0.1188,0.8812,0.8335,0.019,0.011,0.0453,0.0019,
"13",31134,0.0292,0.6489,0.3133,0.0378,21616,0.1288,0.8712,0.7734,0.0433,0.0221,0.0659,0.0024,
"14",30166,-0.0028,0.7343,0.2288,0.0369,23420,0.2051,0.7949,0.7062,0.0398,0.0161,0.0653,0.0036,
"15",31025,0.0256,0.6317,0.3317,0.0367,24798,0.4042,0.5958,0.4942,0.0265,0.0282,0.0668,0.0021,
