ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",47068,-0.0664,0.3132,0.6475,0.0392,34250,0.4087,0.5913,0.183,0.0157,0.0152,0.3916,0.0024,
"2",47318,-0.0615,0.2133,0.7548,0.0319,35093,0.5673,0.4327,0.2471,0.0077,0.0097,0.1733,0.0012,
"3",47240,-0.063,0.6261,0.3312,0.0427,34429,0.1154,0.8846,0.137,0.0094,0.0157,0.7463,0.0021,
"4",48235,-0.0433,0.6097,0.3524,0.0379,35576,0.1635,0.8365,0.1649,0.0113,0.0158,0.6638,0.0018,
"5",49357,-0.021,0.6688,0.2943,0.0369,38776,0.3138,0.6862,0.5667,0.011,0.0315,0.0927,0.0017,
"6",51532,0.0221,0.7237,0.2397,0.0366,41879,0.4051,0.5949,0.4935,0.0091,0.013,0.0945,0.0019,
"7",51810,0.0276,0.291,0.6794,0.0297,38438,0.4941,0.5059,0.3994,0.063,0.0235,0.035,0.0029,
"8",48310,-0.0418,0.6171,0.3585,0.0244,39297,0.3313,0.6687,0.6212,0.015,0.0097,0.039,0.0023,
"9",51691,0.0253,0.5569,0.4072,0.0359,43021,0.5198,0.4802,0.3655,0.0302,0.0271,0.0732,0.0026,
"10",48840,-0.0313,0.6113,0.3506,0.0381,39621,0.451,0.549,0.4512,0.0261,0.0277,0.0636,0.0025,
"11",50252,-0.0033,0.6654,0.3004,0.0342,36320,0.1118,0.8882,0.8228,0.0286,0.0127,0.0545,0.0021,
"12",51681,0.0251,0.4785,0.4809,0.0406,39029,0.4791,0.5209,0.3972,0.0411,0.0381,0.0653,0.0043,
"13",48663,-0.0348,0.7139,0.2472,0.0388,40401,0.3529,0.6471,0.5228,0.036,0.0296,0.0852,0.0028,
"14",49425,-0.0197,0.6224,0.3434,0.0342,36000,0.1763,0.8237,0.752,0.0302,0.0158,0.0512,0.0017,
"15",49645,-0.0153,0.5848,0.3664,0.0487,40141,0.4519,0.5481,0.3764,0.0506,0.0402,0.1078,0.0029,
"16",50706,0.0057,0.7457,0.213,0.0414,42036,0.5296,0.4704,0.2974,0.0543,0.0671,0.0726,0.0037,
"17",49032,-0.0275,0.6319,0.3207,0.0474,38213,0.3213,0.6787,0.4879,0.0677,0.0453,0.1078,0.0038,
"18",51764,0.0267,0.5608,0.3937,0.0455,42935,0.5602,0.4398,0.292,0.0412,0.0504,0.0697,0.0034,
"19",50289,-0.0025,0.4338,0.5262,0.04,41120,0.6858,0.3142,0.2347,0.0158,0.0243,0.0433,0.0023,
"20",50847,0.0085,0.5429,0.4088,0.0482,41046,0.5422,0.4578,0.3129,0.0452,0.0419,0.0768,0.0036,
"21",51801,0.0274,0.4813,0.4806,0.0382,41410,0.6079,0.3921,0.2466,0.0229,0.0903,0.0373,0.0022,
"22",49066,-0.0268,0.6547,0.3088,0.0365,36134,0.1603,0.8397,0.183,0.0133,0.0119,0.6547,0.0017,
