ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",74327,0.0055,0.5442,0.4075,0.0483,55360,0.4114,0.5886,0.2453,0.201,0.1242,0.0254,0.0213,
"2",74288,0.005,0.4718,0.4908,0.0374,58499,0.6003,0.3997,0.1215,0.0794,0.1821,0.0159,0.0112,
"3",74341,0.0057,0.5511,0.3936,0.0553,56713,0.3969,0.6031,0.3409,0.1729,0.072,0.0318,0.0151,
"4",73440,-0.0065,0.4606,0.4906,0.0488,56762,0.5471,0.4529,0.1973,0.1406,0.0938,0.0282,0.0169,
"5",74196,0.0037,0.5341,0.4178,0.0481,60889,0.4952,0.5048,0.1764,0.1234,0.1864,0.0218,0.0148,
"6",74559,0.0087,0.8208,0.1293,0.0498,51637,0.1277,0.8723,0.5034,0.3227,0.037,0.0343,0.0114,
"7",73952,0.0004,0.6596,0.2888,0.0516,54579,0.2648,0.7352,0.3924,0.2464,0.0829,0.0313,0.0182,
"8",74422,0.0068,0.5621,0.3936,0.0443,57569,0.3482,0.6518,0.1666,0.1266,0.341,0.0208,0.0267,
"9",74654,0.0099,0.5336,0.4213,0.0451,57417,0.4305,0.5695,0.1586,0.1083,0.2872,0.0203,0.0213,
"10",74446,0.0071,0.581,0.3663,0.0528,57870,0.3594,0.6406,0.3731,0.1455,0.1076,0.0309,0.0135,
"11",74489,0.0077,0.744,0.1976,0.0584,54825,0.1889,0.8111,0.6011,0.1613,0.042,0.0334,0.0069,
"12",74495,0.0078,0.5459,0.4048,0.0493,55805,0.3296,0.6704,0.425,0.1112,0.1197,0.0311,0.0127,
"13",74110,0.0026,0.4405,0.5125,0.047,54788,0.5808,0.4192,0.166,0.129,0.1037,0.0292,0.0171,
"14",74603,0.0092,0.6663,0.2745,0.0592,55511,0.2451,0.7549,0.5372,0.1393,0.0697,0.0328,0.0098,
"15",74034,0.0016,0.6393,0.3097,0.051,59745,0.3287,0.6713,0.3421,0.1917,0.1263,0.0297,0.0136,
"16",74606,0.0093,0.553,0.3954,0.0516,59919,0.3965,0.6035,0.2631,0.1656,0.1563,0.0265,0.0181,
"17",74265,0.0047,0.6527,0.2949,0.0524,53705,0.2983,0.7017,0.2805,0.2967,0.1124,0.03,0.021,
"18",74557,0.0086,0.6023,0.3409,0.0567,57472,0.349,0.651,0.36,0.1364,0.1378,0.0313,0.0195,
"19",74367,0.0061,0.3347,0.6135,0.0518,57786,0.7274,0.2726,0.1543,0.0378,0.0498,0.0295,0.0109,
"20",74116,0.0027,0.5898,0.3528,0.0574,59230,0.3989,0.6011,0.3336,0.153,0.0957,0.0329,0.0182,
"21",74616,0.0094,0.5094,0.4429,0.0477,59894,0.5596,0.4404,0.1771,0.0909,0.1473,0.0252,0.0225,
"22",74795,0.0118,0.4356,0.5153,0.0491,58947,0.6404,0.3596,0.156,0.0742,0.1029,0.0267,0.0142,
"23",74593,0.0091,0.3881,0.5756,0.0364,62013,0.7255,0.2745,0.0932,0.0411,0.1184,0.019,0.0094,
"24",72805,-0.0151,0.6218,0.3153,0.0629,59692,0.5351,0.4649,0.2838,0.0568,0.0836,0.0422,0.0145,
"25",72420,-0.0203,0.5141,0.4368,0.0491,57778,0.6933,0.3067,0.1657,0.0269,0.0853,0.027,0.0074,
"26",73327,-0.008,0.4198,0.5359,0.0444,58461,0.7534,0.2466,0.1104,0.0192,0.0872,0.023,0.0058,
"27",72379,-0.0208,0.5435,0.3885,0.0681,56382,0.5745,0.4255,0.2818,0.0341,0.0703,0.041,0.0129,
"28",74439,0.007,0.698,0.2432,0.0588,51243,0.1804,0.8196,0.6098,0.1605,0.0427,0.0391,0.0086,
"29",74444,0.0071,0.5164,0.4303,0.0534,58823,0.5286,0.4714,0.2061,0.1139,0.1295,0.0289,0.0205,
"30",71876,-0.0276,0.5401,0.3929,0.0669,55639,0.4976,0.5024,0.3339,0.0439,0.0877,0.0423,0.0145,
"31",72004,-0.0259,0.3944,0.5516,0.054,55257,0.687,0.313,0.1689,0.0275,0.0796,0.0338,0.0104,
"32",72110,-0.0245,0.3129,0.6269,0.0602,55330,0.6758,0.3242,0.1841,0.0215,0.0348,0.0803,0.0086,
"33",75287,0.0185,0.1882,0.7439,0.0679,56184,0.7066,0.2934,0.1941,0.0238,0.0187,0.0574,0.0045,
"34",74504,0.0079,0.5582,0.3908,0.051,57971,0.4399,0.5601,0.3077,0.1251,0.1096,0.0291,0.0168,
"35",74383,0.0063,0.5132,0.4402,0.0466,55911,0.4519,0.5481,0.1701,0.0941,0.2647,0.0226,0.0236,
"36",75157,0.0167,0.3435,0.5969,0.0596,62771,0.6635,0.3365,0.142,0.0861,0.0779,0.0283,0.0104,
"37",74466,0.0074,0.4922,0.4644,0.0434,61057,0.5979,0.4021,0.1579,0.1168,0.109,0.0224,0.0128,
"38",71621,-0.0311,0.2292,0.7039,0.0669,55295,0.7362,0.2638,0.1321,0.0232,0.0325,0.0744,0.0075,
"39",72203,-0.0232,0.3024,0.6469,0.0507,59360,0.8015,0.1985,0.1135,0.0097,0.0273,0.0417,0.0052,
"40",72443,-0.02,0.3867,0.5536,0.0597,59480,0.7078,0.2922,0.1841,0.0236,0.036,0.0454,0.0064,
"41",74089,0.0023,0.5295,0.4203,0.0501,58858,0.4634,0.5366,0.1984,0.1005,0.2088,0.0244,0.0341,
"42",74386,0.0063,0.5591,0.3918,0.0491,60899,0.3904,0.6096,0.2319,0.1225,0.2381,0.0255,0.0163,
"",73919,0.0496,0.4877,0.4603,0.0521,57460,0.4996,0.5004,0.2525,0.1089,0.1133,0.0324,0.0144,
