ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",148592,0.0051,0.5877,0.3623,0.05,109065,0.3557,0.6443,0.2626,0.2481,0.1184,0.0277,0.0212,
"2",148928,0.0074,0.7196,0.2218,0.0586,106068,0.1848,0.8152,0.6053,0.1609,0.0424,0.0362,0.0077,
"3",148787,0.0064,0.5653,0.3806,0.0541,114583,0.3779,0.6221,0.3572,0.1591,0.09,0.0314,0.0143,
"4",148511,0.0045,0.7262,0.223,0.0509,106216,0.1982,0.8018,0.4464,0.2835,0.0606,0.0328,0.0149,
"5",149239,0.0095,0.4736,0.4753,0.0511,117770,0.5845,0.4155,0.181,0.094,0.1162,0.0278,0.0173,
"6",148970,0.0077,0.5207,0.4326,0.0467,119028,0.521,0.479,0.2308,0.1209,0.1093,0.0256,0.0148,
"7",148673,0.0056,0.5961,0.3469,0.0571,116702,0.3743,0.6257,0.3466,0.1449,0.1164,0.0321,0.0188,
"8",148484,0.0044,0.5002,0.4575,0.0423,119388,0.5467,0.4533,0.1495,0.1019,0.1843,0.0189,0.0131,
"9",149040,0.0081,0.5464,0.4064,0.0471,118316,0.4099,0.5901,0.1963,0.1156,0.262,0.023,0.0187,
"10",148640,0.0054,0.5887,0.3599,0.0514,119664,0.3626,0.6374,0.3025,0.1786,0.1413,0.0281,0.0158,
"11",148805,0.0065,0.5353,0.4192,0.0455,113480,0.3993,0.6007,0.1683,0.1106,0.3034,0.0217,0.0252,
"12",148705,0.0059,0.5187,0.4325,0.0488,118752,0.5119,0.4881,0.1877,0.0957,0.1778,0.0248,0.0282,
"13",144681,-0.0214,0.5804,0.3547,0.0649,115331,0.517,0.483,0.308,0.0506,0.0856,0.0423,0.0145,
"14",144114,-0.0252,0.3561,0.587,0.0569,110587,0.6814,0.3186,0.1765,0.0245,0.0571,0.0571,0.0095,
"15",144799,-0.0206,0.5264,0.4165,0.057,114160,0.6347,0.3653,0.223,0.0305,0.0779,0.0339,0.0101,
"16",145770,-0.014,0.4041,0.5442,0.0516,117941,0.7304,0.2696,0.1476,0.0214,0.0614,0.0343,0.0061,
"17",143824,-0.0272,0.2714,0.671,0.0576,114655,0.77,0.23,0.1225,0.0162,0.0298,0.0575,0.0063,
"18",147550,-0.002,0.4506,0.5015,0.0479,111550,0.5637,0.4363,0.1819,0.1349,0.0987,0.0287,0.017,
"19",150444,0.0176,0.2656,0.6706,0.0638,118955,0.6838,0.3162,0.1666,0.0567,0.05,0.042,0.0076,
"20",148960,0.0076,0.3636,0.593,0.0434,119799,0.7264,0.2736,0.1227,0.0395,0.0853,0.0241,0.0101,
"21",149098,0.0085,0.5955,0.3511,0.0534,111316,0.2874,0.7126,0.481,0.1252,0.0948,0.0319,0.0113,
"",147839,0.0448,0.4877,0.4603,0.0521,114920,0.4996,0.5004,0.2525,0.1089,0.1133,0.0324,0.0144,
