ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",776971,0,0.5112,0.4708,0.0181,624895,0.7433,0.2567,0.1344,0.0552,0.0583,0.0132,0.0009,
"2",776971,0,0.521,0.4617,0.0173,611926,0.5948,0.4052,0.2484,0.1163,0.0388,0.0183,0.0011,
"3",776971,0,0.5638,0.4204,0.0158,621744,0.5828,0.4172,0.1279,0.0454,0.2365,0.0083,0.0013,
"4",776971,0,0.5963,0.389,0.0148,609622,0.529,0.471,0.2029,0.1894,0.0782,0.0127,0.0013,
"5",776971,0,0.8579,0.132,0.0101,616662,0.1317,0.8683,0.1958,0.4722,0.1747,0.0281,0.0048,
"6",776971,0,0.7138,0.2651,0.021,635768,0.2502,0.7498,0.2278,0.0523,0.4725,0.0146,0.0019,
"7",776971,0,0.8574,0.1152,0.0274,629171,0.3698,0.6302,0.3413,0.1483,0.1549,0.0238,0.0031,
"8",776972,0,0.8214,0.1633,0.0153,610827,0.2876,0.7124,0.1577,0.4822,0.0995,0.0141,0.0021,
"9",776972,0,0.8194,0.1625,0.0181,600367,0.3066,0.6934,0.1117,0.4871,0.1061,0.0126,0.0016,
"10",776971,0,0.8628,0.1085,0.0287,634394,0.4968,0.5032,0.1844,0.0833,0.237,0.0155,0.0033,
"11",776971,0,0.52,0.4627,0.0172,612426,0.5405,0.4595,0.1647,0.0819,0.2167,0.0146,0.0015,
"12",776971,0,0.8389,0.1374,0.0237,682247,0.6614,0.3386,0.1092,0.0655,0.1582,0.0086,0.0028,
"13",776971,0,0.9194,0.0604,0.0202,632159,0.1689,0.8311,0.5041,0.3364,0.0667,0.0291,0.0034,
"14",776972,0,0.8362,0.1469,0.0169,613783,0.1956,0.8044,0.4924,0.2214,0.1265,0.0314,0.0029,
"15",776971,0,0.9015,0.0862,0.0122,586079,0.1035,0.8965,0.5353,0.4061,0.0417,0.0288,0.0039,
"16",776971,0,0.7266,0.2571,0.0164,603754,0.4169,0.5831,0.2687,0.2488,0.0757,0.0177,0.0017,
"17",776971,0,0.5664,0.4132,0.0203,585295,0.6578,0.3422,0.1842,0.0935,0.0599,0.013,0.0012,
"18",776971,0,0.5368,0.4364,0.0268,605187,0.6605,0.3395,0.1625,0.1255,0.0384,0.02,0.0014,
"19",776971,0,0.52,0.4457,0.0343,635246,0.8204,0.1796,0.0572,0.0537,0.0433,0.0202,0.0014,
"20",776971,0,0.5705,0.3947,0.0348,624229,0.7552,0.2448,0.054,0.1044,0.0629,0.0189,0.0016,
"21",776971,0,0.4462,0.5211,0.0327,621708,0.881,0.119,0.0357,0.0336,0.0143,0.027,0.0014,
"22",776971,0,0.5343,0.4313,0.0344,615360,0.7914,0.2086,0.0466,0.0981,0.0429,0.0198,0.0012,
"23",776971,0,0.4198,0.5537,0.0266,617991,0.8966,0.1034,0.0308,0.0304,0.0144,0.0213,0.0009,
"24",776971,0,0.4152,0.5517,0.0331,618176,0.8873,0.1127,0.0356,0.0382,0.0114,0.0205,0.0011,
"25",776971,0,0.5795,0.3873,0.0332,619082,0.7075,0.2925,0.0792,0.155,0.0487,0.0149,0.0012,
"26",776971,0,0.6138,0.3612,0.025,620037,0.6877,0.3123,0.0593,0.1816,0.0588,0.0173,0.001,
"",776971,0,0.6325,0.3439,0.0236,618774,0.5446,0.4554,0.1819,0.1679,0.1062,0.0186,0.0019,
