ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",132674,-0.0145,0.5732,0.4095,0.0173,108010,0.7439,0.2561,0.1846,0.0327,0.0217,0.0197,0.001,
"2",132272,-0.0175,0.4445,0.538,0.0175,105709,0.7883,0.2117,0.1241,0.0526,0.0252,0.014,0.0009,
"3",132373,-0.0167,0.4922,0.4883,0.0195,103712,0.647,0.353,0.2042,0.1068,0.034,0.0212,0.0014,
"4",132978,-0.0122,0.5569,0.4234,0.0198,108556,0.651,0.349,0.1398,0.1152,0.0913,0.0138,0.0011,
"5",134158,-0.0035,0.4496,0.5325,0.0179,107073,0.7432,0.2568,0.1375,0.0438,0.0675,0.0105,0.001,
"6",134144,-0.0036,0.7448,0.2405,0.0147,100573,0.1904,0.8096,0.6094,0.1748,0.0372,0.0354,0.0011,
"7",129904,-0.0351,0.4685,0.5116,0.0199,104323,0.785,0.215,0.132,0.0489,0.0269,0.0105,0.0009,
"8",132444,-0.0162,0.4307,0.5528,0.0165,106013,0.8339,0.1661,0.0789,0.0222,0.0551,0.0064,0.0007,
"9",128532,-0.0453,0.4366,0.5471,0.0163,102675,0.8081,0.1919,0.1101,0.0401,0.0363,0.009,0.0008,
"10",130189,-0.033,0.5867,0.3963,0.017,103188,0.6559,0.3441,0.1713,0.0725,0.0967,0.0147,0.001,
"11",137627,0.0223,0.6206,0.3645,0.0149,108597,0.465,0.535,0.2575,0.246,0.0349,0.0202,0.0016,
"12",128050,-0.0488,0.5197,0.4615,0.0188,102008,0.7389,0.2611,0.1339,0.0596,0.0615,0.0111,0.001,
"13",130588,-0.03,0.6267,0.3584,0.0149,103133,0.5192,0.4808,0.2116,0.1014,0.1648,0.0111,0.0007,
"14",133747,-0.0065,0.4815,0.5024,0.0161,104911,0.8298,0.1702,0.0876,0.0219,0.0524,0.0059,0.0007,
"15",134447,-0.0013,0.5256,0.4584,0.016,106379,0.6873,0.3127,0.0926,0.02,0.1924,0.0067,0.001,
"16",138807,0.0311,0.6051,0.3798,0.0151,107328,0.6045,0.3955,0.0901,0.0244,0.2729,0.0069,0.0011,
"17",129186,-0.0404,0.4589,0.5255,0.0156,103631,0.7337,0.2663,0.123,0.0303,0.1064,0.0081,0.0009,
"18",135092,0.0035,0.9117,0.079,0.0093,102839,0.0652,0.9348,0.4336,0.4901,0.0277,0.0253,0.0019,
"19",135329,0.0052,0.4787,0.505,0.0163,107921,0.6625,0.3375,0.1263,0.0402,0.1618,0.008,0.0012,
"20",132181,-0.0182,0.5222,0.4621,0.0157,103032,0.7426,0.2574,0.1529,0.0549,0.0406,0.0084,0.0009,
"21",139710,0.0378,0.5986,0.3858,0.0156,110251,0.5437,0.4563,0.2128,0.1861,0.0594,0.0124,0.0015,
"22",130180,-0.033,0.6832,0.3031,0.0136,103434,0.3388,0.6612,0.1891,0.3095,0.1631,0.0155,0.0016,
