ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",325503,0.0155,0.5321,0.4496,0.0183,264918,0.7337,0.2663,0.15,0.0575,0.0477,0.0155,0.0009,
"2",320585,0.0001,0.5018,0.4805,0.0177,255445,0.775,0.225,0.1112,0.0405,0.0657,0.01,0.0009,
"3",325503,0.0155,0.4797,0.5015,0.0188,257751,0.6896,0.3104,0.1736,0.084,0.0458,0.0168,0.0012,
"4",325503,0.0155,0.6516,0.3334,0.015,250035,0.3599,0.6401,0.3986,0.1996,0.0486,0.0262,0.0014,
"5",325504,0.0155,0.5063,0.4776,0.0161,258804,0.7096,0.2904,0.1154,0.0275,0.1407,0.0076,0.001,
"6",325503,0.0155,0.6979,0.2886,0.0135,252926,0.3478,0.6522,0.306,0.3044,0.048,0.0178,0.0014,
"7",325503,0.0155,0.5756,0.4091,0.0153,254784,0.6375,0.3625,0.1078,0.0289,0.2182,0.0068,0.0009,
"8",325504,0.0155,0.4324,0.5503,0.0173,262114,0.8127,0.1873,0.1079,0.0387,0.0335,0.0085,0.0007,
"9",325504,0.0155,0.5779,0.4071,0.0149,256519,0.5622,0.4378,0.1672,0.1622,0.1041,0.0114,0.0014,
"10",319736,-0.0025,0.8313,0.1586,0.0101,249312,0.1685,0.8315,0.1705,0.5483,0.0954,0.0268,0.0046,
"11",319736,-0.0025,0.7121,0.272,0.0159,261909,0.3024,0.6976,0.1798,0.1151,0.385,0.015,0.0035,
"12",319736,-0.0025,0.764,0.2085,0.0275,264732,0.3539,0.6461,0.3059,0.0447,0.2976,0.0222,0.0023,
"13",319736,-0.0025,0.8351,0.1468,0.0181,251241,0.0865,0.9135,0.6032,0.0811,0.2433,0.0423,0.0023,
"14",319736,-0.0025,0.8802,0.107,0.0128,256155,0.1677,0.8323,0.1656,0.4988,0.1705,0.018,0.003,
"15",319736,-0.0025,0.705,0.2778,0.0172,256843,0.2917,0.7083,0.3003,0.097,0.2783,0.0297,0.0046,
"16",319736,-0.0025,0.6774,0.303,0.0195,264197,0.1968,0.8032,0.1443,0.0519,0.6113,0.0086,0.0016,
"17",319736,-0.0025,0.6399,0.3366,0.0235,247724,0.3102,0.6898,0.1664,0.0243,0.5017,0.017,0.0013,
"18",319736,-0.0025,0.8807,0.0912,0.0281,248190,0.3387,0.6613,0.4254,0.1722,0.0896,0.0277,0.0034,
"19",319736,-0.0025,0.9358,0.0571,0.0071,247021,0.0553,0.9447,0.184,0.7441,0.0544,0.0153,0.0024,
"20",319736,-0.0025,0.9215,0.0541,0.0244,258647,0.3208,0.6792,0.114,0.5181,0.0629,0.0127,0.0019,
"21",319736,-0.0025,0.8538,0.1306,0.0156,252373,0.2347,0.7653,0.1147,0.5708,0.0963,0.0133,0.0018,
"22",319735,-0.0025,0.4294,0.5512,0.0194,222236,0.6608,0.3392,0.0942,0.0342,0.1932,0.0093,0.0011,
"23",319736,-0.0025,0.6415,0.3421,0.0164,250872,0.4554,0.5446,0.2141,0.2031,0.1433,0.0196,0.002,
"24",319736,-0.0025,0.3985,0.5878,0.0137,254435,0.7267,0.2733,0.1146,0.0343,0.1208,0.0079,0.0013,
"25",319736,-0.0025,0.9485,0.0273,0.0241,251561,0.2396,0.7604,0.1862,0.5359,0.0715,0.0182,0.0026,
"26",319736,-0.0025,0.819,0.1526,0.0284,260860,0.5157,0.4843,0.2264,0.093,0.1703,0.0194,0.0024,
"27",319736,-0.0025,0.8604,0.1116,0.028,281052,0.5146,0.4854,0.1537,0.0777,0.2576,0.0109,0.0043,
"28",319736,-0.0025,0.8013,0.1764,0.0223,279424,0.7147,0.2853,0.0799,0.0448,0.1513,0.0064,0.0029,
"29",319736,-0.0025,0.9105,0.074,0.0155,246665,0.1447,0.8553,0.531,0.3441,0.0608,0.0312,0.0035,
"30",319736,-0.0025,0.9363,0.0419,0.0218,265174,0.2286,0.7714,0.3021,0.4324,0.0882,0.0248,0.0028,
"31",319735,-0.0025,0.9001,0.0792,0.0207,258824,0.1649,0.8351,0.6527,0.2394,0.0424,0.0298,0.0038,
"32",319736,-0.0025,0.9352,0.0557,0.0092,233327,0.0183,0.9817,0.638,0.4322,0.0182,0.0323,0.0045,
"33",319735,-0.0025,0.8656,0.1183,0.0161,244840,0.1826,0.8174,0.5526,0.2644,0.0719,0.0311,0.0036,
"34",319735,-0.0025,0.7931,0.1925,0.0144,248239,0.2126,0.7874,0.455,0.2611,0.114,0.0263,0.0028,
"35",319736,-0.0025,0.7003,0.2823,0.0174,248516,0.4434,0.5566,0.3153,0.1748,0.0862,0.0187,0.0016,
"36",319735,-0.0025,0.9135,0.077,0.0095,252109,0.092,0.908,0.257,0.6508,0.0383,0.0175,0.0029,
"37",319735,-0.0025,0.6585,0.3233,0.0182,246773,0.6159,0.3841,0.2137,0.0793,0.0856,0.014,0.0014,
