ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",118269,-0.0077,0.7997,0.1819,0.0184,92914,0.521,0.479,0.0505,0.3896,0.024,0.0209,0.0016,
"2",121167,0.0166,0.7292,0.2508,0.0199,90375,0.3687,0.6313,0.0733,0.508,0.0411,0.0216,0.0016,
"3",119267,0.0007,0.8121,0.1661,0.0218,93487,0.4798,0.5202,0.0672,0.3865,0.0531,0.0195,0.0017,
"4",113292,-0.0495,0.5216,0.4595,0.0189,86714,0.7677,0.2323,0.0299,0.1282,0.0562,0.0157,0.0011,
"5",116055,-0.0263,0.4965,0.4813,0.0222,87110,0.6691,0.3309,0.0437,0.2247,0.0416,0.0241,0.0012,
"6",116844,-0.0197,0.5537,0.42,0.0264,86245,0.653,0.347,0.12,0.1591,0.0499,0.0251,0.0014,
"7",123620,0.0372,0.6581,0.3217,0.0202,105744,0.8132,0.1868,0.0369,0.0505,0.0852,0.01,0.0017,
"8",123378,0.0352,0.6147,0.3635,0.0218,97754,0.733,0.267,0.0516,0.1028,0.0948,0.0164,0.0013,
"9",117175,-0.0169,0.658,0.3201,0.0218,88251,0.5003,0.4997,0.0679,0.3314,0.0838,0.0197,0.0009,
"10",118982,-0.0017,0.4961,0.4819,0.0219,89829,0.701,0.299,0.0641,0.1856,0.0272,0.0241,0.0012,
"11",124045,0.0408,0.5206,0.4598,0.0196,93803,0.7637,0.2363,0.0409,0.0489,0.1292,0.0137,0.0012,
"12",114076,-0.0429,0.3095,0.6694,0.0211,90040,0.8689,0.1311,0.0203,0.0606,0.0249,0.0202,0.0007,
"13",125018,0.0489,0.7125,0.2614,0.0261,100507,0.6752,0.3248,0.1334,0.1458,0.0352,0.0191,0.0018,
"14",125123,0.0498,0.5191,0.4528,0.0281,101824,0.8033,0.1967,0.0709,0.0747,0.0344,0.0175,0.0011,
"15",125126,0.0498,0.4956,0.4808,0.0236,100415,0.7507,0.2493,0.1169,0.0846,0.0363,0.0172,0.0016,
"16",124466,0.0443,0.5146,0.464,0.0215,100299,0.8769,0.1231,0.0328,0.0367,0.037,0.0119,0.0008,
"17",124902,0.048,0.4932,0.4855,0.0213,100810,0.8605,0.1395,0.0365,0.0362,0.0502,0.0117,0.001,
"18",125122,0.0498,0.8777,0.1075,0.0148,95300,0.1925,0.8075,0.0261,0.768,0.0114,0.0135,0.0008,
"19",123250,0.0341,0.6004,0.3837,0.016,97942,0.6684,0.3316,0.0235,0.2321,0.0646,0.0112,0.0006,
"20",125116,0.0498,0.8752,0.107,0.0178,100372,0.3109,0.6891,0.0819,0.5465,0.0595,0.0143,0.0014,
"21",125129,0.0499,0.743,0.2412,0.0158,99815,0.4718,0.5282,0.0208,0.4693,0.0303,0.0115,0.0009,
"22",125144,0.05,0.8613,0.1259,0.0128,97933,0.3863,0.6137,0.0259,0.5403,0.042,0.0111,0.0011,
"23",124913,0.048,0.4842,0.4932,0.0226,102986,0.83,0.17,0.0173,0.1098,0.0239,0.0138,0.0008,
"24",122543,0.0282,0.6859,0.2899,0.0242,95361,0.5458,0.4542,0.0556,0.3555,0.0271,0.0175,0.0014,
"25",115014,-0.035,0.7397,0.237,0.0233,91731,0.5348,0.4652,0.0405,0.3617,0.0487,0.016,0.0012,
"26",120124,0.0079,0.6967,0.2842,0.0191,94961,0.5291,0.4709,0.0293,0.3991,0.0286,0.0153,0.0015,
"27",124316,0.043,0.5043,0.4763,0.0194,94251,0.7499,0.2501,0.0259,0.1625,0.0457,0.0134,0.0011,
"28",120869,0.0141,0.5016,0.4771,0.0212,93715,0.6763,0.3237,0.0585,0.1815,0.0663,0.0167,0.0029,
"29",113611,-0.0468,0.3974,0.5807,0.0218,86612,0.7104,0.2896,0.0234,0.2175,0.0251,0.0212,0.0014,
"30",114162,-0.0422,0.2842,0.6935,0.0224,88895,0.8906,0.1094,0.0126,0.0593,0.0167,0.0157,0.0009,
