ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",350009,-0.0211,0.2696,0.7062,0.0243,269352,0.9054,0.0946,0.0499,0.0149,0.0092,0.0174,0.0009,
"2",344251,-0.0372,0.4975,0.4761,0.0264,269281,0.7558,0.2442,0.0576,0.15,0.0166,0.0198,0.0008,
"3",348329,-0.0258,0.5063,0.4729,0.0208,263653,0.7124,0.2876,0.0461,0.1797,0.0415,0.0213,0.0012,
"4",368937,0.0318,0.3589,0.6198,0.0213,283262,0.778,0.222,0.0538,0.0972,0.0483,0.0214,0.0017,
"5",365339,0.0218,0.3526,0.6262,0.0212,282899,0.8087,0.1913,0.018,0.1325,0.0168,0.0203,0.0011,
"6",358600,0.0029,0.4913,0.4853,0.0234,280423,0.7061,0.2939,0.0381,0.1987,0.0358,0.0215,0.0015,
"7",366653,0.0254,0.3776,0.6015,0.0208,276504,0.8082,0.1918,0.0261,0.0825,0.0628,0.016,0.0013,
"8",348642,-0.0249,0.3953,0.5829,0.0218,269222,0.7581,0.2419,0.0321,0.1527,0.0367,0.0178,0.0017,
"9",357681,0.0003,0.706,0.2721,0.0218,282053,0.5366,0.4634,0.0418,0.3722,0.0346,0.0163,0.0014,
"10",345985,-0.0324,0.3573,0.6193,0.0233,270968,0.84,0.16,0.0262,0.0817,0.0259,0.0221,0.0015,
"11",345846,-0.0328,0.5415,0.4331,0.0254,270877,0.7679,0.2321,0.0536,0.1344,0.0233,0.0195,0.0007,
"12",344252,-0.0372,0.2336,0.7458,0.0207,262250,0.8973,0.1027,0.0188,0.0516,0.0091,0.0174,0.0023,
"13",360945,0.0095,0.4816,0.493,0.0254,283154,0.8065,0.1935,0.0812,0.0782,0.0145,0.0208,0.001,
"14",353762,-0.0106,0.2862,0.6922,0.0217,273573,0.9228,0.0772,0.015,0.0212,0.0111,0.0236,0.0007,
"15",356280,-0.0036,0.7044,0.2744,0.0212,269534,0.5122,0.4878,0.0804,0.3555,0.038,0.0225,0.0016,
"16",361499,0.011,0.4983,0.4809,0.0208,281597,0.7867,0.2133,0.038,0.0714,0.0839,0.0167,0.0011,
"17",350486,-0.0198,0.3018,0.6784,0.0198,271424,0.9283,0.0717,0.0091,0.03,0.0055,0.0223,0.0008,
"18",372274,0.0412,0.4976,0.4817,0.0207,298928,0.7903,0.2097,0.0318,0.1258,0.0341,0.0142,0.0007,
"19",357680,0.0003,0.3609,0.6192,0.0199,263585,0.8744,0.1256,0.0209,0.0305,0.0541,0.015,0.001,
"20",359774,0.0062,0.3534,0.6241,0.0224,274750,0.8683,0.1317,0.0182,0.0604,0.0255,0.0222,0.0009,
"21",375395,0.0499,0.8249,0.1607,0.0144,293048,0.3524,0.6476,0.0242,0.5902,0.0281,0.012,0.0009,
"22",359853,0.0064,0.343,0.6329,0.0241,280739,0.8995,0.1005,0.0181,0.045,0.0122,0.0181,0.0009,
"23",375257,0.0495,0.6923,0.2833,0.0243,302703,0.5975,0.4025,0.0953,0.2547,0.043,0.017,0.0014,
"24",374494,0.0474,0.5015,0.4765,0.0221,301524,0.8294,0.1706,0.062,0.0525,0.0412,0.0136,0.0011,
"25",360062,0.007,0.7028,0.2761,0.0212,287482,0.6087,0.3913,0.0563,0.246,0.0743,0.0161,0.0015,
"26",340983,-0.0464,0.313,0.66,0.027,264218,0.8926,0.1074,0.0339,0.0343,0.0168,0.0179,0.0008,
"27",362577,0.014,0.4976,0.4797,0.0227,287674,0.8293,0.1707,0.0172,0.0932,0.0372,0.0172,0.0007,
"28",370798,0.037,0.5317,0.443,0.0253,295936,0.7653,0.2347,0.0215,0.1505,0.0387,0.0197,0.001,
"29",354275,-0.0092,0.4193,0.556,0.0247,278490,0.8489,0.1511,0.0232,0.0884,0.0122,0.0214,0.0008,
"30",342270,-0.0428,0.3687,0.6088,0.0224,276860,0.9115,0.0885,0.0125,0.0412,0.0098,0.0191,0.0008,
"31",345256,-0.0344,0.3205,0.6552,0.0244,266354,0.9235,0.0765,0.0186,0.0253,0.0075,0.021,0.0007,
"32",363792,0.0174,0.436,0.5399,0.0241,289109,0.8801,0.1199,0.0213,0.0642,0.0081,0.0186,0.0008,
"33",357212,-0.001,0.4414,0.5371,0.0216,286136,0.829,0.171,0.0368,0.1059,0.0089,0.017,0.0008,
"Summary",357559,0.0962,0.4535,0.5241,0.0224,279017,0.784,0.216,0.0365,0.1291,0.0294,0.0186,0.0011,
