ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",38865,-0.0086,0.205,0.77,0.025,29367,0.6465,0.3535,0.0431,0.0816,0.0061,0.2233,0.0089,
"2",39281,0.002,0.2556,0.7137,0.0306,29959,0.6217,0.3783,0.033,0.025,0.0099,0.3179,0.0008,
"3",38945,-0.0065,0.2297,0.7397,0.0306,29492,0.7202,0.2798,0.0625,0.0263,0.0101,0.1809,0.0016,
"4",39415,0.0054,0.3873,0.5708,0.0419,30364,0.4957,0.5043,0.0588,0.0219,0.0111,0.4227,0.0008,
"5",38785,-0.0106,0.242,0.7286,0.0294,31020,0.6652,0.3348,0.0276,0.0091,0.0105,0.2871,0.0013,
"6",38889,-0.008,0.2266,0.741,0.0324,29877,0.6781,0.3219,0.0238,0.0269,0.012,0.263,0.0012,
"7",38785,-0.0106,0.275,0.6892,0.0357,30053,0.6867,0.3133,0.0384,0.0145,0.0079,0.247,0.0055,
"8",38760,-0.0113,0.225,0.742,0.033,29010,0.6987,0.3013,0.0342,0.0129,0.0124,0.241,0.0015,
"9",38924,-0.0071,0.2552,0.7035,0.0413,29763,0.6849,0.3151,0.0551,0.0315,0.0216,0.2067,0.0018,
"10",39562,0.0092,0.22,0.7438,0.0362,30254,0.7065,0.2935,0.0442,0.0334,0.0122,0.2069,0.0011,
"11",39453,0.0064,0.2536,0.7078,0.0386,30051,0.7264,0.2736,0.0458,0.0283,0.0304,0.1718,0.0014,
"12",38441,-0.0194,0.219,0.7491,0.0318,28891,0.723,0.277,0.0453,0.0367,0.0159,0.1747,0.0008,
"13",38980,-0.0056,0.3753,0.5916,0.0331,29983,0.5743,0.4257,0.0449,0.1509,0.0099,0.237,0.0017,
"14",38618,-0.0149,0.3299,0.6344,0.0357,29547,0.6113,0.3887,0.0563,0.0766,0.01,0.2577,0.001,
"15",38469,-0.0187,0.2562,0.7166,0.0272,30376,0.7135,0.2865,0.0225,0.0217,0.0044,0.2416,0.0014,
"16",38668,-0.0136,0.3296,0.6372,0.0332,29598,0.6372,0.3628,0.0385,0.1016,0.0081,0.2294,0.0011,
"17",38420,-0.0199,0.2577,0.71,0.0324,29736,0.6993,0.3007,0.035,0.0272,0.01,0.2327,0.0013,
"18",38438,-0.0195,0.2439,0.7281,0.0281,30222,0.6398,0.3602,0.0426,0.0729,0.0064,0.2425,0.0016,
"19",38433,-0.0196,0.2137,0.7585,0.0278,29894,0.6877,0.3123,0.0349,0.0559,0.0051,0.2203,0.001,
"20",38918,-0.0072,0.2301,0.7329,0.037,29364,0.7698,0.2302,0.0573,0.0356,0.0126,0.1211,0.0016,
"21",38420,-0.0199,0.2375,0.729,0.0335,29584,0.6997,0.3003,0.0636,0.0266,0.0105,0.2061,0.0013,
"22",39092,-0.0028,0.2176,0.753,0.0294,30100,0.7081,0.2919,0.0422,0.0337,0.0068,0.2097,0.0017,
"23",38981,-0.0056,0.3228,0.6365,0.0407,28192,0.5303,0.4697,0.2144,0.0773,0.0331,0.157,0.0021,
"24",38814,-0.0099,0.2433,0.7215,0.0352,27769,0.7082,0.2918,0.0605,0.0325,0.0367,0.1667,0.0021,
"25",39307,0.0027,0.2885,0.6762,0.0353,29897,0.6553,0.3447,0.0443,0.0408,0.0144,0.2566,0.001,
"26",38973,-0.0058,0.3097,0.6506,0.0397,29957,0.6877,0.3123,0.0576,0.0563,0.0151,0.1914,0.0021,
"27",39484,0.0072,0.2623,0.6963,0.0414,29555,0.7617,0.2383,0.0467,0.0287,0.013,0.1498,0.0023,
"28",39344,0.0036,0.2516,0.7164,0.032,30093,0.6889,0.3111,0.0405,0.0506,0.0078,0.2167,0.0014,
"29",39200,0,0.2197,0.7466,0.0337,29827,0.7649,0.2351,0.0322,0.0302,0.0072,0.1677,0.0012,
"30",38434,-0.0196,0.2664,0.6966,0.0371,29246,0.7128,0.2872,0.0525,0.0463,0.0097,0.1827,0.0018,
"31",39871,0.0171,0.2559,0.7055,0.0386,28971,0.7699,0.2301,0.0767,0.0566,0.0123,0.0839,0.0017,
"32",38442,-0.0194,0.2052,0.7609,0.034,29031,0.8129,0.1871,0.0262,0.0268,0.0074,0.1257,0.0014,
"33",39799,0.0152,0.3043,0.6552,0.0405,30845,0.7479,0.2521,0.0461,0.0857,0.015,0.1075,0.0015,
"34",39198,-0.0001,0.4592,0.4831,0.0577,34036,0.7038,0.2962,0.0693,0.0618,0.0716,0.095,0.0025,
"35",38438,-0.0195,0.2273,0.7372,0.0355,29333,0.785,0.215,0.0273,0.0154,0.0077,0.1634,0.0011,
"36",38603,-0.0153,0.2343,0.7263,0.0394,29458,0.7898,0.2102,0.0465,0.0339,0.0134,0.1135,0.0018,
"37",39314,0.0029,0.2746,0.6867,0.0387,30101,0.7008,0.2992,0.0591,0.0431,0.0085,0.1867,0.0063,
"38",39987,0.02,0.1749,0.7907,0.0344,30325,0.8237,0.1763,0.05,0.0178,0.0074,0.0985,0.003,
"39",39851,0.0166,0.3347,0.6236,0.0416,29545,0.7578,0.2422,0.0569,0.0786,0.0402,0.0693,0.0025,
"40",39258,0.0014,0.2657,0.6907,0.0436,28945,0.6809,0.3191,0.1462,0.0478,0.0203,0.0662,0.0461,
"41",39371,0.0043,0.2639,0.7015,0.0345,27007,0.7575,0.2425,0.0621,0.0612,0.0461,0.0745,0.0018,
"42",38643,-0.0142,0.2011,0.7684,0.0305,29102,0.7535,0.2465,0.0838,0.0226,0.0054,0.136,0.0014,
"43",39100,-0.0026,0.2815,0.6702,0.0483,29054,0.7442,0.2558,0.0789,0.0405,0.0494,0.0869,0.0025,
"44",39842,0.0163,0.6219,0.3102,0.0679,34074,0.6967,0.3033,0.0928,0.0555,0.0496,0.0861,0.0025,
"45",39613,0.0105,0.4927,0.4474,0.06,30909,0.6828,0.3172,0.0752,0.0831,0.0561,0.1065,0.0029,
"46",39590,0.0099,0.4679,0.4864,0.0457,30653,0.7243,0.2757,0.0718,0.0496,0.0569,0.1021,0.003,
"47",38562,-0.0163,0.244,0.714,0.042,28094,0.74,0.26,0.0793,0.0361,0.0564,0.0891,0.0024,
"48",39007,-0.005,0.2684,0.6979,0.0337,29999,0.6705,0.3295,0.0753,0.094,0.0168,0.1415,0.0025,
"49",38523,-0.0173,0.1978,0.7707,0.0315,29228,0.7239,0.2761,0.0996,0.0219,0.0068,0.1413,0.0009,
"50",38435,-0.0196,0.1917,0.7801,0.0282,29477,0.778,0.222,0.0742,0.029,0.009,0.1108,0.0013,
"51",38848,-0.009,0.1773,0.7931,0.0296,29415,0.8212,0.1788,0.0401,0.0129,0.0074,0.1145,0.0011,
"52",39144,-0.0015,0.2088,0.764,0.0272,29777,0.6742,0.3258,0.1763,0.0791,0.0171,0.0619,0.0041,
"53",39650,0.0114,0.3373,0.6114,0.0513,29083,0.6945,0.3055,0.093,0.0713,0.0467,0.1001,0.0032,
"54",40018,0.0208,0.3329,0.6131,0.0541,30152,0.6458,0.3542,0.1292,0.0877,0.0406,0.106,0.0042,
"55",39554,0.009,0.1804,0.7902,0.0294,29120,0.7821,0.2179,0.0933,0.0307,0.007,0.0906,0.0015,
"56",38644,-0.0142,0.2182,0.7483,0.0336,30511,0.6986,0.3014,0.1289,0.066,0.0073,0.1032,0.0015,
"57",39522,0.0082,0.1993,0.7697,0.0309,30319,0.7099,0.2901,0.1335,0.0566,0.0138,0.0943,0.0018,
"58",39162,-0.001,0.1356,0.8356,0.0289,30092,0.8197,0.1803,0.091,0.023,0.0105,0.0573,0.0021,
"59",38885,-0.0081,0.1496,0.823,0.0274,28856,0.7794,0.2206,0.1082,0.0252,0.0096,0.071,0.0116,
"60",38790,-0.0105,0.2705,0.6897,0.0399,28199,0.7207,0.2793,0.106,0.0467,0.0379,0.0914,0.0011,
"61",38526,-0.0172,0.118,0.8539,0.0281,28264,0.5935,0.4065,0.3153,0.039,0.0164,0.0505,0.0021,
"62",38853,-0.0089,0.4365,0.5184,0.0451,29215,0.5132,0.4868,0.1211,0.2426,0.0617,0.0798,0.0125,
"63",38509,-0.0177,0.2453,0.7225,0.0322,29692,0.6569,0.3431,0.1224,0.0967,0.0216,0.1056,0.0054,
"64",38977,-0.0057,0.4327,0.5187,0.0486,30064,0.539,0.461,0.1222,0.2188,0.0382,0.1038,0.0106,
"65",39270,0.0017,0.2843,0.6821,0.0336,29331,0.6298,0.3702,0.0883,0.0644,0.019,0.2138,0.0054,
"66",39775,0.0146,0.2608,0.7011,0.038,30239,0.7385,0.2615,0.0391,0.0279,0.008,0.1876,0.0012,
"67",39317,0.0029,0.3309,0.6323,0.0369,30865,0.6854,0.3146,0.0718,0.084,0.067,0.0971,0.0014,
"68",38486,-0.0182,0.3297,0.6307,0.0396,28066,0.6428,0.3572,0.071,0.0807,0.0662,0.1422,0.0067,
"69",38901,-0.0077,0.2855,0.681,0.0335,29678,0.7182,0.2818,0.0686,0.0596,0.0606,0.0921,0.0013,
"70",38836,-0.0093,0.4591,0.5033,0.0376,31600,0.7328,0.2672,0.0571,0.075,0.0253,0.1122,0.0018,
"71",39548,0.0088,0.5234,0.4302,0.0464,31813,0.5998,0.4002,0.084,0.1639,0.051,0.1122,0.0022,
"72",39602,0.0102,0.5752,0.3787,0.0461,30420,0.487,0.513,0.2168,0.1575,0.0236,0.1332,0.0037,
"73",38917,-0.0073,0.8525,0.1128,0.0347,28714,0.2075,0.7925,0.1177,0.6095,0.0087,0.1028,0.0031,
"74",39980,0.0199,0.2677,0.6926,0.0397,29730,0.7169,0.2831,0.069,0.0446,0.0337,0.1391,0.0018,
"75",39446,0.0062,0.3846,0.5765,0.0389,28431,0.4786,0.5214,0.2486,0.1201,0.07,0.1,0.0018,
"76",39039,-0.0041,0.3323,0.6286,0.0391,29276,0.6486,0.3514,0.0948,0.073,0.0803,0.1085,0.0022,
"77",39145,-0.0014,0.4801,0.4703,0.0496,28306,0.4468,0.5532,0.3102,0.1127,0.0171,0.1312,0.0025,
"78",39945,0.019,0.5241,0.4296,0.0463,31512,0.594,0.406,0.158,0.109,0.0287,0.1227,0.0033,
"79",39750,0.014,0.4353,0.523,0.0417,30845,0.5619,0.4381,0.157,0.1457,0.0404,0.112,0.002,
"80",39625,0.0108,0.2787,0.6838,0.0374,30144,0.7138,0.2862,0.0672,0.0616,0.0443,0.1175,0.0014,
"81",39143,-0.0015,0.3545,0.5992,0.0463,30709,0.7433,0.2567,0.0619,0.0769,0.044,0.0783,0.0018,
"82",39875,0.0172,0.3595,0.6045,0.0361,28678,0.6738,0.3262,0.0602,0.1068,0.0973,0.0635,0.0023,
"83",39885,0.0174,0.4054,0.5561,0.0385,32084,0.6711,0.3289,0.0617,0.1459,0.0615,0.066,0.0017,
"84",39605,0.0103,0.3868,0.5646,0.0485,29912,0.5756,0.4244,0.2073,0.1151,0.0349,0.0765,0.0033,
"85",39830,0.016,0.4738,0.4845,0.0417,32713,0.7235,0.2765,0.0647,0.1008,0.0397,0.075,0.0019,
"86",38458,-0.019,0.2551,0.7114,0.0335,28903,0.4844,0.5156,0.0396,0.0067,0.0117,0.4645,0.0012,
"87",39914,0.0182,0.532,0.4131,0.0549,30910,0.4927,0.5073,0.2284,0.1564,0.0548,0.0844,0.0024,
"88",39584,0.0098,0.6558,0.2899,0.0543,31679,0.5471,0.4529,0.2231,0.0865,0.0704,0.0865,0.002,
"89",39776,0.0147,0.5802,0.3705,0.0493,27203,0.2359,0.7641,0.6264,0.0733,0.0111,0.0915,0.0025,
"90",38917,-0.0073,0.3673,0.5873,0.0454,28653,0.5222,0.4778,0.2075,0.1353,0.0626,0.0889,0.0022,
"91",39748,0.0139,0.3138,0.6487,0.0375,30478,0.6508,0.3492,0.0942,0.0632,0.1121,0.0852,0.0017,
"92",39950,0.0191,0.557,0.3937,0.0492,29711,0.3684,0.6316,0.4148,0.1263,0.0227,0.0905,0.0015,
"93",39752,0.014,0.4733,0.4806,0.046,27583,0.3688,0.6312,0.4417,0.0951,0.0219,0.0954,0.0056,
"94",39784,0.0149,0.4852,0.464,0.0508,29359,0.4895,0.5105,0.1224,0.2743,0.0428,0.0899,0.0047,
"95",39967,0.0195,0.4126,0.5353,0.0521,30570,0.6061,0.3939,0.0838,0.186,0.0417,0.0933,0.0048,
"96",39716,0.0131,0.3497,0.614,0.0362,30437,0.6882,0.3118,0.0549,0.1313,0.0657,0.0658,0.003,
