ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",80756,-0.021,0.265,0.7012,0.0338,62521,0.6715,0.3285,0.033,0.0192,0.0078,0.2662,0.0033,
"2",83213,0.0088,0.2416,0.7204,0.038,62898,0.6989,0.3011,0.0536,0.0255,0.0237,0.1983,0.0014,
"3",80562,-0.0233,0.2507,0.7158,0.0335,60926,0.6609,0.3391,0.0334,0.0301,0.0108,0.2656,0.0009,
"4",80677,-0.0219,0.2445,0.7254,0.0301,62156,0.5809,0.4191,0.0343,0.0136,0.0114,0.3647,0.0011,
"5",81765,-0.0087,0.2162,0.7562,0.0276,61870,0.6852,0.3148,0.0517,0.0519,0.0077,0.2039,0.005,
"6",83910,0.0173,0.2237,0.7466,0.0297,64743,0.6918,0.3082,0.0462,0.0448,0.0079,0.2139,0.0012,
"7",83563,0.0131,0.2487,0.7209,0.0304,64423,0.6801,0.3199,0.0382,0.0295,0.0093,0.2472,0.0014,
"8",81039,-0.0175,0.3033,0.666,0.0307,63243,0.66,0.34,0.0286,0.0761,0.0063,0.2402,0.0011,
"9",81178,-0.0159,0.3902,0.5716,0.0382,62487,0.5349,0.4651,0.063,0.0992,0.0121,0.3057,0.0012,
"10",82655,0.002,0.2432,0.7206,0.0362,63193,0.7205,0.2795,0.0475,0.029,0.0089,0.1934,0.0035,
"11",80676,-0.0219,0.7467,0.2124,0.0408,60029,0.3209,0.6791,0.203,0.3785,0.0148,0.1154,0.0032,
"12",82804,0.0039,0.2458,0.7183,0.0359,62704,0.7394,0.2606,0.0418,0.0336,0.0107,0.1772,0.0015,
"13",83639,0.014,0.2504,0.7174,0.0322,64105,0.6849,0.3151,0.0562,0.0415,0.0099,0.2144,0.0017,
"14",82137,-0.0042,0.2345,0.7328,0.0327,62925,0.6947,0.3053,0.0684,0.055,0.0111,0.1668,0.0015,
"15",83533,0.0127,0.3642,0.5911,0.0448,63040,0.7477,0.2523,0.062,0.042,0.0385,0.1097,0.0027,
"16",84520,0.0247,0.5607,0.3759,0.0634,69105,0.6851,0.3149,0.0885,0.0696,0.0532,0.0971,0.0029,
"17",83057,0.0069,0.2583,0.7031,0.0386,63761,0.7332,0.2668,0.0483,0.0411,0.0125,0.1687,0.0018,
"18",84411,0.0233,0.2972,0.6578,0.045,62065,0.6846,0.3154,0.1102,0.0726,0.0518,0.0857,0.0023,
"19",80701,-0.0216,0.2032,0.7592,0.0375,60339,0.7572,0.2428,0.1014,0.0357,0.0159,0.0661,0.0286,
"20",81052,-0.0174,0.2482,0.7156,0.0362,60843,0.7613,0.2387,0.0607,0.0565,0.0121,0.1098,0.0012,
"21",82489,0,0.338,0.6147,0.0474,67086,0.742,0.258,0.0567,0.0517,0.0412,0.1094,0.0021,
"22",83957,0.0178,0.3339,0.6281,0.038,61067,0.717,0.283,0.0624,0.0935,0.0584,0.0708,0.0022,
"23",84095,0.0195,0.2302,0.7332,0.0366,63231,0.7639,0.2361,0.0735,0.0381,0.014,0.1122,0.0018,
"24",82530,0.0005,0.3265,0.6244,0.0491,61280,0.6797,0.3203,0.0983,0.0689,0.0597,0.1011,0.0025,
"25",84082,0.0193,0.2916,0.6723,0.0361,63160,0.6823,0.3177,0.0763,0.0704,0.0553,0.1212,0.0019,
"26",80680,-0.0219,0.2222,0.7482,0.0296,61606,0.6716,0.3284,0.14,0.0424,0.0093,0.1492,0.0023,
"27",80552,-0.0235,0.1248,0.8481,0.0271,60126,0.7175,0.2825,0.1963,0.0259,0.0127,0.0553,0.0018,
"28",80506,-0.024,0.2327,0.7338,0.0335,60805,0.7539,0.2461,0.0378,0.0399,0.0084,0.1616,0.0013,
"29",81026,-0.0177,0.2349,0.7279,0.0372,62011,0.7119,0.2881,0.0409,0.0299,0.0181,0.2024,0.0014,
"30",83739,0.0152,0.5179,0.4283,0.0538,63512,0.4905,0.5095,0.2727,0.1254,0.0423,0.0833,0.0026,
"31",80568,-0.0233,0.2564,0.7115,0.0321,62433,0.676,0.324,0.0946,0.1098,0.023,0.1041,0.0051,
"32",82008,-0.0058,0.3723,0.5825,0.0451,61590,0.5688,0.4312,0.118,0.1818,0.0461,0.0985,0.0107,
"33",80754,-0.021,0.3129,0.6482,0.039,60800,0.673,0.327,0.0865,0.0728,0.0568,0.1163,0.002,
"34",84409,0.0233,0.3598,0.5974,0.0428,61442,0.526,0.474,0.2224,0.1035,0.0351,0.1269,0.0032,
"35",83817,0.0161,0.5109,0.446,0.0431,67624,0.6909,0.3091,0.0977,0.0724,0.0228,0.1248,0.002,
"36",82314,-0.0021,0.3182,0.6434,0.0385,59869,0.5819,0.4181,0.1729,0.0849,0.0518,0.119,0.0015,
"37",83490,0.0122,0.3425,0.6148,0.0427,62509,0.6315,0.3685,0.0805,0.0909,0.064,0.1372,0.004,
"38",81575,-0.011,0.1884,0.7843,0.0273,61755,0.7192,0.2808,0.1419,0.0654,0.0116,0.0673,0.0026,
"39",81973,-0.0062,0.3894,0.5728,0.0378,64603,0.6573,0.3427,0.088,0.1223,0.0372,0.1025,0.0017,
"40",82302,-0.0022,0.476,0.4798,0.0441,66200,0.6453,0.3547,0.0883,0.1411,0.0588,0.0745,0.002,
"41",83200,0.0087,0.3174,0.6428,0.0398,63291,0.7734,0.2266,0.0495,0.0626,0.0459,0.0704,0.002,
"42",82697,0.0026,0.3602,0.5933,0.0465,62866,0.659,0.341,0.0655,0.1531,0.0318,0.0973,0.0034,
"43",83114,0.0076,0.2012,0.7672,0.0316,62798,0.7725,0.2275,0.0706,0.0282,0.0073,0.1191,0.0013,
"44",83444,0.0116,0.4989,0.4542,0.047,58183,0.3167,0.6833,0.5173,0.08,0.0252,0.0901,0.0025,
"45",84066,0.0192,0.3236,0.6333,0.0431,62900,0.6049,0.3951,0.1648,0.0834,0.0631,0.0927,0.0043,
"46",82212,-0.0033,0.5548,0.3941,0.0511,62096,0.4678,0.5322,0.2308,0.1901,0.0418,0.0887,0.0035,
"47",83813,0.0161,0.3878,0.5735,0.0388,63534,0.6634,0.3366,0.0648,0.1302,0.0801,0.0661,0.0022,
"48",84093,0.0195,0.7563,0.205,0.0387,64945,0.3221,0.6779,0.0847,0.5182,0.0298,0.0731,0.0033,
"",82486,0.0487,0.3234,0.6383,0.0384,62723,0.6523,0.3477,0.0982,0.086,0.029,0.1406,0.003,
