ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",71157,0.0076,0.3351,0.6228,0.0421,59001,0.8609,0.1391,0.0495,0.0073,0.0143,0.0563,0.0034,
"2",71055,0.0061,0.3129,0.6409,0.0462,57558,0.8553,0.1447,0.05,0.0072,0.0195,0.0521,0.0043,
"3",70671,0.0007,0.3622,0.5879,0.0499,57121,0.8405,0.1595,0.07,0.0115,0.0204,0.0482,0.0047,
"4",71115,0.007,0.3045,0.6535,0.042,57870,0.8541,0.1459,0.0636,0.0084,0.0177,0.0453,0.005,
"5",71219,0.0085,0.6247,0.3303,0.0449,59103,0.8129,0.1871,0.0951,0.014,0.0283,0.0367,0.0059,
"6",71283,0.0094,0.4358,0.5119,0.0523,54790,0.7477,0.2523,0.1442,0.0182,0.0317,0.0458,0.0096,
"7",71134,0.0073,0.5307,0.409,0.0603,55874,0.7834,0.2166,0.113,0.0188,0.0262,0.0516,0.0076,
"8",71301,0.0096,0.8022,0.1441,0.0537,62445,0.7685,0.2315,0.0799,0.0317,0.0794,0.0323,0.0071,
"9",70203,-0.0059,0.4336,0.5217,0.0447,58380,0.8516,0.1484,0.0526,0.0091,0.0213,0.0545,0.0057,
"10",70188,-0.0061,0.5343,0.42,0.0457,58455,0.8286,0.1714,0.07,0.0083,0.0225,0.0592,0.0048,
"11",70054,-0.008,0.2986,0.6493,0.0521,54498,0.8625,0.1375,0.0548,0.0086,0.0151,0.0457,0.0044,
"12",71264,0.0091,0.4549,0.4976,0.0475,57120,0.8517,0.1483,0.0574,0.011,0.0202,0.048,0.004,
"13",70346,-0.0039,0.6189,0.3328,0.0483,57047,0.8159,0.1841,0.0729,0.0207,0.0458,0.0374,0.0067,
"14",71059,0.0062,0.6003,0.3443,0.0554,57041,0.7768,0.2232,0.1055,0.0256,0.0371,0.0508,0.0074,
"15",71187,0.008,0.4387,0.5026,0.0587,55556,0.8035,0.1965,0.1049,0.0132,0.0281,0.0433,0.0057,
"16",70568,-0.0007,0.7189,0.2251,0.056,60282,0.7499,0.2501,0.0824,0.02,0.1098,0.0266,0.0082,
"17",70807,0.0026,0.3654,0.5893,0.0452,54965,0.7421,0.2579,0.1624,0.0132,0.0312,0.0433,0.0087,
"18",71284,0.0094,0.353,0.6004,0.0466,54388,0.7984,0.2016,0.1331,0.0072,0.0157,0.0375,0.0041,
"19",71087,0.0066,0.5421,0.4053,0.0525,54761,0.7122,0.2878,0.1646,0.0224,0.0464,0.0445,0.0161,
"20",71216,0.0084,0.5367,0.4119,0.0514,54713,0.7514,0.2486,0.1406,0.0178,0.0427,0.0391,0.0101,
"21",71267,0.0091,0.501,0.4448,0.0542,55055,0.6761,0.3239,0.2159,0.025,0.0317,0.0477,0.0132,
"22",70996,0.0053,0.5304,0.4205,0.0491,51083,0.4326,0.5674,0.4749,0.0181,0.0295,0.0598,0.0203,
"23",71205,0.0083,0.4126,0.5373,0.0502,55780,0.8186,0.1814,0.0963,0.0099,0.0263,0.0414,0.0052,
"24",70321,-0.0042,0.4401,0.5091,0.0508,55062,0.7535,0.2465,0.1454,0.0146,0.0234,0.0571,0.0047,
"25",71233,0.0087,0.6333,0.3152,0.0515,56659,0.7103,0.2897,0.118,0.0298,0.1044,0.0286,0.0142,
"26",69994,-0.0089,0.5432,0.4107,0.0461,53750,0.7686,0.2314,0.0958,0.0212,0.0824,0.0266,0.0085,
"27",70303,-0.0045,0.6957,0.2554,0.0489,56012,0.6842,0.3158,0.1466,0.0349,0.1003,0.0296,0.0092,
"28",70297,-0.0046,0.8034,0.1568,0.0398,58248,0.7924,0.2076,0.0657,0.03,0.0791,0.0225,0.0064,
"29",70080,-0.0077,0.5464,0.397,0.0565,52694,0.6042,0.3958,0.298,0.0189,0.0452,0.042,0.0087,
"30",70518,-0.0015,0.6276,0.317,0.0555,56056,0.5908,0.4092,0.1539,0.0389,0.1846,0.0301,0.0119,
"31",71273,0.0092,0.4346,0.5124,0.053,56460,0.8513,0.1487,0.0528,0.0105,0.0282,0.0438,0.005,
"32",71211,0.0084,0.5025,0.4524,0.0451,57840,0.8408,0.1592,0.0749,0.0099,0.0217,0.0383,0.0061,
"33",69930,-0.0098,0.8318,0.1251,0.0431,62924,0.7324,0.2676,0.0802,0.0489,0.1026,0.03,0.006,
"34",70060,-0.0079,0.6773,0.2794,0.0433,51471,0.5595,0.4405,0.0771,0.0294,0.309,0.0187,0.0088,
"35",70155,-0.0066,0.6558,0.2864,0.0578,54250,0.5255,0.4745,0.2289,0.046,0.1653,0.0371,0.0142,
"36",70120,-0.0071,0.5963,0.3531,0.0506,53722,0.6575,0.3425,0.1346,0.033,0.1453,0.0271,0.0101,
"37",69990,-0.0089,0.5879,0.3669,0.0453,53462,0.7839,0.2161,0.0936,0.0181,0.0675,0.0248,0.0099,
"38",70710,0.0013,0.7178,0.2444,0.0378,57510,0.7992,0.2008,0.0534,0.0253,0.0908,0.0212,0.0059,
"39",70690,0.001,0.5401,0.4131,0.0469,54396,0.6789,0.3211,0.1075,0.0318,0.1479,0.0297,0.0095,
"40",71184,0.008,0.5266,0.4201,0.0533,56153,0.8197,0.1803,0.0776,0.0195,0.0371,0.0361,0.0062,
"41",70626,0.0001,0.7479,0.2066,0.0455,58345,0.812,0.188,0.0667,0.0223,0.0553,0.0309,0.0067,
"42",70010,-0.0087,0.8961,0.0631,0.0408,60958,0.7757,0.2243,0.0757,0.0336,0.0769,0.0297,0.0051,
"43",70754,0.0019,0.9007,0.0626,0.0367,59444,0.694,0.306,0.0835,0.1296,0.0603,0.0321,0.0061,
"44",71316,0.0098,0.8529,0.1015,0.0456,58795,0.6489,0.3511,0.1412,0.0974,0.0691,0.0414,0.0157,
"45",69962,-0.0093,0.8149,0.1431,0.042,57257,0.7063,0.2937,0.0839,0.0749,0.0983,0.0341,0.0081,
"46",69938,-0.0097,0.7855,0.1634,0.0511,56714,0.6443,0.3557,0.1066,0.0511,0.1562,0.0366,0.0099,
"47",69944,-0.0096,0.6537,0.295,0.0513,55566,0.5835,0.4165,0.1361,0.1023,0.1386,0.0378,0.0156,
"48",70049,-0.0081,0.5433,0.4084,0.0483,53957,0.6302,0.3698,0.1159,0.06,0.1538,0.0358,0.0125,
"49",70439,-0.0026,0.5487,0.3974,0.0539,54146,0.6121,0.3879,0.1952,0.0716,0.0771,0.0451,0.0165,
"50",70417,-0.0029,0.5312,0.4174,0.0514,53754,0.6783,0.3217,0.1622,0.0489,0.0718,0.042,0.0108,
"51",71223,0.0085,0.3968,0.5556,0.0476,55562,0.8339,0.1661,0.0893,0.0085,0.0244,0.0352,0.0047,
"52",70170,-0.0064,0.5159,0.4377,0.0464,55024,0.758,0.242,0.1652,0.0082,0.0239,0.0349,0.0067,
"53",70378,-0.0034,0.5004,0.4559,0.0436,55684,0.8542,0.1458,0.0734,0.0093,0.0247,0.027,0.0051,
"54",69948,-0.0095,0.5995,0.3533,0.0472,55312,0.8414,0.1586,0.0808,0.0087,0.0293,0.028,0.0049,
"55",70036,-0.0083,0.3198,0.6409,0.0393,56487,0.8309,0.1691,0.0765,0.0082,0.0139,0.0583,0.0043,
"56",70383,-0.0034,0.3041,0.6504,0.0455,55578,0.7857,0.2143,0.1129,0.0121,0.0194,0.0613,0.0045,
"57",70221,-0.0057,0.322,0.6341,0.0439,51680,0.6096,0.3904,0.2899,0.0115,0.0144,0.081,0.0045,
"58",70036,-0.0083,0.31,0.6499,0.0401,55127,0.814,0.186,0.078,0.0127,0.0132,0.0671,0.0091,
"59",70462,-0.0023,0.3136,0.6488,0.0376,56075,0.8195,0.1805,0.1009,0.0079,0.0129,0.0475,0.0037,
"60",71209,0.0083,0.2381,0.7268,0.0351,55632,0.7791,0.2209,0.1434,0.0137,0.0155,0.0431,0.0037,
"Summary",70621,0.0196,0.5474,0.4051,0.0475,56178,0.7495,0.2505,0.1155,0.0268,0.0605,0.0406,0.0079,
