ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",142212,0.0069,0.3233,0.631,0.0456,116559,0.8581,0.1419,0.0497,0.0072,0.0168,0.0542,0.0038,
"2",141786,0.0039,0.3309,0.6212,0.0479,114991,0.8474,0.1526,0.0668,0.01,0.0191,0.0467,0.0049,
"3",142502,0.0089,0.5409,0.4102,0.0488,113893,0.7815,0.2185,0.1187,0.016,0.0299,0.0411,0.0077,
"4",142435,0.0084,0.6714,0.2731,0.0555,118319,0.7755,0.2245,0.0955,0.0256,0.0543,0.0414,0.0073,
"5",140391,-0.006,0.4842,0.4675,0.0483,116835,0.8401,0.1599,0.0613,0.0087,0.0219,0.0568,0.0052,
"6",141318,0.0005,0.3794,0.5689,0.0516,111618,0.857,0.143,0.0561,0.0098,0.0177,0.0469,0.0042,
"7",141405,0.0012,0.6103,0.3386,0.0511,114088,0.7963,0.2037,0.0892,0.0232,0.0415,0.0441,0.007,
"8",141755,0.0036,0.5753,0.3679,0.0568,115838,0.7756,0.2244,0.0932,0.0168,0.0706,0.0347,0.007,
"9",142091,0.006,0.3584,0.5944,0.0472,109353,0.7701,0.2299,0.1478,0.0102,0.0235,0.0404,0.0064,
"10",142303,0.0075,0.5393,0.4081,0.0526,109474,0.7318,0.2682,0.1526,0.0201,0.0445,0.0418,0.0131,
"11",142263,0.0072,0.513,0.4336,0.0534,106138,0.5589,0.4411,0.3405,0.0217,0.0307,0.0535,0.0166,
"12",141526,0.002,0.4253,0.522,0.0527,110842,0.7863,0.2137,0.1207,0.0123,0.0248,0.0492,0.005,
"13",141227,-0.0001,0.5893,0.3622,0.0484,110409,0.7387,0.2613,0.1072,0.0256,0.0937,0.0276,0.0114,
"14",140600,-0.0045,0.755,0.2023,0.0427,114260,0.7393,0.2607,0.1054,0.0324,0.0895,0.026,0.0078,
"15",140598,-0.0046,0.5867,0.3564,0.0569,108750,0.5973,0.4027,0.2237,0.0292,0.1171,0.0359,0.0104,
"16",142484,0.0088,0.4669,0.4819,0.0512,114300,0.846,0.154,0.0639,0.0102,0.0249,0.0411,0.0055,
"17",139990,-0.0089,0.7603,0.1976,0.0421,114395,0.6546,0.3454,0.0788,0.0401,0.1954,0.0249,0.0073,
"18",140275,-0.0068,0.6233,0.3232,0.0535,107972,0.5911,0.4089,0.182,0.0395,0.1554,0.0321,0.0122,
"19",140700,-0.0038,0.6573,0.3026,0.0401,110972,0.7919,0.2081,0.0728,0.0218,0.0796,0.0229,0.0078,
"20",141874,0.0045,0.5333,0.4167,0.05,110549,0.7504,0.2496,0.0923,0.0256,0.0916,0.033,0.0078,
"21",140636,-0.0043,0.8252,0.1327,0.042,119303,0.7935,0.2065,0.0713,0.0281,0.0663,0.0303,0.0059,
"22",142070,0.0059,0.8797,0.0823,0.038,118239,0.6716,0.3284,0.1122,0.1136,0.0647,0.0367,0.0109,
"23",139900,-0.0095,0.8018,0.1532,0.0449,113971,0.6755,0.3245,0.0952,0.0631,0.1271,0.0353,0.009,
"24",139993,-0.0088,0.5963,0.3532,0.0505,109523,0.6065,0.3935,0.1261,0.0815,0.1461,0.0368,0.0141,
"25",140856,-0.0027,0.5401,0.4069,0.053,107900,0.6451,0.3549,0.1788,0.0603,0.0745,0.0435,0.0137,
"26",141393,0.0011,0.4537,0.4986,0.0477,110586,0.7961,0.2039,0.127,0.0083,0.0242,0.0351,0.0057,
"27",140326,-0.0065,0.5497,0.4054,0.0448,110996,0.8478,0.1522,0.0771,0.009,0.027,0.0275,0.005,
"28",140419,-0.0058,0.312,0.6443,0.0437,112065,0.8085,0.1915,0.0946,0.0102,0.0166,0.0598,0.0044,
"29",140257,-0.007,0.3145,0.6417,0.0438,106807,0.7151,0.2849,0.1805,0.0121,0.0137,0.0738,0.0069,
"30",141671,0.003,0.2784,0.6816,0.0401,111707,0.7994,0.2006,0.1221,0.0108,0.0142,0.0453,0.0037,
"",141242,0.0184,0.5475,0.4047,0.0479,112355,0.7495,0.2505,0.1155,0.0268,0.0605,0.0406,0.0079,
