ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",250243,-0.0377,0.8069,0.1747,0.0183,217535,0.666,0.334,0.0879,0.0955,0.1416,0.0111,0.0014,
"2",260277,0.0009,0.7903,0.1963,0.0134,188871,0.2706,0.7294,0.3673,0.2827,0.0921,0.0185,0.003,
"3",263993,0.0151,0.9355,0.054,0.0105,204185,0.1795,0.8205,0.184,0.5724,0.0767,0.0155,0.0028,
"4",268248,0.0315,0.8524,0.1353,0.0123,212481,0.3965,0.6035,0.0392,0.5234,0.0381,0.0133,0.001,
"5",267205,0.0275,0.5668,0.4182,0.015,210597,0.628,0.372,0.1036,0.1401,0.1161,0.0102,0.0014,
"6",269699,0.0371,0.5059,0.4772,0.0168,215917,0.8151,0.1849,0.0518,0.0427,0.0766,0.0102,0.0009,
"7",263697,0.014,0.8643,0.1204,0.0154,215610,0.3716,0.6284,0.0408,0.5205,0.0663,0.0127,0.0016,
"8",256726,-0.0128,0.8632,0.1239,0.0129,200429,0.2878,0.7122,0.0461,0.5782,0.0872,0.0139,0.0013,
"9",252137,-0.0304,0.571,0.4117,0.0174,195996,0.7096,0.2904,0.072,0.1593,0.0474,0.0123,0.0008,
"10",269925,0.038,0.5621,0.4182,0.0197,214007,0.8196,0.1804,0.0544,0.0567,0.0533,0.0114,0.0008,
"11",263931,0.0149,0.5459,0.4296,0.0245,202185,0.6037,0.3963,0.295,0.0922,0.0221,0.0209,0.0024,
"12",263688,0.014,0.5824,0.3998,0.0178,208067,0.7685,0.2315,0.0438,0.0623,0.113,0.0092,0.0009,
"13",262878,0.0109,0.4406,0.5328,0.0266,198795,0.7653,0.2347,0.1358,0.0698,0.0277,0.0136,0.0012,
"14",267292,0.0278,0.5444,0.4335,0.0221,208118,0.6234,0.3766,0.2632,0.096,0.0285,0.0157,0.0016,
"15",260164,0.0004,0.5595,0.4188,0.0217,203095,0.6219,0.3781,0.0991,0.2048,0.0695,0.0153,0.0014,
"16",265055,0.0192,0.4515,0.5258,0.0227,208968,0.8458,0.1542,0.064,0.0346,0.0421,0.0111,0.0009,
