ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",14791,0.0109,0.8779,0.1021,0.02,13746,0.6333,0.3667,0.0901,0.0714,0.1924,0.0098,0.0015,
"2",14159,-0.0323,0.8588,0.117,0.0242,12855,0.6044,0.3956,0.1185,0.0867,0.1799,0.0145,0.0019,
"3",15104,0.0323,0.8348,0.1468,0.0185,10969,0.2429,0.7571,0.4455,0.2736,0.0519,0.0331,0.0023,
"4",14231,-0.0274,0.8677,0.1141,0.0182,11984,0.7011,0.2989,0.086,0.1161,0.0691,0.0201,0.0022,
"5",15309,0.0463,0.7483,0.2304,0.0213,12652,0.5419,0.4581,0.2419,0.1849,0.0307,0.0225,0.0025,
"6",15038,0.0278,0.6968,0.2833,0.0198,11958,0.5167,0.4833,0.2951,0.1688,0.0355,0.0268,0.0016,
"7",15315,0.0467,0.7796,0.2019,0.0184,11429,0.2751,0.7249,0.5014,0.2012,0.0374,0.049,0.0023,
"8",15014,0.0261,0.8331,0.1428,0.0241,12329,0.4275,0.5725,0.3763,0.1647,0.0496,0.0358,0.0028,
"9",15253,0.0425,0.8798,0.1053,0.0149,11035,0.2254,0.7746,0.5621,0.216,0.0401,0.0449,0.0048,
"10",15256,0.0427,0.8313,0.1531,0.0156,11026,0.1301,0.8699,0.6134,0.1929,0.1128,0.0376,0.0046,
"11",15091,0.0314,0.8707,0.1121,0.0172,11190,0.1293,0.8707,0.6466,0.2508,0.0515,0.0295,0.0053,
"12",15079,0.0306,0.8806,0.1068,0.0125,11097,0.1601,0.8399,0.5733,0.2865,0.0392,0.0368,0.0071,
"13",15103,0.0322,0.7077,0.2787,0.0136,11040,0.2541,0.7459,0.609,0.1111,0.0413,0.0418,0.0032,
"14",14869,0.0162,0.6434,0.3405,0.0161,11276,0.4212,0.5788,0.4049,0.1142,0.0755,0.0304,0.0033,
"15",15346,0.0488,0.4823,0.5016,0.016,12528,0.8261,0.1739,0.0644,0.047,0.0521,0.0098,0.0005,
"16",14274,-0.0244,0.6107,0.37,0.0193,11470,0.6868,0.3132,0.1473,0.0748,0.0868,0.0201,0.0014,
"17",14649,0.0012,0.5214,0.4639,0.0147,12550,0.7803,0.2197,0.0924,0.0638,0.0574,0.0113,0.0026,
"18",14168,-0.0317,0.71,0.2691,0.0209,11258,0.5631,0.4369,0.2257,0.1152,0.1008,0.0195,0.0029,
"19",15003,0.0254,0.6563,0.3226,0.0211,12551,0.8623,0.1377,0.0605,0.0389,0.0269,0.0135,0.0016,
"20",14511,-0.0083,0.5721,0.4056,0.0222,12092,0.8245,0.1755,0.066,0.0441,0.0431,0.0149,0.0012,
"21",14077,-0.0379,0.5572,0.4199,0.0229,11549,0.8621,0.1379,0.0551,0.0357,0.0297,0.015,0.0011,
"22",14233,-0.0273,0.5317,0.4464,0.0219,11725,0.8669,0.1331,0.0467,0.0291,0.0314,0.0198,0.0012,
"23",13988,-0.044,0.5415,0.435,0.0235,11389,0.8842,0.1158,0.0402,0.0284,0.0243,0.0156,0.0009,
"24",15300,0.0457,0.5756,0.4054,0.019,13090,0.8853,0.1147,0.0338,0.0231,0.0433,0.0079,0.001,
"25",14626,-0.0004,0.5264,0.454,0.0196,11630,0.8295,0.1705,0.0727,0.0456,0.0246,0.0267,0.0019,
"26",14193,-0.03,0.5224,0.4578,0.0198,11446,0.8575,0.1425,0.0602,0.0356,0.0247,0.0179,0.001,
"27",14862,0.0157,0.5214,0.4583,0.0203,12274,0.8658,0.1342,0.0482,0.0249,0.0368,0.0169,0.0021,
"28",13974,-0.045,0.47,0.5091,0.0208,11453,0.9245,0.0755,0.0251,0.0132,0.0146,0.013,0.0007,
"29",13957,-0.0461,0.4601,0.5189,0.021,11406,0.9164,0.0836,0.0216,0.0151,0.0264,0.0127,0.0006,
"30",14135,-0.0339,0.576,0.4047,0.0193,10732,0.8665,0.1335,0.0343,0.0198,0.0599,0.0098,0.0006,
"31",14971,0.0232,0.5612,0.414,0.0248,11964,0.8948,0.1052,0.0327,0.0252,0.0247,0.0205,0.002,
"32",14151,-0.0329,0.6125,0.3618,0.0257,11423,0.9255,0.0745,0.0206,0.0102,0.0227,0.0142,0.002,
"33",14064,-0.0388,0.6244,0.3528,0.0228,12035,0.9185,0.0815,0.0199,0.014,0.0273,0.0153,0.0011,
"34",13978,-0.0447,0.6456,0.331,0.0235,12036,0.8975,0.1025,0.0239,0.0219,0.0228,0.0295,0.001,
"35",14760,0.0088,0.6525,0.3179,0.0296,13212,0.8327,0.1673,0.0606,0.0421,0.0506,0.0104,0.0008,
"36",14757,0.0086,0.6,0.3778,0.0223,12598,0.9286,0.0714,0.0188,0.0117,0.0137,0.018,0.001,
"37",14638,0.0004,0.5745,0.4062,0.0193,12510,0.8931,0.1069,0.0321,0.0158,0.0386,0.0157,0.0014,
"38",13988,-0.044,0.5097,0.4668,0.0234,11333,0.9018,0.0982,0.035,0.0195,0.0171,0.0222,0.0014,
"39",14532,-0.0068,0.487,0.4886,0.0244,11651,0.9262,0.0738,0.0199,0.0096,0.0135,0.0158,0.0006,
"40",14033,-0.0409,0.4387,0.539,0.0223,11398,0.9403,0.0597,0.0143,0.0111,0.0104,0.0141,0.0003,
"41",14453,-0.0122,0.4209,0.5593,0.0198,11698,0.9203,0.0797,0.025,0.0127,0.0257,0.0092,0.0009,
"42",14366,-0.0182,0.4902,0.4975,0.0123,11947,0.8093,0.1907,0.1029,0.0432,0.0393,0.0094,0.0013,
"43",14396,-0.0161,0.4865,0.4992,0.0143,11838,0.7991,0.2009,0.113,0.0442,0.0309,0.0144,0.0012,
"44",15277,0.0441,0.4782,0.5047,0.0171,12456,0.9033,0.0967,0.0328,0.0187,0.0294,0.009,0.0008,
"45",15264,0.0432,0.5594,0.4196,0.021,12013,0.8474,0.1526,0.0435,0.0355,0.0584,0.0099,0.0014,
