ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",30238,0.0471,0.7895,0.1886,0.0219,23857,0.4232,0.5768,0.321,0.211,0.0498,0.0262,0.0021,
"2",29951,0.0371,0.8523,0.1331,0.0146,21469,0.109,0.891,0.6711,0.2053,0.0761,0.0387,0.0051,
"3",27579,-0.045,0.8698,0.1103,0.0199,25125,0.6796,0.3204,0.0733,0.0613,0.1692,0.01,0.0015,
"4",29812,0.0323,0.5981,0.3852,0.0167,24457,0.6835,0.3165,0.1459,0.1262,0.0366,0.0154,0.0015,
"5",30065,0.0411,0.804,0.175,0.0209,24031,0.4324,0.5676,0.3701,0.1652,0.0476,0.0377,0.0027,
"6",30193,0.0455,0.8804,0.1034,0.0162,23152,0.2617,0.7383,0.4446,0.2593,0.0681,0.0344,0.0049,
"7",30234,0.0469,0.7447,0.2389,0.0164,22239,0.2545,0.7455,0.5711,0.1574,0.0397,0.0423,0.0034,
"8",28071,-0.028,0.6894,0.2919,0.0188,22052,0.5603,0.4397,0.2191,0.1725,0.0181,0.0198,0.0026,
"9",29205,0.0113,0.5378,0.4426,0.0196,23765,0.8311,0.1689,0.0712,0.0412,0.0316,0.0216,0.002,
"10",28332,-0.0189,0.578,0.4013,0.0207,23675,0.9204,0.0796,0.026,0.0188,0.0154,0.0126,0.0016,
"11",28272,-0.021,0.609,0.3659,0.0251,23847,0.8915,0.1085,0.037,0.0341,0.0197,0.0114,0.001,
"12",29535,0.0227,0.6197,0.3577,0.0226,23958,0.8494,0.1506,0.0483,0.0462,0.0311,0.0151,0.0029,
"13",28284,-0.0206,0.7145,0.2659,0.0196,24109,0.81,0.19,0.0788,0.0666,0.0251,0.0196,0.0026,
"14",27509,-0.0474,0.6707,0.31,0.0193,22733,0.7446,0.2554,0.0629,0.1202,0.0246,0.0219,0.0023,
"15",30262,0.0479,0.8074,0.176,0.0166,23524,0.471,0.529,0.2032,0.2552,0.031,0.0185,0.0018,
"16",29042,0.0057,0.804,0.1793,0.0166,21253,0.2373,0.7627,0.5529,0.1813,0.0114,0.0347,0.0045,
"17",27462,-0.049,0.5228,0.4578,0.0194,22124,0.8638,0.1362,0.049,0.031,0.0396,0.0112,0.0011,
"18",28381,-0.0172,0.6535,0.3263,0.0202,23224,0.7107,0.2893,0.124,0.1092,0.0277,0.0187,0.0017,
"19",29386,0.0176,0.5756,0.4052,0.0191,23240,0.8394,0.1606,0.0714,0.0317,0.0363,0.0121,0.0014,
"20",27804,-0.0372,0.5419,0.4394,0.0188,21896,0.7412,0.2588,0.1142,0.0594,0.0712,0.0175,0.0023,
"21",28123,-0.0262,0.4398,0.5377,0.0225,22801,0.9304,0.0696,0.0203,0.0114,0.0158,0.0122,0.0007,
"22",30185,0.0452,0.5175,0.4636,0.0189,25231,0.8174,0.1826,0.0547,0.0333,0.0782,0.0137,0.0007,
"23",29310,0.0149,0.4368,0.5409,0.0222,23504,0.9326,0.0674,0.0243,0.0118,0.0097,0.0138,0.0004,
"24",27570,-0.0453,0.5692,0.4075,0.0233,21705,0.6704,0.3296,0.163,0.1065,0.0493,0.0192,0.0017,
"25",27460,-0.0491,0.4799,0.5067,0.0134,22691,0.8077,0.1923,0.1053,0.0435,0.0329,0.0124,0.0012,
"26",28205,-0.0233,0.51,0.4755,0.0145,22407,0.6975,0.3025,0.1784,0.0618,0.0644,0.0164,0.0017,
"27",31190,0.08,0.5432,0.4399,0.0169,26013,0.7657,0.2343,0.1031,0.0663,0.0576,0.0138,0.0017,
"28",29207,0.0114,0.7287,0.2514,0.02,23177,0.5325,0.4675,0.261,0.1311,0.0879,0.022,0.0026,
"29",27574,-0.0452,0.5447,0.4311,0.0242,22535,0.8619,0.1381,0.0537,0.0331,0.0296,0.0165,0.0012,
"30",29818,0.0325,0.5567,0.4226,0.0207,25035,0.8818,0.1182,0.0369,0.0267,0.0346,0.0133,0.0008,
"31",27616,-0.0437,0.5951,0.3849,0.02,23083,0.8438,0.1562,0.0621,0.0392,0.0376,0.0148,0.0015,
"32",28407,-0.0163,0.6615,0.3183,0.0202,22367,0.8957,0.1043,0.0275,0.0195,0.038,0.0107,0.0014,
"33",27702,-0.0407,0.4769,0.5028,0.0203,22724,0.9153,0.0847,0.0264,0.015,0.0198,0.0143,0.0009,
"34",28498,-0.0132,0.4971,0.4787,0.0242,23075,0.9269,0.0731,0.0193,0.0102,0.0135,0.0186,0.001,
"35",30300,0.0492,0.5868,0.3899,0.0232,23425,0.8873,0.1127,0.0298,0.0199,0.0421,0.0143,0.0012,
"36",30073,0.0414,0.6083,0.3713,0.0204,25710,0.9255,0.0745,0.0229,0.0132,0.0197,0.014,0.0016,
"37",27634,-0.0431,0.6683,0.3022,0.0295,24002,0.8537,0.1463,0.0452,0.0345,0.0428,0.0203,0.001,
"38",28890,0.0004,0.5679,0.4114,0.0206,24379,0.8967,0.1033,0.0326,0.0179,0.0288,0.0182,0.0011,
"",28878,0.1292,0.6064,0.3734,0.0202,23358,0.7238,0.2762,0.1419,0.0793,0.0416,0.0188,0.0019,
