ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",37818,-0.0838,0.1997,0.7781,0.0222,30425,0.8823,0.1177,0.0541,0.027,0.0059,0.029,0.0008,
"2",40789,-0.0118,0.2909,0.6871,0.022,33154,0.8128,0.1872,0.035,0.1108,0.0156,0.0243,0.0007,
"3",44524,0.0786,0.3503,0.62,0.0297,38408,0.7888,0.2112,0.0435,0.0874,0.0608,0.0177,0.0012,
"4",39761,-0.0367,0.1447,0.8319,0.0234,31543,0.8969,0.1031,0.0255,0.0372,0.005,0.0301,0.0007,
"5",42016,0.0179,0.2243,0.7538,0.0219,33108,0.8193,0.1807,0.0484,0.0929,0.0116,0.0237,0.0009,
"6",42643,0.0331,0.2886,0.6884,0.023,32975,0.7639,0.2361,0.0398,0.1506,0.0227,0.0206,0.001,
"7",37140,-0.1002,0.2558,0.7269,0.0173,28642,0.7885,0.2115,0.0203,0.1643,0.0046,0.0208,0.0005,
"8",38954,-0.0563,0.2945,0.687,0.0184,31290,0.7603,0.2397,0.0328,0.1752,0.0092,0.0208,0.0016,
"9",40776,-0.0122,0.3229,0.6556,0.0215,31737,0.7285,0.2715,0.0548,0.1857,0.0143,0.0181,0.0018,
"10",46042,0.1154,0.2296,0.7499,0.0205,34643,0.7943,0.2057,0.0783,0.0801,0.0215,0.023,0.0008,
"11",35243,-0.1462,0.3239,0.6618,0.0143,27777,0.7136,0.2864,0.0259,0.2345,0.005,0.0189,0.0011,
"12",34892,-0.1547,0.537,0.4495,0.0135,27671,0.4222,0.5778,0.0752,0.4857,0.007,0.0153,0.0012,
"13",38593,-0.065,0.3042,0.6781,0.0177,30565,0.7455,0.2545,0.0302,0.1907,0.0167,0.0156,0.0011,
"14",38745,-0.0614,0.2961,0.6858,0.0182,30918,0.7356,0.2644,0.0419,0.1976,0.0069,0.0199,0.0005,
"15",46024,0.115,0.4969,0.4767,0.0264,35155,0.4865,0.5135,0.1698,0.2686,0.0532,0.0238,0.0034,
"16",44653,0.0818,0.3808,0.5982,0.021,33779,0.6453,0.3547,0.0663,0.255,0.0126,0.021,0.0015,
"17",42648,0.0332,0.213,0.762,0.0249,33847,0.8751,0.1249,0.0371,0.0494,0.01,0.0241,0.0015,
"18",45966,0.1136,0.2622,0.7143,0.0235,35418,0.7752,0.2248,0.0822,0.0966,0.023,0.0213,0.001,
"19",41869,0.0143,0.3754,0.5985,0.0261,32919,0.644,0.356,0.1796,0.1409,0.0195,0.0263,0.0019,
"20",41056,-0.0054,0.3101,0.6626,0.0274,31607,0.7413,0.2587,0.094,0.1042,0.0393,0.0194,0.0009,
"21",43467,0.053,0.3253,0.6522,0.0225,32785,0.7661,0.2339,0.0607,0.0736,0.0784,0.0155,0.0008,
"22",42079,0.0194,0.3882,0.5839,0.0279,34371,0.7587,0.2413,0.0726,0.1054,0.0454,0.0168,0.0028,
"23",40309,-0.0235,0.6109,0.3623,0.0268,31945,0.4425,0.5575,0.1364,0.3946,0.0165,0.0192,0.0018,
"24",47212,0.1438,0.4167,0.5599,0.0234,37103,0.7293,0.2707,0.0851,0.1366,0.0321,0.0172,0.0018,
"25",40729,-0.0133,0.6556,0.3274,0.017,30469,0.3424,0.6576,0.1209,0.5107,0.0129,0.0219,0.0015,
"26",57221,0.3862,0.4024,0.5719,0.0257,41466,0.7132,0.2868,0.0754,0.1228,0.0703,0.0193,0.0011,
"27",42566,0.0312,0.3937,0.5834,0.0229,33341,0.6828,0.3172,0.083,0.1834,0.03,0.0196,0.0014,
"28",47113,0.1414,0.3539,0.6218,0.0243,35649,0.7096,0.2904,0.0797,0.1702,0.0189,0.0198,0.0011,
"29",38986,-0.0555,0.275,0.7059,0.019,30371,0.7643,0.2357,0.0332,0.1686,0.0075,0.0245,0.0007,
"30",37181,-0.0992,0.2746,0.7086,0.0168,28614,0.7338,0.2662,0.0446,0.1955,0.0073,0.0199,0.0003,
"31",39919,-0.0329,0.7159,0.2686,0.0155,31110,0.3552,0.6448,0.1019,0.5014,0.0318,0.0164,0.0014,
"32",39836,-0.0349,0.3403,0.6395,0.0202,31383,0.749,0.251,0.0495,0.1587,0.0249,0.018,0.0019,
"33",38563,-0.0658,0.2662,0.7169,0.0168,30616,0.7868,0.2132,0.0348,0.1399,0.0186,0.0192,0.0005,
"34",43437,0.0523,0.4276,0.5523,0.0202,33432,0.6023,0.3977,0.0813,0.2542,0.0467,0.0205,0.001,
"35",55177,0.3367,0.3023,0.6749,0.0228,40281,0.7484,0.2516,0.0624,0.1263,0.0393,0.0189,0.0012,
"36",44983,0.0898,0.3343,0.643,0.0227,33702,0.6621,0.3379,0.1152,0.1843,0.0181,0.0259,0.0013,
"37",44998,0.0901,0.3233,0.6556,0.0211,33593,0.6843,0.3157,0.0933,0.1643,0.0403,0.0206,0.0011,
"38",44571,0.0798,0.2074,0.7732,0.0194,34462,0.8433,0.1567,0.0387,0.0761,0.0169,0.023,0.001,
"39",37789,-0.0845,0.2766,0.7049,0.0186,29251,0.7248,0.2752,0.09,0.1615,0.0049,0.022,0.0009,
"40",37719,-0.0862,0.378,0.605,0.017,29709,0.6339,0.3661,0.0702,0.2775,0.0056,0.018,0.0006,
"41",36440,-0.1172,0.6188,0.3663,0.015,28730,0.415,0.585,0.0234,0.5363,0.0135,0.0145,0.0019,
"42",36128,-0.1248,0.3778,0.6084,0.0139,28489,0.6799,0.3201,0.0177,0.2822,0.006,0.0147,0.0014,
"43",36769,-0.1092,0.356,0.6233,0.0207,28808,0.7166,0.2834,0.0265,0.2186,0.01,0.0265,0.0009,
"44",37569,-0.0898,0.3989,0.5849,0.0162,28871,0.6228,0.3772,0.0479,0.31,0.0045,0.0177,0.0005,
"45",66141,0.6023,0.379,0.6011,0.0198,49881,0.7519,0.2481,0.0631,0.118,0.0383,0.0266,0.0014,
"46",40883,-0.0096,0.4334,0.5398,0.0268,32017,0.6863,0.3137,0.0689,0.1998,0.0239,0.0238,0.0015,
"47",45831,0.1103,0.2921,0.6837,0.0242,35123,0.7974,0.2026,0.0438,0.1118,0.0171,0.027,0.0008,
"48",49275,0.1937,0.3833,0.5936,0.0231,36942,0.7089,0.2911,0.0672,0.1529,0.0508,0.0199,0.001,
"49",39334,-0.0471,0.6306,0.3523,0.0171,30470,0.4302,0.5698,0.0422,0.5029,0.0098,0.018,0.0019,
"50",33156,-0.1968,0.5986,0.3905,0.0109,26664,0.4212,0.5788,0.0218,0.5366,0.0077,0.0151,0.0018,
"51",34157,-0.1725,0.7142,0.2745,0.0114,26295,0.2957,0.7043,0.0358,0.6487,0.0133,0.0156,0.002,
"52",40422,-0.0207,0.3847,0.5935,0.0218,31462,0.6711,0.3289,0.0375,0.2628,0.0088,0.0199,0.0004,
"53",33392,-0.191,0.3992,0.5847,0.016,25965,0.6283,0.3717,0.0345,0.3106,0.0092,0.0206,0.0008,
"54",33573,-0.1867,0.5326,0.4547,0.0127,27117,0.4684,0.5316,0.0262,0.4637,0.005,0.0412,0.0008,
"55",32164,-0.2208,0.4791,0.5093,0.0117,24637,0.5,0.5,0.0247,0.4318,0.0042,0.0444,0.001,
"56",55781,0.3514,0.361,0.6206,0.0184,44005,0.76,0.24,0.0587,0.1287,0.0262,0.0201,0.0013,
"57",32669,-0.2086,0.5765,0.4156,0.0078,25432,0.4303,0.5697,0.0208,0.5315,0.0059,0.0157,0.001,
"58",45326,0.0981,0.2992,0.6827,0.0181,35065,0.7313,0.2687,0.0533,0.1812,0.0106,0.022,0.0013,
"59",35248,-0.1461,0.6779,0.3094,0.0128,26699,0.3372,0.6628,0.0222,0.6249,0.008,0.0133,0.0013,
"60",35568,-0.1383,0.3738,0.6142,0.0121,27747,0.6357,0.3643,0.0278,0.3099,0.0129,0.0153,0.0005,
"61",33397,-0.1909,0.4607,0.5296,0.0097,25700,0.5267,0.4733,0.0194,0.4345,0.0057,0.0147,0.0008,
"62",35138,-0.1487,0.6076,0.3806,0.0118,27123,0.4039,0.5961,0.0163,0.5638,0.0053,0.0133,0.0009,
"63",40446,-0.0201,0.3742,0.6074,0.0184,31578,0.6518,0.3482,0.0321,0.262,0.0408,0.0149,0.0007,
"64",32279,-0.218,0.5316,0.4566,0.0118,25829,0.4649,0.5351,0.0243,0.4915,0.0081,0.0147,0.0006,
"65",34674,-0.16,0.2855,0.6981,0.0165,27522,0.7521,0.2479,0.0281,0.1931,0.0082,0.0182,0.0005,
"66",33255,-0.1944,0.6891,0.3034,0.0075,26153,0.3564,0.6436,0.0196,0.6032,0.0068,0.0177,0.0008,
"67",40246,-0.025,0.3882,0.5945,0.0173,30668,0.6257,0.3743,0.0397,0.2859,0.0304,0.0201,0.0028,
"68",49304,0.1944,0.3191,0.662,0.0189,39722,0.7941,0.2059,0.084,0.071,0.0228,0.0245,0.0019,
"69",43919,0.064,0.3434,0.6291,0.0274,33071,0.7372,0.2628,0.0477,0.1373,0.0567,0.0219,0.002,
"70",35823,-0.1321,0.7175,0.269,0.0135,28066,0.3288,0.6712,0.0407,0.6003,0.0225,0.0165,0.0015,
"71",45815,0.1099,0.3845,0.5914,0.024,34262,0.7204,0.2796,0.036,0.1875,0.0375,0.0196,0.0012,
"72",42434,0.028,0.7111,0.2644,0.0245,37709,0.6246,0.3754,0.0437,0.2632,0.0598,0.0124,0.0016,
"73",34686,-0.1597,0.7633,0.2182,0.0184,28112,0.3215,0.6785,0.0367,0.6197,0.0157,0.0131,0.0023,
"74",36031,-0.1271,0.7886,0.1892,0.0222,30291,0.4239,0.5761,0.0332,0.5115,0.0242,0.0135,0.0022,
"75",34251,-0.1702,0.4821,0.4951,0.0229,26836,0.7278,0.2722,0.0707,0.1593,0.0317,0.015,0.0022,
"76",39399,-0.0455,0.7737,0.2092,0.0171,30051,0.2329,0.7671,0.0847,0.6402,0.0401,0.0182,0.0023,
"77",50725,0.2289,0.71,0.2735,0.0165,38366,0.3111,0.6889,0.0525,0.6068,0.0264,0.015,0.0028,
"78",42390,0.0269,0.5474,0.4332,0.0194,33193,0.5125,0.4875,0.1024,0.3237,0.0529,0.016,0.0039,
"79",41838,0.0136,0.745,0.2353,0.0197,30826,0.2954,0.7046,0.0569,0.607,0.0371,0.0165,0.0027,
"80",38758,-0.061,0.5828,0.398,0.0192,29960,0.4774,0.5226,0.0485,0.4465,0.0129,0.0191,0.0015,
"81",43661,0.0577,0.3287,0.6483,0.023,35507,0.7533,0.2467,0.0411,0.163,0.0225,0.0202,0.0016,
"82",34655,-0.1604,0.5378,0.4472,0.0151,27380,0.4256,0.5744,0.0563,0.4992,0.006,0.018,0.0014,
"83",40936,-0.0083,0.309,0.6683,0.0227,32202,0.701,0.299,0.0615,0.1966,0.0196,0.0229,0.0016,
"84",39378,-0.046,0.3393,0.6435,0.0173,30314,0.6631,0.3369,0.0622,0.2373,0.0114,0.0295,0.0017,
"85",42213,0.0227,0.3458,0.6307,0.0236,33590,0.7673,0.2327,0.0362,0.1458,0.0303,0.0193,0.0021,
"86",38388,-0.07,0.3576,0.6245,0.0179,30294,0.693,0.307,0.0607,0.215,0.0076,0.0235,0.0015,
"87",51197,0.2403,0.2479,0.7276,0.0245,37903,0.8143,0.1857,0.0518,0.086,0.0268,0.0207,0.0012,
"88",41052,-0.0055,0.2969,0.6749,0.0281,31646,0.7384,0.2616,0.0576,0.1541,0.0206,0.0323,0.0013,
"89",39421,-0.045,0.4179,0.5544,0.0277,32202,0.668,0.332,0.0923,0.1887,0.0335,0.0225,0.0008,
"90",32448,-0.2139,0.4702,0.5194,0.0103,25796,0.555,0.445,0.0202,0.4023,0.0058,0.0178,0.0011,
"91",32543,-0.2116,0.5839,0.4057,0.0104,25679,0.4313,0.5687,0.0206,0.5256,0.0069,0.0181,0.0009,
"92",37960,-0.0804,0.3768,0.5965,0.0267,29049,0.659,0.341,0.0853,0.181,0.0428,0.028,0.0025,
"93",35055,-0.1508,0.5367,0.449,0.0143,27519,0.4893,0.5107,0.0396,0.4457,0.0069,0.0216,0.0013,
"94",40533,-0.018,0.3763,0.5968,0.0268,30904,0.7001,0.2999,0.0495,0.2004,0.0246,0.0257,0.0026,
"95",34092,-0.1741,0.6931,0.2972,0.0098,27254,0.3051,0.6949,0.0195,0.6452,0.0215,0.013,0.0016,
"96",41406,0.0031,0.2791,0.6945,0.0265,30380,0.7461,0.2539,0.0821,0.1323,0.0093,0.031,0.0011,
"97",46005,0.1145,0.3903,0.5886,0.0212,34351,0.6651,0.3349,0.0437,0.2443,0.0136,0.0333,0.0018,
"98",46451,0.1253,0.4361,0.5365,0.0274,34516,0.6274,0.3726,0.0645,0.2365,0.0498,0.0238,0.0036,
"99",51031,0.2363,0.3693,0.6088,0.0219,38252,0.8018,0.1982,0.0642,0.0829,0.0313,0.0147,0.0022,
"100",61053,0.4791,0.3529,0.6232,0.0239,45301,0.6946,0.3054,0.0531,0.1997,0.0251,0.0247,0.0025,
"101",33326,-0.1926,0.6153,0.3757,0.009,26932,0.3857,0.6143,0.0191,0.5826,0.0065,0.0115,0.0011,
"102",37047,-0.1025,0.5326,0.4545,0.0129,29565,0.4814,0.5186,0.0222,0.4695,0.0071,0.0216,0.0011,
"103",34436,-0.1657,0.5775,0.4112,0.0112,26874,0.4534,0.5466,0.0269,0.5048,0.0047,0.012,0.0009,
"104",50270,0.2179,0.3005,0.6842,0.0153,44302,0.8545,0.1455,0.0347,0.0786,0.0107,0.0179,0.0012,
"105",45003,0.0903,0.2919,0.69,0.0181,36972,0.7343,0.2657,0.0441,0.1885,0.0106,0.0231,0.0009,
"106",49033,0.1879,0.2956,0.6885,0.0159,42840,0.9043,0.0957,0.0268,0.0321,0.0133,0.0163,0.0022,
"107",47928,0.1611,0.3623,0.6222,0.0155,40584,0.75,0.25,0.0884,0.1101,0.0276,0.0188,0.0018,
"108",44671,0.0822,0.3507,0.6348,0.0145,37696,0.8289,0.1711,0.0273,0.1202,0.0089,0.013,0.0006,
"109",38138,-0.0761,0.6921,0.2868,0.0211,29168,0.3358,0.6642,0.1166,0.5063,0.0289,0.0193,0.0034,
"110",38277,-0.0727,0.4444,0.5289,0.0267,31884,0.8698,0.1302,0.0328,0.0609,0.0218,0.0108,0.0008,
"111",36100,-0.1254,0.7616,0.2136,0.0248,30257,0.5426,0.4574,0.0375,0.387,0.0199,0.0152,0.0031,
