ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",110467,-0.0072,0.2833,0.6956,0.0211,91962,0.8214,0.1786,0.0443,0.078,0.0317,0.023,0.0009,
"2",114975,0.0333,0.2091,0.7704,0.0205,90022,0.806,0.194,0.0754,0.0805,0.0094,0.0275,0.0008,
"3",116785,0.0496,0.2579,0.7227,0.0195,91226,0.8111,0.1889,0.0374,0.1084,0.0215,0.0188,0.0012,
"4",111228,-0.0004,0.3148,0.6695,0.0157,86117,0.7128,0.2872,0.0346,0.2249,0.0054,0.0212,0.001,
"5",109623,-0.0148,0.233,0.7444,0.0226,85850,0.8151,0.1849,0.0665,0.078,0.0152,0.0226,0.0011,
"6",111427,0.0014,0.3377,0.6356,0.0267,87980,0.748,0.252,0.0901,0.1067,0.0355,0.0194,0.0018,
"7",110658,-0.0055,0.6132,0.3656,0.0212,84965,0.4574,0.5426,0.138,0.3769,0.0146,0.0224,0.0015,
"8",115767,0.0404,0.3726,0.6048,0.0226,90357,0.7269,0.2731,0.0666,0.1475,0.0403,0.0165,0.0017,
"9",115926,0.0418,0.3432,0.6378,0.0189,89603,0.6908,0.3092,0.0522,0.2261,0.0104,0.02,0.001,
"10",113230,0.0176,0.3148,0.6656,0.0196,88207,0.707,0.293,0.0517,0.2063,0.0201,0.0159,0.001,
"11",114799,0.0317,0.395,0.5859,0.0192,87559,0.6178,0.3822,0.081,0.2515,0.0334,0.0195,0.0012,
"12",116372,0.0459,0.374,0.6062,0.0198,87588,0.6512,0.3488,0.0848,0.1982,0.0468,0.0207,0.0012,
"13",113911,0.0237,0.3252,0.6556,0.0192,88182,0.7397,0.2603,0.0463,0.1711,0.024,0.0176,0.0013,
"14",110337,-0.0084,0.2618,0.7197,0.0185,85110,0.7699,0.2301,0.0385,0.1571,0.0105,0.0229,0.0006,
"15",115314,0.0363,0.3655,0.6115,0.023,89417,0.7267,0.2733,0.0598,0.1687,0.0216,0.0237,0.001,
"16",114961,0.0332,0.3913,0.5863,0.0224,84019,0.7487,0.2513,0.0682,0.0991,0.0653,0.0171,0.001,
"17",116307,0.0453,0.5264,0.4575,0.0161,91319,0.5318,0.4682,0.0364,0.3954,0.0124,0.0258,0.0017,
"18",115330,0.0365,0.3457,0.6323,0.022,89182,0.7319,0.2681,0.046,0.1787,0.0259,0.0184,0.0012,
"19",107145,-0.0371,0.7823,0.2003,0.0173,83552,0.2822,0.7178,0.0473,0.6428,0.0241,0.015,0.0022,
"20",107058,-0.0379,0.5695,0.4034,0.0271,89673,0.7331,0.2669,0.0371,0.1843,0.028,0.0144,0.0022,
"21",107439,-0.0344,0.7302,0.2518,0.018,86342,0.4045,0.5955,0.0423,0.5246,0.0217,0.015,0.0015,
"22",111966,0.0063,0.6045,0.3772,0.0183,84879,0.4629,0.5371,0.0689,0.4184,0.0419,0.0168,0.0028,
"23",116377,0.0459,0.2874,0.6861,0.0265,86903,0.7467,0.2533,0.0684,0.1339,0.0224,0.03,0.001,
"24",111316,0.0004,0.3614,0.6182,0.0204,89046,0.6829,0.3171,0.0491,0.23,0.0174,0.0216,0.0016,
"25",113674,0.0216,0.3523,0.6305,0.0172,88143,0.6409,0.3591,0.0664,0.2622,0.0106,0.0229,0.0015,
"26",108146,-0.0281,0.5021,0.4737,0.0242,90388,0.6405,0.3595,0.0629,0.2412,0.0398,0.0193,0.0018,
"27",116431,0.0464,0.3497,0.6339,0.0164,90411,0.6808,0.3192,0.0424,0.2519,0.0063,0.0203,0.0005,
"28",105943,-0.0479,0.3013,0.6844,0.0143,88609,0.8226,0.1774,0.0399,0.1004,0.0142,0.0199,0.0011,
"29",112072,0.0072,0.5358,0.452,0.0122,88912,0.4815,0.5185,0.0183,0.4709,0.0068,0.0258,0.0008,
"30",107453,-0.0343,0.5379,0.4522,0.0099,82677,0.4764,0.5236,0.0236,0.4777,0.0057,0.0208,0.0011,
"31",106681,-0.0412,0.3926,0.5935,0.0139,82695,0.6078,0.3922,0.0284,0.3282,0.0222,0.0147,0.0008,
"32",105710,-0.05,0.5758,0.4143,0.0099,83143,0.4523,0.5477,0.0294,0.5012,0.0063,0.0144,0.001,
"33",115707,0.0399,0.3731,0.6113,0.0156,95501,0.7259,0.2741,0.074,0.1522,0.0226,0.0201,0.0015,
"34",116546,0.0474,0.3037,0.6808,0.0155,98987,0.8649,0.1351,0.0445,0.0517,0.0155,0.0187,0.0018,
"35",113937,0.024,0.5186,0.4638,0.0176,87922,0.5133,0.4867,0.0645,0.3795,0.0279,0.0186,0.0029,
"36",105832,-0.0489,0.5355,0.4531,0.0115,83523,0.4854,0.5146,0.0252,0.4652,0.0117,0.016,0.0013,
"37",106835,-0.0399,0.3856,0.5945,0.02,80263,0.7053,0.2947,0.0472,0.198,0.0276,0.0191,0.0024,
"38",106441,-0.0434,0.3873,0.5869,0.0258,79526,0.6844,0.3156,0.0535,0.2128,0.0222,0.0279,0.0026,
"39",105983,-0.0475,0.5319,0.451,0.0171,81243,0.5044,0.4956,0.0544,0.3939,0.0229,0.023,0.002,
"40",106773,-0.0404,0.5564,0.4322,0.0114,83893,0.4668,0.5332,0.0288,0.4778,0.0111,0.018,0.0012,
"41",106768,-0.0405,0.4282,0.5502,0.0217,83216,0.6755,0.3245,0.0605,0.2092,0.0317,0.0226,0.0017,
"42",105894,-0.0483,0.714,0.2647,0.0212,82364,0.3761,0.6239,0.1264,0.4549,0.0294,0.0209,0.0028,
"43",114954,0.0331,0.4185,0.5617,0.0197,92436,0.7951,0.2049,0.0461,0.1242,0.0192,0.0132,0.0015,
"44",106227,-0.0453,0.4068,0.5681,0.0251,82140,0.702,0.298,0.0854,0.146,0.0402,0.0211,0.0018,
"45",107854,-0.0307,0.5872,0.3982,0.0146,84489,0.4581,0.5419,0.0835,0.4328,0.012,0.0179,0.0016,
"46",113846,0.0231,0.3864,0.5987,0.0149,94919,0.794,0.206,0.1118,0.0653,0.0151,0.0135,0.0006,
