ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",767871,0,0.2233,0.7594,0.0173,616550,0.8959,0.1041,0.0376,0.0274,0.0108,0.0246,0.0011,
"2",767871,0,0.3459,0.634,0.0202,609503,0.843,0.157,0.0434,0.063,0.0224,0.0252,0.0011,
"3",767871,0,0.3372,0.6442,0.0186,607013,0.8006,0.1994,0.0461,0.1049,0.0187,0.0281,0.0011,
"4",767872,0,0.3119,0.6692,0.019,587445,0.7849,0.2151,0.0663,0.0986,0.0238,0.0254,0.0012,
"5",767871,0,0.4267,0.5457,0.0275,582505,0.7191,0.2809,0.0877,0.1267,0.0471,0.0198,0.0013,
"6",767871,0,0.3639,0.6143,0.0218,603423,0.8007,0.1993,0.0637,0.094,0.0155,0.0251,0.0013,
"7",767871,0,0.4211,0.5514,0.0275,597796,0.7191,0.2809,0.0621,0.1668,0.0283,0.023,0.0027,
"8",767871,0,0.3035,0.6795,0.017,597005,0.7493,0.2507,0.0293,0.1772,0.023,0.0188,0.0011,
"9",767871,0,0.7235,0.2537,0.0227,583233,0.2843,0.7157,0.0771,0.6032,0.0262,0.0154,0.0011,
"",767871,0,0.3788,0.5999,0.0213,598275,0.7351,0.2649,0.0568,0.1606,0.0238,0.0229,0.0013,
