ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",66489,-0.0475,0.2299,0.7545,0.0156,53650,0.9173,0.0827,0.0182,0.0255,0.0098,0.0235,0.0008,
"2",66492,-0.0475,0.2383,0.7464,0.0153,53806,0.9139,0.0861,0.019,0.0306,0.0113,0.0209,0.0006,
"3",66510,-0.0472,0.1849,0.8003,0.0148,54264,0.9289,0.0711,0.0155,0.022,0.0062,0.024,0.001,
"4",66545,-0.0467,0.1966,0.7874,0.0159,54206,0.9221,0.0779,0.0275,0.0149,0.0065,0.026,0.0006,
"5",70152,0.0049,0.1958,0.7866,0.0176,56339,0.9132,0.0868,0.0281,0.0247,0.0067,0.0229,0.0009,
"6",66545,-0.0467,0.2911,0.6925,0.0163,53527,0.873,0.127,0.0379,0.0414,0.0195,0.0239,0.0008,
"7",66456,-0.048,0.3184,0.6629,0.0187,54167,0.8559,0.1441,0.0374,0.0583,0.0175,0.025,0.0011,
"8",66819,-0.0428,0.2583,0.7243,0.0174,54125,0.9033,0.0967,0.0278,0.026,0.009,0.0286,0.0007,
"9",67032,-0.0397,0.1772,0.8083,0.0145,53948,0.9391,0.0609,0.0123,0.0151,0.0061,0.023,0.0006,
"10",72308,0.0358,0.2167,0.7675,0.0158,55866,0.8258,0.1742,0.0985,0.0369,0.0122,0.0268,0.0041,
"11",70616,0.0116,0.1871,0.7964,0.0165,56389,0.9106,0.0894,0.0312,0.0226,0.0067,0.0259,0.0009,
"12",66611,-0.0458,0.2078,0.7668,0.0253,53084,0.8636,0.1364,0.0785,0.0124,0.0167,0.0268,0.0008,
"13",66978,-0.0405,0.422,0.557,0.021,47845,0.6243,0.3757,0.1293,0.1841,0.0433,0.0223,0.002,
"14",71287,0.0212,0.3655,0.6156,0.0189,54047,0.856,0.144,0.0343,0.0292,0.0578,0.0164,0.001,
"15",69119,-0.0098,0.6908,0.2807,0.0285,57095,0.6283,0.3717,0.0641,0.2572,0.0304,0.0258,0.0012,
