ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",194995,0.0036,0.2395,0.7481,0.0124,150743,0.6872,0.3128,0.066,0.1998,0.0121,0.0351,0.0016,
"2",196284,0.0102,0.1888,0.7961,0.0151,149984,0.7443,0.2557,0.1396,0.0678,0.0116,0.0367,0.0019,
"3",202477,0.0421,0.2115,0.7699,0.0186,147859,0.6367,0.3633,0.2598,0.0439,0.0324,0.0335,0.0021,
"4",195819,0.0078,0.2741,0.7097,0.0162,143550,0.6362,0.3638,0.1899,0.1284,0.017,0.033,0.0016,
"5",186084,-0.0423,0.189,0.7982,0.0128,142286,0.7129,0.2871,0.1578,0.0879,0.0087,0.0331,0.0011,
"6",189005,-0.0273,0.2989,0.6832,0.0179,144223,0.6016,0.3984,0.1712,0.1817,0.0243,0.0259,0.0013,
"7",202803,0.0437,0.2834,0.7016,0.015,153884,0.6139,0.3861,0.1384,0.2086,0.0138,0.0279,0.0012,
"8",192599,-0.0088,0.2094,0.778,0.0126,149542,0.6301,0.3699,0.1882,0.1466,0.0086,0.0273,0.0041,
"9",199902,0.0288,0.2258,0.7613,0.0129,156851,0.6743,0.3257,0.1449,0.1445,0.01,0.0269,0.001,
"10",192455,-0.0095,0.2962,0.683,0.0209,140984,0.5924,0.4076,0.2381,0.1307,0.0121,0.0303,0.002,
"11",185491,-0.0454,0.2359,0.7521,0.0121,143703,0.6644,0.3356,0.1399,0.1616,0.0109,0.0254,0.0011,
"12",202487,0.0421,0.2733,0.709,0.0176,162321,0.5762,0.4238,0.2036,0.1861,0.0148,0.0213,0.0013,
"13",188981,-0.0274,0.2726,0.7135,0.0139,145156,0.5926,0.4074,0.2105,0.1629,0.0104,0.0298,0.0012,
"14",203047,0.045,0.4104,0.556,0.0337,163186,0.5579,0.4421,0.2422,0.1015,0.0844,0.0222,0.002,
"15",200185,0.0303,0.3318,0.6445,0.0237,147396,0.637,0.363,0.1836,0.0802,0.0756,0.0242,0.003,
"16",190052,-0.0219,0.2067,0.7756,0.0177,143293,0.6423,0.3577,0.2439,0.0672,0.0208,0.0316,0.002,
"17",202973,0.0446,0.3475,0.6304,0.0221,153215,0.5415,0.4585,0.3495,0.0767,0.0095,0.0313,0.0017,
"18",202990,0.0447,0.1658,0.8219,0.0124,151159,0.6859,0.3141,0.2041,0.0733,0.0085,0.0301,0.0012,
"19",202995,0.0447,0.2736,0.7058,0.0206,159395,0.7632,0.2368,0.1616,0.0162,0.0303,0.0273,0.0017,
"20",203898,0.0494,0.398,0.5726,0.0293,155291,0.6881,0.3119,0.1948,0.0494,0.0439,0.0292,0.0029,
"21",187992,-0.0325,0.2143,0.7723,0.0133,144682,0.7351,0.2649,0.0899,0.1231,0.0273,0.0231,0.0009,
"22",186322,-0.0411,0.6041,0.3838,0.0121,141013,0.3101,0.6899,0.2334,0.4098,0.0398,0.0188,0.001,
"23",198405,0.0211,0.3833,0.5972,0.0195,151425,0.5507,0.4493,0.2524,0.1461,0.0296,0.0282,0.0017,
"24",198848,0.0234,0.3193,0.6589,0.0218,149421,0.6298,0.3702,0.1922,0.1045,0.0504,0.0254,0.0018,
"25",186855,-0.0383,0.3777,0.6025,0.0198,139436,0.4643,0.5357,0.2715,0.1823,0.0661,0.0254,0.0015,
"26",199811,0.0283,0.3986,0.5815,0.0199,140059,0.4465,0.5535,0.2249,0.1173,0.199,0.0165,0.0014,
"27",197352,0.0157,0.705,0.2785,0.0165,145498,0.1764,0.8236,0.2318,0.4222,0.1697,0.0179,0.0014,
"28",197627,0.0171,0.4151,0.5676,0.0173,142051,0.4206,0.5794,0.2532,0.1214,0.1925,0.0182,0.0017,
"29",185176,-0.047,0.3887,0.5911,0.0202,136464,0.4729,0.5271,0.2918,0.1313,0.0863,0.0259,0.0016,
"30",189735,-0.0235,0.2402,0.7465,0.0133,143889,0.5306,0.4694,0.3633,0.0764,0.016,0.0215,0.0009,
"31",184966,-0.0481,0.4191,0.5671,0.0137,137003,0.2691,0.7309,0.6909,0.0205,0.0061,0.0164,0.0012,
"32",187448,-0.0353,0.3779,0.6007,0.0214,146778,0.4815,0.5185,0.4078,0.0463,0.0461,0.0266,0.0025,
"33",190539,-0.0194,0.364,0.613,0.023,140932,0.5941,0.4059,0.1649,0.1014,0.1155,0.0289,0.0021,
"34",189560,-0.0244,0.5482,0.4346,0.0172,143094,0.2246,0.7754,0.715,0.0423,0.011,0.0211,0.0016,
"35",193328,-0.005,0.6511,0.3305,0.0184,128027,0.0528,0.9472,0.9389,0.0038,0.0038,0.0141,0.0005,
"36",186731,-0.039,0.6518,0.3282,0.02,131138,0.0637,0.9363,0.9227,0.0048,0.0085,0.0134,0.0004,
"37",184892,-0.0484,0.5128,0.4699,0.0173,135324,0.1689,0.8311,0.8017,0.0126,0.0126,0.0173,0.001,
"38",186152,-0.042,0.6714,0.3059,0.0227,132804,0.0525,0.9475,0.9344,0.005,0.0077,0.0134,0.0007,
"39",186199,-0.0417,0.6418,0.3386,0.0196,129174,0.0811,0.9189,0.9086,0.0044,0.005,0.0142,0.0005,
"40",185455,-0.0455,0.6522,0.3287,0.0191,128995,0.0548,0.9452,0.9172,0.0127,0.0146,0.0144,0.0003,
"41",189205,-0.0262,0.5738,0.4075,0.0187,139455,0.1137,0.8863,0.8433,0.0107,0.0295,0.018,0.0005,
"42",184728,-0.0493,0.658,0.3221,0.0199,132081,0.0403,0.9597,0.9443,0.0066,0.0089,0.0119,0.0006,
"43",196580,0.0117,0.3933,0.5913,0.0154,149566,0.3339,0.6661,0.5971,0.0363,0.0199,0.0204,0.0013,
"44",192359,-0.01,0.3373,0.6403,0.0224,142911,0.5168,0.4832,0.3551,0.0841,0.0271,0.0285,0.0038,
"45",201407,0.0366,0.5665,0.402,0.0315,154436,0.4756,0.5244,0.4004,0.0604,0.0489,0.0292,0.0176,
"46",203324,0.0464,0.7413,0.2307,0.028,151543,0.3868,0.6132,0.3382,0.1916,0.0739,0.0289,0.0029,
"47",203643,0.0481,0.5815,0.3896,0.0289,153837,0.6469,0.3531,0.147,0.0386,0.1471,0.0218,0.002,
"48",202586,0.0426,0.6762,0.2929,0.031,161721,0.6234,0.3766,0.2295,0.0486,0.0808,0.0249,0.0023,
"49",203558,0.0476,0.8022,0.1668,0.031,174979,0.5936,0.4064,0.2408,0.0491,0.0995,0.0237,0.0019,
"50",202082,0.04,0.7454,0.2222,0.0324,158533,0.3462,0.6538,0.3904,0.1425,0.1146,0.0322,0.0025,
"51",203508,0.0474,0.8238,0.1452,0.031,160986,0.3523,0.6477,0.5006,0.0929,0.0459,0.0334,0.0023,
"52",201532,0.0372,0.4422,0.5294,0.0284,144897,0.5756,0.4244,0.2285,0.0857,0.0906,0.0277,0.0029,
"53",199548,0.027,0.2176,0.7677,0.0146,159656,0.6196,0.3804,0.3251,0.0219,0.0104,0.0269,0.002,
"54",185290,-0.0464,0.4361,0.5407,0.0232,134595,0.4251,0.5749,0.2231,0.2872,0.0498,0.0321,0.017,
"55",185357,-0.046,0.4152,0.5592,0.0256,137568,0.5009,0.4991,0.2264,0.2095,0.045,0.0338,0.01,
"56",199975,0.0292,0.3215,0.6573,0.0212,152415,0.6355,0.3645,0.2066,0.1074,0.0288,0.0276,0.0018,
"57",186531,-0.04,0.3964,0.5792,0.0244,133748,0.5846,0.4154,0.1896,0.1285,0.0707,0.033,0.0021,
"58",189132,-0.0266,0.2118,0.7693,0.0189,140933,0.7034,0.2966,0.2026,0.0417,0.0143,0.0363,0.0052,
"59",195458,0.0059,0.2063,0.7744,0.0193,152143,0.7115,0.2885,0.1539,0.0828,0.0212,0.0308,0.0069,
"60",185732,-0.0441,0.1616,0.8211,0.0172,140599,0.8071,0.1929,0.1253,0.018,0.0112,0.0347,0.0018,
"61",202295,0.0411,0.4147,0.5622,0.0231,139746,0.5482,0.4518,0.1099,0.1155,0.2067,0.0217,0.0024,
"62",186794,-0.0386,0.2183,0.7649,0.0168,144154,0.7542,0.2458,0.1181,0.0642,0.0152,0.0479,0.0015,
"63",202319,0.0413,0.4264,0.5479,0.0257,152377,0.5334,0.4666,0.1975,0.1126,0.1356,0.0287,0.0022,
"64",192862,-0.0074,0.3751,0.5994,0.0255,153317,0.6599,0.3401,0.1941,0.0818,0.0346,0.035,0.002,
"65",202249,0.0409,0.4157,0.5608,0.0235,154144,0.5422,0.4578,0.1704,0.1268,0.1402,0.0261,0.0022,
"66",198718,0.0227,0.4152,0.5627,0.0221,149863,0.5767,0.4233,0.1132,0.0939,0.1949,0.0208,0.002,
"67",200888,0.0339,0.4171,0.5585,0.0245,148161,0.5562,0.4438,0.1745,0.1121,0.1326,0.029,0.0023,
"68",193744,-0.0029,0.1333,0.854,0.0127,150323,0.7659,0.2341,0.1636,0.0284,0.0096,0.0339,0.0019,
"69",185518,-0.0452,0.223,0.7601,0.0169,144494,0.6806,0.3194,0.1706,0.0944,0.0247,0.0346,0.0029,
"70",185574,-0.0449,0.5046,0.4704,0.025,146914,0.4927,0.5073,0.1397,0.1166,0.2338,0.0202,0.0018,
"71",191317,-0.0154,0.2185,0.7612,0.0203,146476,0.6547,0.3453,0.2159,0.0831,0.023,0.0295,0.0023,
"72",186421,-0.0406,0.2207,0.7624,0.0169,143348,0.5616,0.4384,0.3585,0.0424,0.0177,0.0286,0.0024,
"73",201161,0.0353,0.2886,0.6898,0.0216,157622,0.7117,0.2883,0.2158,0.0263,0.0186,0.029,0.0021,
"74",203239,0.046,0.5642,0.4121,0.0238,149920,0.1629,0.8371,0.7912,0.0249,0.0142,0.0226,0.0026,
"75",200505,0.0319,0.7085,0.2656,0.026,137361,0.0604,0.9396,0.9007,0.0278,0.0111,0.0238,0.0027,
"76",198548,0.0218,0.6007,0.3808,0.0185,148367,0.2235,0.7765,0.2173,0.2209,0.3353,0.0154,0.0014,
"77",203921,0.0495,0.7655,0.2038,0.0308,158812,0.0843,0.9157,0.8768,0.0256,0.0136,0.0239,0.0021,
"78",203786,0.0488,0.6037,0.3649,0.0314,153882,0.2107,0.7893,0.7037,0.0522,0.0328,0.0256,0.0031,
"79",201379,0.0364,0.6757,0.2942,0.0301,154313,0.1399,0.8601,0.7856,0.0502,0.0235,0.0251,0.0041,
"80",192601,-0.0088,0.5195,0.4631,0.0174,135888,0.1771,0.8229,0.7973,0.0132,0.0063,0.0166,0.0008,
"81",184670,-0.0496,0.2625,0.7211,0.0164,133588,0.3495,0.6505,0.5668,0.053,0.0173,0.0248,0.0024,
"82",187676,-0.0341,0.2051,0.7771,0.0178,136280,0.4794,0.5206,0.407,0.0708,0.0242,0.0259,0.0018,
"83",185969,-0.0429,0.2165,0.7652,0.0182,140204,0.601,0.399,0.3163,0.046,0.0186,0.0244,0.0015,
"84",187524,-0.0349,0.3937,0.5788,0.0275,144770,0.4565,0.5435,0.3528,0.1254,0.0477,0.0292,0.0015,
"85",202964,0.0446,0.3015,0.6849,0.0136,154177,0.5148,0.4852,0.2496,0.1429,0.0767,0.0209,0.001,
"86",185308,-0.0463,0.1797,0.8019,0.0184,138631,0.6474,0.3526,0.2745,0.0337,0.0188,0.0305,0.0012,
"87",187448,-0.0353,0.2114,0.7704,0.0182,138418,0.5013,0.4987,0.3541,0.0785,0.0388,0.0385,0.0011,
"88",186059,-0.0424,0.1604,0.8267,0.0129,135454,0.5017,0.4983,0.4358,0.0386,0.0068,0.026,0.0016,
"89",194270,-0.0002,0.4016,0.5725,0.0259,139747,0.5585,0.4415,0.1717,0.1057,0.1408,0.029,0.0015,
"90",202379,0.0416,0.6938,0.2861,0.0201,145431,0.2026,0.7974,0.6209,0.1418,0.0284,0.026,0.0014,
"91",186760,-0.0388,0.3675,0.6069,0.0255,141029,0.5765,0.4235,0.2408,0.0796,0.0762,0.0334,0.0038,
"92",188309,-0.0309,0.5886,0.3881,0.0233,144186,0.3124,0.6876,0.2919,0.2753,0.1051,0.0276,0.0076,
"93",195785,0.0076,0.3933,0.5821,0.0246,137347,0.5434,0.4566,0.216,0.1171,0.1018,0.03,0.0036,
"94",185756,-0.044,0.4112,0.5633,0.0255,143762,0.5893,0.4107,0.1961,0.1291,0.0604,0.0297,0.0059,
"95",203993,0.0499,0.7513,0.2303,0.0184,149313,0.2266,0.7734,0.3152,0.4159,0.0365,0.023,0.0019,
"96",188593,-0.0294,0.413,0.5655,0.0215,140738,0.5681,0.4319,0.173,0.1818,0.0549,0.0301,0.0023,
"97",189469,-0.0249,0.412,0.5636,0.0244,147798,0.6225,0.3775,0.1812,0.1274,0.0463,0.0273,0.0021,
"98",184798,-0.0489,0.3387,0.6391,0.0222,141006,0.6978,0.3022,0.1173,0.0578,0.101,0.0246,0.0032,
"99",194917,0.0032,0.3909,0.5858,0.0232,146865,0.5752,0.4248,0.2551,0.11,0.0369,0.0303,0.0024,
"100",184691,-0.0495,0.845,0.1367,0.0183,136545,0.1369,0.8631,0.4571,0.3829,0.0207,0.0281,0.0012,
"101",189881,-0.0228,0.6582,0.3212,0.0205,136571,0.2525,0.7475,0.2766,0.325,0.1385,0.0262,0.0024,
"102",187686,-0.0341,0.6255,0.3508,0.0237,141854,0.2989,0.7011,0.2998,0.2601,0.1329,0.0239,0.0017,
"103",184639,-0.0497,0.7163,0.2621,0.0217,143421,0.261,0.739,0.5645,0.1083,0.0576,0.0312,0.0013,
"104",185500,-0.0453,0.6918,0.2874,0.0209,135335,0.1795,0.8205,0.6674,0.1161,0.0283,0.036,0.0019,
"105",191644,-0.0137,0.585,0.3933,0.0216,143476,0.2471,0.7529,0.462,0.1438,0.1374,0.0335,0.0025,
"106",191093,-0.0165,0.3881,0.592,0.0199,136666,0.5929,0.4071,0.1479,0.1009,0.1337,0.0277,0.0021,
"107",184603,-0.0499,0.6232,0.3552,0.0217,132648,0.2343,0.7657,0.5715,0.1556,0.029,0.0366,0.0016,
"108",187178,-0.0367,0.4391,0.5417,0.0192,150711,0.7689,0.2311,0.0983,0.0517,0.0616,0.0175,0.0012,
"109",184600,-0.0499,0.7753,0.2077,0.017,135061,0.1786,0.8214,0.2549,0.5439,0.0176,0.0239,0.0013,
"110",184614,-0.0499,0.8621,0.1228,0.0151,127657,0.081,0.919,0.5425,0.3692,0.0066,0.0332,0.0013,
"111",184755,-0.0491,0.774,0.2088,0.0172,136448,0.1478,0.8522,0.3095,0.5061,0.0322,0.0265,0.0013,
"112",185204,-0.0468,0.4509,0.5266,0.0225,144361,0.5756,0.4244,0.1618,0.1222,0.1194,0.0262,0.0017,
"113",185211,-0.0468,0.5729,0.4075,0.0196,137513,0.3177,0.6823,0.3277,0.2468,0.0941,0.0297,0.0017,
"114",184649,-0.0497,0.6544,0.317,0.0286,151157,0.495,0.505,0.2889,0.1366,0.0643,0.0297,0.002,
"115",198565,0.0219,0.5489,0.4275,0.0237,156391,0.3915,0.6085,0.2004,0.1376,0.2565,0.0218,0.0019,
"116",199721,0.0279,0.6615,0.31,0.0285,159526,0.2436,0.7564,0.5935,0.0826,0.078,0.0297,0.003,
"117",203057,0.0451,0.6097,0.3662,0.0242,142508,0.1972,0.8028,0.6812,0.0844,0.0363,0.0282,0.0041,
"118",203245,0.046,0.4908,0.485,0.0241,151094,0.3058,0.6942,0.5991,0.0607,0.026,0.031,0.0032,
