ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",923466,-0.0178,0.2426,0.7433,0.0141,707486,0.6629,0.3371,0.1322,0.1625,0.0136,0.0307,0.0013,
"2",957994,0.019,0.3952,0.5846,0.0202,720516,0.516,0.484,0.2463,0.1324,0.0837,0.0295,0.0024,
"3",962222,0.0234,0.2588,0.7285,0.0127,742444,0.6395,0.3605,0.1513,0.169,0.0173,0.0249,0.001,
"4",954803,0.0156,0.3189,0.6617,0.0194,705215,0.5538,0.4462,0.2537,0.1272,0.0437,0.0287,0.0027,
"5",931924,-0.0088,0.378,0.596,0.026,719288,0.582,0.418,0.24,0.108,0.0509,0.0264,0.0021,
"6",959881,0.021,0.6873,0.2944,0.0183,688613,0.1264,0.8736,0.6912,0.1521,0.0296,0.03,0.0015,
"7",954011,0.0147,0.3877,0.5919,0.0205,699363,0.4633,0.5367,0.285,0.1342,0.1037,0.0267,0.0019,
"8",963125,0.0244,0.3992,0.5773,0.0235,709248,0.5764,0.4236,0.1486,0.1024,0.1486,0.0271,0.0021,
"9",964126,0.0255,0.4022,0.5738,0.0239,718725,0.5419,0.4581,0.26,0.1084,0.0671,0.0292,0.0034,
"10",935869,-0.0046,0.398,0.5822,0.0198,699912,0.5327,0.4673,0.2468,0.1658,0.0328,0.0292,0.0026,
"11",917878,-0.0237,0.3912,0.588,0.0208,692970,0.5104,0.4896,0.2664,0.1322,0.0727,0.0262,0.0018,
"12",960904,0.022,0.3993,0.5784,0.0223,737490,0.5765,0.4235,0.1858,0.0908,0.1251,0.0269,0.0019,
"13",946273,0.0065,0.787,0.1964,0.0166,713052,0.1261,0.8739,0.3538,0.4017,0.1205,0.0211,0.0017,
"14",956417,0.0173,0.7256,0.2442,0.0302,758088,0.5144,0.4856,0.2744,0.0956,0.1017,0.0261,0.0023,
"15",947818,0.0081,0.6347,0.3437,0.0217,717674,0.3213,0.6787,0.3704,0.2118,0.0898,0.0268,0.0024,
"16",963453,0.0248,0.6215,0.3562,0.0223,719947,0.3068,0.6932,0.4508,0.1636,0.0687,0.0314,0.0018,
"17",912711,-0.0292,0.3805,0.6005,0.0189,685305,0.478,0.522,0.2567,0.123,0.1294,0.0211,0.0014,
"18",945180,0.0053,0.3844,0.5997,0.016,706189,0.4321,0.5679,0.2776,0.1517,0.1261,0.0216,0.0014,
"19",911273,-0.0307,0.5551,0.4222,0.0227,664784,0.2383,0.7617,0.6339,0.0916,0.0324,0.0267,0.0032,
"20",920148,-0.0213,0.5692,0.4118,0.019,669192,0.1546,0.8454,0.7987,0.0225,0.0195,0.0181,0.001,
"21",907942,-0.0343,0.5995,0.3759,0.0246,678603,0.2682,0.7318,0.6526,0.0458,0.0249,0.0235,0.0051,
"22",960493,0.0216,0.3651,0.6148,0.0201,726812,0.5457,0.4543,0.2222,0.1606,0.0493,0.0297,0.0033,
"23",963305,0.0246,0.7667,0.2141,0.0192,721285,0.2099,0.7901,0.3516,0.392,0.0408,0.026,0.0015,
"24",961334,0.0225,0.3724,0.6032,0.0244,726681,0.5646,0.4354,0.228,0.1282,0.0572,0.0299,0.0075,
"25",916282,-0.0254,0.3713,0.6053,0.0234,695435,0.6202,0.3798,0.2597,0.0504,0.0498,0.0271,0.0032,
"26",923790,-0.0174,0.6341,0.3397,0.0263,710694,0.2399,0.7601,0.6287,0.0869,0.042,0.0308,0.0035,
"27",922151,-0.0192,0.5442,0.4366,0.0192,660197,0.159,0.841,0.8105,0.0142,0.012,0.0163,0.0009,
"28",909503,-0.0326,0.2461,0.7345,0.0194,695715,0.5813,0.4187,0.2988,0.0736,0.0253,0.0287,0.002,
"29",918000,-0.0236,0.6673,0.3033,0.0294,686205,0.1357,0.8643,0.8037,0.0394,0.0203,0.0246,0.003,
"30",965445,0.0269,0.3517,0.6269,0.0214,723632,0.624,0.376,0.1593,0.0963,0.09,0.0336,0.002,
"31",907784,-0.0345,0.2009,0.7823,0.0168,665940,0.4955,0.5045,0.4072,0.0552,0.022,0.029,0.0016,
"",940178,0.0613,0.4524,0.5264,0.0212,705377,0.4316,0.5684,0.3616,0.1298,0.0621,0.0267,0.0024,
