ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",43137,-0.0111,0.1287,0.8113,0.06,29337,0.8729,0.1271,0.0854,0.0049,0.0151,0.0202,0.0035,
"2",43892,0.0062,0.202,0.7409,0.057,29836,0.8356,0.1644,0.1023,0.012,0.0265,0.0197,0.0068,
"3",43860,0.0055,0.3246,0.6151,0.0603,34965,0.8268,0.1732,0.0963,0.0149,0.0364,0.019,0.0081,
"4",43697,0.0017,0.3677,0.5915,0.0408,31102,0.8884,0.1116,0.0679,0.0057,0.018,0.0123,0.0027,
"5",43323,-0.0068,0.166,0.7758,0.0582,27924,0.8594,0.1406,0.0983,0.0067,0.0148,0.0164,0.0059,
"6",42782,-0.0192,0.1733,0.7815,0.0452,29203,0.8723,0.1277,0.0803,0.0081,0.0161,0.0214,0.0038,
"7",44015,0.009,0.292,0.6566,0.0514,30998,0.757,0.243,0.178,0.0187,0.0228,0.0234,0.0067,
"8",42756,-0.0198,0.3693,0.5805,0.0503,31829,0.7734,0.2266,0.1684,0.016,0.0186,0.0258,0.005,
"9",42768,-0.0196,0.336,0.6093,0.0547,31412,0.7221,0.2779,0.1892,0.0301,0.0315,0.032,0.0071,
"10",43288,-0.0076,0.3989,0.5486,0.0525,32320,0.6885,0.3115,0.2269,0.0307,0.0275,0.0318,0.008,
"11",42717,-0.0207,0.3098,0.6383,0.0519,30780,0.7933,0.2067,0.122,0.0266,0.0338,0.0211,0.0104,
"12",43107,-0.0118,0.2372,0.7121,0.0507,29860,0.8193,0.1807,0.1153,0.0147,0.0273,0.0223,0.0051,
"13",42591,-0.0236,0.2541,0.6782,0.0677,28860,0.7841,0.2159,0.1306,0.0177,0.0382,0.0239,0.0123,
"14",42841,-0.0179,0.2338,0.7013,0.0648,27478,0.7924,0.2076,0.1144,0.0236,0.0428,0.0203,0.0129,
"15",43577,-0.001,0.207,0.7381,0.0548,27579,0.8335,0.1665,0.0977,0.0156,0.0317,0.0178,0.0067,
"16",42466,-0.0265,0.2798,0.6598,0.0604,30889,0.7733,0.2267,0.1198,0.0277,0.0465,0.0243,0.013,
"17",41982,-0.0376,0.2294,0.7151,0.0555,28778,0.8709,0.1291,0.071,0.0137,0.0227,0.0167,0.0089,
"18",42353,-0.0291,0.2353,0.7164,0.0482,28368,0.893,0.107,0.0527,0.0111,0.0255,0.0101,0.008,
"19",42822,-0.0183,0.2791,0.6684,0.0525,30603,0.8728,0.1272,0.0631,0.0099,0.0251,0.0145,0.014,
"20",42731,-0.0204,0.3242,0.6209,0.0549,29453,0.7754,0.2246,0.1225,0.0156,0.0423,0.022,0.0279,
"21",44840,0.0279,0.6504,0.2946,0.055,33852,0.4487,0.5513,0.3789,0.0522,0.0639,0.0409,0.0408,
"22",43304,-0.0073,0.7157,0.2447,0.0396,38816,0.7525,0.2475,0.0945,0.0317,0.0911,0.019,0.0083,
"23",44633,0.0232,0.6742,0.2928,0.033,35439,0.8376,0.1624,0.0552,0.0129,0.0737,0.0128,0.0045,
"24",43010,-0.014,0.7703,0.1852,0.0446,36705,0.7049,0.2951,0.1436,0.041,0.0675,0.0318,0.0125,
"25",44678,0.0242,0.5751,0.3646,0.0604,31105,0.3613,0.6387,0.4545,0.0349,0.0655,0.0427,0.065,
"26",45176,0.0356,0.4351,0.5093,0.0556,31550,0.5289,0.4711,0.3354,0.0223,0.0616,0.0332,0.0367,
"27",44537,0.021,0.4102,0.5261,0.0637,29984,0.5909,0.4091,0.2972,0.0211,0.0454,0.028,0.031,
"28",42372,-0.0286,0.2841,0.6564,0.0595,28806,0.8037,0.1963,0.1282,0.0119,0.0161,0.0283,0.0129,
"29",43437,-0.0042,0.1708,0.7663,0.0629,28965,0.8389,0.1611,0.1104,0.0077,0.0132,0.0264,0.0066,
"30",45249,0.0373,0.4387,0.5083,0.053,32743,0.5414,0.4586,0.3133,0.0274,0.0526,0.0312,0.0498,
"31",45014,0.0319,0.4897,0.4575,0.0527,33729,0.539,0.461,0.2879,0.0434,0.0718,0.0358,0.0361,
"32",43785,0.0037,0.6507,0.3035,0.0457,35466,0.6681,0.3319,0.1681,0.0464,0.0764,0.0297,0.0167,
"33",43274,-0.008,0.5304,0.4359,0.0337,32256,0.8732,0.1268,0.0495,0.0109,0.0451,0.0122,0.0058,
"34",42591,-0.0236,0.5154,0.4452,0.0393,33977,0.8102,0.1898,0.0877,0.0196,0.0511,0.0177,0.0088,
"35",43669,0.0011,0.4805,0.4726,0.0469,33843,0.7102,0.2898,0.1501,0.0454,0.0581,0.0249,0.0138,
"36",43159,-0.0106,0.3817,0.5688,0.0495,31833,0.7011,0.2989,0.1854,0.0155,0.0539,0.0269,0.025,
"37",43063,-0.0128,0.4458,0.4939,0.0603,30323,0.5271,0.4729,0.3727,0.0201,0.0321,0.0337,0.0325,
"38",43871,0.0057,0.3565,0.5932,0.0504,29440,0.6644,0.3356,0.2215,0.0223,0.0523,0.0226,0.0248,
"39",43014,-0.0139,0.3735,0.5763,0.0502,31457,0.6918,0.3082,0.1995,0.019,0.0497,0.0241,0.0213,
"40",44788,0.0267,0.4863,0.4618,0.0519,33860,0.6723,0.3277,0.2047,0.0325,0.0543,0.0277,0.0167,
