ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",110855,-0.0174,0.1632,0.7808,0.056,73770,0.8616,0.1384,0.0939,0.0062,0.0136,0.0211,0.0055,
"2",111491,-0.0117,0.2385,0.7054,0.0562,80463,0.8394,0.1606,0.0961,0.0124,0.0286,0.0186,0.007,
"3",112971,0.0014,0.3537,0.5989,0.0474,81369,0.7766,0.2234,0.1613,0.0168,0.0223,0.0232,0.0057,
"4",113791,0.0087,0.2373,0.7134,0.0493,78686,0.8207,0.1793,0.1119,0.0149,0.0283,0.0229,0.0059,
"5",112790,-0.0002,0.3546,0.5907,0.0547,82763,0.7386,0.2614,0.1779,0.0286,0.029,0.0269,0.0085,
"6",110767,-0.0181,0.227,0.7128,0.0602,72107,0.8024,0.1976,0.1104,0.021,0.039,0.0207,0.0115,
"7",113499,0.0061,0.2406,0.7056,0.0538,78163,0.8538,0.1462,0.0774,0.0158,0.0297,0.0164,0.0093,
"8",110693,-0.0188,0.3735,0.5751,0.0513,79711,0.7995,0.2005,0.1127,0.0166,0.0359,0.0204,0.0198,
"9",112887,0.0006,0.7121,0.2472,0.0407,94644,0.6945,0.3055,0.1448,0.0346,0.0845,0.026,0.0177,
"10",113874,0.0094,0.493,0.4493,0.0577,79901,0.4563,0.5437,0.3907,0.0322,0.0588,0.0362,0.0463,
"11",114705,0.0168,0.2793,0.6599,0.0608,73965,0.7505,0.2495,0.167,0.0152,0.0296,0.0255,0.0183,
"12",111487,-0.0118,0.4565,0.488,0.0556,80835,0.5433,0.4567,0.3217,0.0286,0.0487,0.033,0.0406,
"13",110915,-0.0168,0.6045,0.3485,0.047,88766,0.6563,0.3437,0.1843,0.0458,0.0737,0.0296,0.0156,
"14",113386,0.0051,0.5271,0.4366,0.0363,87199,0.8487,0.1513,0.0675,0.0138,0.0455,0.0143,0.0069,
"15",113247,0.0038,0.4805,0.4737,0.0458,86776,0.7466,0.2534,0.1411,0.0222,0.0554,0.0221,0.0142,
"16",113458,0.0057,0.3731,0.5772,0.0497,82721,0.6898,0.3102,0.2019,0.0186,0.0479,0.0249,0.0236,
"17",114416,0.0142,0.2984,0.6579,0.0438,77137,0.7804,0.2196,0.1127,0.0165,0.0605,0.015,0.0176,
"18",114579,0.0156,0.2468,0.7036,0.0496,75848,0.8148,0.1852,0.0982,0.0164,0.0402,0.0177,0.0157,
"19",112111,-0.0062,0.3485,0.6114,0.0401,80693,0.8533,0.1467,0.0619,0.0108,0.0489,0.0128,0.0079,
"20",112202,-0.0054,0.2761,0.6683,0.0556,78412,0.8322,0.1678,0.0958,0.0067,0.0159,0.0462,0.0034,
"21",112819,0,0.156,0.7929,0.051,74739,0.8689,0.1311,0.0699,0.0081,0.0266,0.0143,0.0135,
"22",114258,0.0128,0.2093,0.7345,0.0562,67779,0.8214,0.1786,0.0962,0.013,0.0384,0.0173,0.0161,
"23",112241,-0.0051,0.2197,0.7228,0.0576,80118,0.7258,0.2742,0.1831,0.0153,0.0365,0.0235,0.0242,
"24",114650,0.0163,0.2298,0.7149,0.0553,89961,0.7784,0.2216,0.1278,0.0151,0.0442,0.0186,0.021,
"25",113220,0.0036,0.1691,0.775,0.0559,74361,0.7887,0.2113,0.1561,0.0097,0.0167,0.0222,0.0144,
"26",110831,-0.0176,0.2552,0.6983,0.0465,78223,0.7943,0.2057,0.0919,0.0071,0.0118,0.0893,0.0071,
"27",112871,0.0005,0.1269,0.8184,0.0547,78504,0.8807,0.1193,0.0732,0.0063,0.0113,0.0215,0.0085,
"28",112213,-0.0053,0.1625,0.7668,0.0707,80759,0.8435,0.1565,0.0942,0.0093,0.017,0.0285,0.0089,
"29",114389,0.014,0.2017,0.7314,0.0669,85678,0.8287,0.1713,0.1064,0.0108,0.0188,0.024,0.0137,
"",112814,0.0356,0.3125,0.6355,0.052,80140,0.7736,0.2264,0.1362,0.0172,0.0371,0.0253,0.0148,
