ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"A-1",9152,0.4801,0.7102,0.2497,0.0402,7945,0.8253,0.1747,0.05,0.0355,0.068,0.0189,0.0014,
"A-2",4688,-0.2418,0.5989,0.3509,0.0502,3819,0.9309,0.0691,0.0168,0.0042,0.0136,0.022,0.0029,
"A-3",7656,0.2381,0.5565,0.3958,0.0477,6369,0.9254,0.0746,0.0259,0.0104,0.0083,0.0236,0.0009,
"A-4",8940,0.4458,0.5937,0.3509,0.0554,7180,0.927,0.073,0.0173,0.0047,0.0085,0.0265,0.0001,
"A-5",3722,-0.3981,0.574,0.3841,0.0419,3125,0.9213,0.0787,0.0349,0.0122,0.0074,0.0131,0.0006,
"A-R",3878,-0.3728,0.4776,0.4616,0.0608,3114,0.9207,0.0793,0.0199,0.0093,0.0077,0.0244,0.0003,
"B-1",3613,-0.4157,0.4911,0.4267,0.0821,2910,0.943,0.057,0.0162,0.0052,0.0045,0.0213,0,
"B-3",3889,-0.3711,0.545,0.3902,0.0648,3132,0.9339,0.0661,0.0208,0.008,0.0073,0.0163,0.0003,
"B-4",8102,0.3103,0.5672,0.3755,0.0572,6607,0.9168,0.0832,0.0241,0.0136,0.0156,0.0191,0.0006,
"B-R",4335,-0.2989,0.5422,0.4015,0.0563,3550,0.929,0.071,0.0192,0.0059,0.0155,0.0163,0.0006,
"B21",7795,0.2606,0.5837,0.3457,0.0706,6264,0.891,0.109,0.0268,0.0228,0.0241,0.0249,0.0014,
"B22",7538,0.2191,0.5596,0.3579,0.0825,6033,0.9121,0.0879,0.0192,0.0257,0.0143,0.0202,0.0017,
"C-1",4167,-0.3261,0.663,0.2935,0.0435,3269,0.933,0.067,0.0174,0.0095,0.0122,0.0132,0.0006,
"C-2",10103,0.6339,0.6084,0.3556,0.0361,8123,0.8994,0.1006,0.0214,0.0163,0.039,0.0126,0.0005,
"C-3",8233,0.3315,0.6145,0.3446,0.0409,6468,0.9256,0.0744,0.0176,0.0111,0.0113,0.0186,0,
"C10",9341,0.5106,0.4837,0.4698,0.0464,7391,0.9203,0.0797,0.015,0.0137,0.0129,0.0285,0.0007,
"C41",3970,-0.358,0.6753,0.2892,0.0355,3108,0.9212,0.0788,0.0196,0.0074,0.0142,0.0138,0.0013,
"C42",4640,-0.2496,0.6458,0.3124,0.0418,3595,0.9193,0.0807,0.0223,0.01,0.0092,0.0234,0.0011,
"C51",4261,-0.3109,0.7027,0.2682,0.0291,3450,0.9232,0.0768,0.0183,0.011,0.0226,0.0145,0.0003,
"C52",4250,-0.3127,0.639,0.3312,0.0299,3332,0.9067,0.0933,0.0189,0.015,0.0243,0.0198,0.003,
"C61",8315,0.3447,0.6906,0.2633,0.0461,6687,0.846,0.154,0.0241,0.0438,0.0619,0.0205,0.001,
"C62",4359,-0.2951,0.7571,0.1878,0.0551,3672,0.8295,0.1705,0.0321,0.0493,0.0599,0.0283,0.0014,
"C63",9179,0.4845,0.8059,0.1217,0.0724,8141,0.7834,0.2166,0.0386,0.0681,0.0778,0.024,0.0009,
"C64",9081,0.4686,0.8185,0.1226,0.059,8512,0.8428,0.1572,0.0395,0.0316,0.0712,0.0078,0.0005,
"C65",8736,0.4128,0.7874,0.1665,0.046,7322,0.8657,0.1343,0.0298,0.0404,0.0434,0.0138,0.0003,
"C66",4507,-0.2711,0.8095,0.135,0.0555,4312,0.8755,0.1245,0.0399,0.0332,0.0387,0.007,0.0007,
"C67",8563,0.3848,0.7174,0.2267,0.0559,7249,0.756,0.244,0.0291,0.0717,0.112,0.0268,0.0015,
"C71",4627,-0.2517,0.7109,0.2568,0.0323,3795,0.8688,0.1312,0.0211,0.0232,0.0627,0.0121,0.0005,
"C72",5467,-0.1159,0.6532,0.3157,0.031,4222,0.8482,0.1518,0.0232,0.0192,0.0888,0.0142,0.0017,
"C73",5572,-0.0989,0.7077,0.2521,0.0403,4822,0.8337,0.1663,0.035,0.0436,0.0686,0.0143,0.0008,
"C74",4626,-0.2519,0.6464,0.307,0.0465,3839,0.8231,0.1769,0.0331,0.0378,0.0711,0.0232,0.0016,
"C81",9402,0.5205,0.5952,0.3614,0.0434,7369,0.8787,0.1213,0.0217,0.0236,0.0487,0.0205,0.0016,
"C82",10330,0.6706,0.6145,0.3417,0.0438,8290,0.8466,0.1534,0.0239,0.0309,0.0752,0.0156,0.0007,
"C83",4424,-0.2845,0.5805,0.3783,0.0412,3564,0.9206,0.0794,0.0163,0.0093,0.0258,0.0188,0.0011,
"C91",8817,0.4259,0.5912,0.3681,0.0407,7315,0.8696,0.1304,0.0286,0.0336,0.0406,0.0186,0.0014,
"C92",8707,0.4081,0.5712,0.3922,0.0366,7003,0.8999,0.1001,0.019,0.0207,0.0298,0.024,0.0011,
"CA1",4096,-0.3376,0.467,0.4804,0.0526,3268,0.9397,0.0603,0.0116,0.011,0.0064,0.0199,0.0009,
"CA2",4084,-0.3395,0.5309,0.4004,0.0687,3316,0.9186,0.0814,0.0139,0.01,0.0103,0.0296,0.0006,
"CA3",7364,0.1909,0.5217,0.4172,0.0611,5711,0.8837,0.1163,0.0348,0.0151,0.027,0.0291,0.0009,
"CA4",8055,0.3027,0.4495,0.4894,0.0611,6505,0.9273,0.0727,0.0135,0.01,0.0125,0.0275,0.0014,
"CAW",4493,-0.2734,0.5343,0.4143,0.0514,3607,0.9332,0.0668,0.0122,0.0058,0.01,0.0302,0.0014,
"E-C",3674,-0.4058,0.3941,0.5377,0.0682,2985,0.937,0.063,0.0084,0.007,0.0104,0.0298,0.001,
"ECO",3762,-0.3916,0.4372,0.4979,0.0649,3123,0.9494,0.0506,0.007,0.0026,0.0038,0.0247,0.001,
"F-1",4845,-0.2165,0.456,0.4988,0.0452,3709,0.9294,0.0706,0.0127,0.0073,0.0105,0.0253,0.0019,
"F-2",5014,-0.1891,0.4804,0.4693,0.0503,3761,0.9282,0.0718,0.0183,0.009,0.0144,0.0218,0.0005,
"F-4",8837,0.4291,0.4394,0.515,0.0455,6879,0.9029,0.0971,0.0126,0.0068,0.0045,0.0619,0.0001,
"F-5",8728,0.4115,0.4111,0.5283,0.0606,6778,0.9248,0.0752,0.0118,0.0052,0.0041,0.0496,0.0009,
"F-6",4663,-0.2459,0.527,0.4256,0.0474,3638,0.9261,0.0739,0.0179,0.0044,0.0044,0.0344,0.0005,
"F-7",3994,-0.3541,0.5069,0.4228,0.0704,3104,0.9217,0.0783,0.0193,0.0045,0.0064,0.0387,0.001,
"F31",9130,0.4765,0.5455,0.3986,0.056,7168,0.8943,0.1057,0.0212,0.0188,0.0166,0.04,0.0017,
"F32",4735,-0.2342,0.4851,0.4713,0.0437,3850,0.9125,0.0875,0.0166,0.0177,0.0104,0.0358,0.001,
"GIC",8675,0.4029,0.5157,0.4401,0.0441,7175,0.9281,0.0719,0.0127,0.0085,0.0085,0.0322,0.0031,
"LM1",5223,-0.1553,0.6482,0.3103,0.0415,4109,0.9141,0.0859,0.029,0.0178,0.0136,0.0114,0.0019,
"LM2",8539,0.3809,0.5503,0.3883,0.0614,6868,0.9209,0.0791,0.0146,0.0157,0.0084,0.0328,0.0022,
"LM3",4525,-0.2682,0.5727,0.3661,0.0612,3564,0.9371,0.0629,0.0174,0.0129,0.0034,0.025,0.0025,
"LMW",8212,0.3281,0.6006,0.3419,0.0576,6697,0.9064,0.0936,0.0275,0.0151,0.0088,0.0275,0.0009,
"O-1",7912,0.2795,0.4185,0.5225,0.059,6377,0.9406,0.0594,0.0114,0.0067,0.0041,0.0303,0.0008,
