ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"ADD (2)",40425,-0.0571,0.6062,0.3506,0.0432,33547,0.9019,0.0981,0.0288,0.0141,0.0235,0.0218,0.0011,
"BEN (2)",41967,-0.0211,0.5578,0.3779,0.0642,34001,0.9198,0.0802,0.0213,0.0144,0.0141,0.0192,0.0009,
"CAL (1)",22630,0.0557,0.5062,0.4416,0.0522,18016,0.916,0.084,0.0191,0.0101,0.0144,0.027,0.001,
"CHI-C (3)",65305,0.0155,0.7028,0.2467,0.0505,55955,0.8284,0.1716,0.0321,0.0453,0.0703,0.0182,0.001,
"CHI-N (1)",22073,0.0297,0.5135,0.4437,0.0427,17327,0.9187,0.0813,0.0156,0.0122,0.0189,0.0248,0.0008,
"CHI-SE (3)",69199,0.0761,0.6681,0.2957,0.0362,55634,0.8884,0.1116,0.0233,0.0215,0.0389,0.0159,0.0008,
"ESX (1)",22290,0.0398,0.4303,0.5145,0.0552,18256,0.9315,0.0685,0.0128,0.0096,0.0096,0.0292,0.0012,
"FRA (2)",44508,0.0382,0.4736,0.4765,0.0498,34828,0.9129,0.0871,0.0158,0.0098,0.0085,0.044,0.0011,
"GI (1)",19984,-0.0677,0.5666,0.3952,0.0382,16180,0.9083,0.0917,0.0173,0.0164,0.0255,0.0241,0.0017,
"LAM (1)",22068,0.0295,0.5631,0.3829,0.054,17679,0.92,0.08,0.0189,0.0143,0.0078,0.0293,0.0016,
"ORA (1)",21954,0.0242,0.5221,0.4261,0.0518,17761,0.924,0.076,0.0144,0.0092,0.0075,0.0302,0.0007,
"ORL (1)",22103,0.0311,0.4783,0.467,0.0548,17681,0.9337,0.0663,0.0122,0.0067,0.0068,0.0316,0.0008,
"RUT (3)",60068,-0.0659,0.4785,0.4731,0.0484,49588,0.9202,0.0798,0.0179,0.0116,0.0107,0.0237,0.0007,
"WAS (3)",67285,0.0463,0.6113,0.3415,0.0472,54661,0.9111,0.0889,0.0237,0.0155,0.0134,0.0233,0.001,
"WDH (2)",41285,-0.037,0.6552,0.2827,0.0621,34077,0.9055,0.0945,0.0242,0.0188,0.015,0.0252,0.0011,
"WSR (3)",59933,-0.068,0.5923,0.3568,0.0509,49291,0.9219,0.0781,0.0171,0.0117,0.0135,0.0244,0.0008,
"   (30)",21436,0.1441,0.5806,0.3703,0.0491,32780,0.904,0.096,0.0212,0.0172,0.0222,0.0244,0.001,
