ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",157284,0.0002,0.6766,0.3051,0.0183,122252,0.6746,0.3254,0.0735,0.0313,0.187,0.0229,0.0074,
"2",157441,0.0012,0.4062,0.5743,0.0195,117684,0.7142,0.2858,0.0874,0.0607,0.077,0.0447,0.0255,
"3",157244,0,0.5965,0.3878,0.0157,125230,0.8049,0.1951,0.0595,0.0369,0.0401,0.0452,0.0104,
"4",157261,0.0001,0.3952,0.5864,0.0183,121889,0.8512,0.1488,0.0509,0.0212,0.029,0.0352,0.0074,
"5",157289,0.0002,0.5673,0.4148,0.0179,116388,0.7214,0.2786,0.062,0.0258,0.1588,0.0241,0.0062,
"6",157252,0,0.4327,0.5508,0.0165,122031,0.8083,0.1917,0.0572,0.0325,0.0428,0.0447,0.0135,
"7",157250,0,0.3365,0.653,0.0105,122702,0.7632,0.2368,0.1203,0.0073,0.0127,0.0874,0.0034,
"8",157266,0.0001,0.3979,0.5839,0.0182,114878,0.6986,0.3014,0.1952,0.0217,0.051,0.0294,0.0047,
"9",157247,0,0.4035,0.581,0.0155,128003,0.8062,0.1938,0.076,0.0258,0.0529,0.0334,0.0068,
"10",157261,0.0001,0.4992,0.483,0.0178,126071,0.7935,0.2065,0.0773,0.0274,0.0527,0.039,0.0085,
"11",157228,-0.0001,0.6823,0.3026,0.0151,123867,0.4302,0.5698,0.1284,0.1274,0.2859,0.0283,0.017,
"12",157247,0,0.4561,0.5282,0.0157,123024,0.7392,0.2608,0.1763,0.014,0.0297,0.0332,0.0057,
"13",157248,0,0.3496,0.6385,0.0118,117963,0.6682,0.3318,0.2557,0.014,0.0256,0.0366,0.004,
"14",157253,0,0.4468,0.5416,0.0116,116363,0.5581,0.4419,0.3267,0.0145,0.0237,0.0851,0.0038,
"15",157231,-0.0001,0.4895,0.5029,0.0076,105378,0.2755,0.7245,0.6796,0.0128,0.0121,0.0456,0.003,
"16",157254,0,0.3849,0.5992,0.0159,119296,0.6796,0.3204,0.2341,0.0216,0.0268,0.0349,0.0063,
"17",157239,-0.0001,0.4936,0.4908,0.0156,120318,0.7704,0.2296,0.0756,0.0255,0.0841,0.0316,0.012,
"18",157261,0.0001,0.4814,0.5031,0.0156,119539,0.7802,0.2198,0.0851,0.0281,0.0622,0.0326,0.0123,
"19",157236,-0.0001,0.4271,0.5588,0.0141,125140,0.8138,0.1862,0.0775,0.0163,0.025,0.0554,0.0081,
"20",157243,0,0.3517,0.6344,0.0139,119696,0.8416,0.1584,0.0709,0.0118,0.0227,0.0403,0.0052,
"21",157212,-0.0002,0.652,0.331,0.017,124223,0.5937,0.4063,0.1072,0.0651,0.2004,0.0264,0.0126,
"22",157257,0,0.651,0.3287,0.0203,124667,0.7295,0.2705,0.0797,0.0484,0.0932,0.0385,0.017,
"23",157258,0,0.6135,0.3662,0.0204,125082,0.7475,0.2525,0.0743,0.0395,0.0887,0.0408,0.016,
"24",157233,-0.0001,0.5371,0.4495,0.0134,131609,0.8284,0.1716,0.0517,0.013,0.0259,0.0702,0.0051,
"25",157268,0.0001,0.4748,0.5059,0.0193,119285,0.6954,0.3046,0.096,0.0653,0.091,0.0388,0.022,
"26",157227,-0.0002,0.4937,0.4852,0.0211,125634,0.7836,0.2164,0.0676,0.0368,0.0616,0.0359,0.0152,
"27",157239,-0.0001,0.685,0.2975,0.0175,127327,0.6409,0.3591,0.0931,0.1155,0.1063,0.0375,0.022,
"28",157289,0.0002,0.5695,0.4106,0.0199,120747,0.5689,0.4311,0.1261,0.1409,0.1221,0.0328,0.0325,
"29",157054,-0.0013,0.5982,0.3842,0.0176,118573,0.4881,0.5119,0.1514,0.1499,0.1467,0.0486,0.044,
"30",157277,0.0002,0.5932,0.3904,0.0163,120031,0.466,0.534,0.1727,0.1305,0.1764,0.0353,0.0393,
"31",157223,-0.0002,0.4413,0.5416,0.0172,118818,0.7602,0.2398,0.0783,0.0341,0.0673,0.0471,0.0146,
"32",157211,-0.0003,0.7408,0.2435,0.0157,127128,0.613,0.387,0.0967,0.0744,0.1835,0.0287,0.01,
"33",157256,0,0.679,0.3063,0.0147,122933,0.4565,0.5435,0.1756,0.1476,0.1741,0.0341,0.0303,
"34",157234,-0.0001,0.8232,0.1646,0.0122,127978,0.622,0.378,0.1175,0.0847,0.1432,0.0327,0.0107,
"35",157268,0.0001,0.4721,0.5089,0.019,126753,0.7965,0.2035,0.0723,0.023,0.0444,0.052,0.011,
"36",157250,0,0.8733,0.1148,0.0119,133538,0.7243,0.2757,0.0635,0.0325,0.1509,0.0207,0.0053,
"37",157247,0,0.8877,0.103,0.0092,129010,0.3938,0.6062,0.0848,0.1896,0.3144,0.0252,0.0096,
"38",157215,-0.0002,0.572,0.4081,0.0199,122634,0.6576,0.3424,0.1301,0.0516,0.0996,0.0557,0.014,
"39",157306,0.0004,0.4405,0.5394,0.0202,119257,0.7983,0.2017,0.0808,0.02,0.0498,0.0395,0.0075,
"40",157261,0.0001,0.6578,0.3256,0.0166,128373,0.7842,0.2158,0.1079,0.0157,0.0516,0.0308,0.0068,
"41",157234,-0.0001,0.6886,0.2969,0.0145,119168,0.547,0.453,0.051,0.0283,0.3558,0.0131,0.0047,
"42",157263,0.0001,0.5195,0.4641,0.0164,123433,0.7622,0.2378,0.0962,0.0177,0.0612,0.0553,0.0072,
"43",157247,0,0.8926,0.0948,0.0126,145451,0.606,0.394,0.072,0.0546,0.2452,0.0191,0.0062,
"44",157248,0,0.5611,0.4201,0.0188,117387,0.6668,0.3332,0.0705,0.0305,0.1981,0.0228,0.0075,
"45",157270,0.0001,0.672,0.3111,0.0169,118356,0.6468,0.3532,0.0658,0.0257,0.2345,0.017,0.0043,
"46",157255,0,0.8748,0.1127,0.0125,131442,0.6415,0.3585,0.0747,0.0561,0.2005,0.0225,0.0063,
"47",157240,-0.0001,0.5686,0.415,0.0164,119577,0.5341,0.4659,0.1113,0.0951,0.2183,0.0288,0.0245,
"48",157252,0,0.698,0.2855,0.0165,125223,0.4918,0.5082,0.0674,0.0293,0.393,0.0127,0.0043,
"49",157252,0,0.5961,0.3864,0.0175,123340,0.7082,0.2918,0.1359,0.0462,0.0586,0.0393,0.0202,
"",157251,0.0025,0.5723,0.4116,0.0161,122953,0.6736,0.3264,0.1146,0.05,0.1165,0.0373,0.0122,
