ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",59834,0.0051,0.4252,0.5484,0.0264,48743,0.9393,0.0607,0.0269,0.0064,0.0063,0.0143,0.0008,
"2",59040,-0.0083,0.3875,0.5832,0.0293,45582,0.9114,0.0886,0.0274,0.0147,0.0211,0.0189,0.001,
"3",59814,0.0047,0.414,0.5608,0.0252,45081,0.9166,0.0834,0.0309,0.0104,0.0219,0.0169,0.0006,
"4",59662,0.0022,0.4556,0.5173,0.0272,47054,0.8389,0.1611,0.0402,0.0351,0.0294,0.0561,0.001,
"5",59733,0.0034,0.378,0.5964,0.0256,45195,0.8864,0.1136,0.0229,0.0087,0.0136,0.0653,0.0007,
"6",59582,0.0008,0.3317,0.6406,0.0278,46354,0.8889,0.1111,0.0232,0.0063,0.0059,0.0712,0.0007,
"7",59857,0.0055,0.5627,0.4059,0.0315,46739,0.6594,0.3406,0.2052,0.0791,0.0365,0.0311,0.0012,
"8",59424,-0.0018,0.8146,0.1595,0.026,40554,0.1818,0.8182,0.6656,0.1222,0.0355,0.0431,0.0017,
"9",59459,-0.0012,0.7036,0.2708,0.0256,41783,0.3196,0.6804,0.5211,0.0821,0.0735,0.0419,0.0017,
"10",59315,-0.0037,0.8606,0.1205,0.0189,45131,0.3972,0.6028,0.049,0.5139,0.0333,0.0143,0.0013,
"11",59956,0.0071,0.7273,0.2543,0.0184,43926,0.3824,0.6176,0.0406,0.5021,0.069,0.0127,0.0011,
"12",59508,-0.0004,0.7151,0.2643,0.0205,43381,0.3609,0.6391,0.0537,0.5024,0.0796,0.0146,0.0013,
"13",60115,0.0098,0.4467,0.5304,0.0229,47266,0.828,0.172,0.0387,0.044,0.0736,0.0111,0.0012,
"14",59284,-0.0042,0.7686,0.2097,0.0217,43577,0.3825,0.6175,0.043,0.5085,0.0592,0.0144,0.0015,
"15",59443,-0.0015,0.4385,0.5347,0.0268,47973,0.819,0.181,0.0744,0.0404,0.0457,0.0189,0.0009,
"16",59378,-0.0026,0.8702,0.1031,0.0267,45629,0.3485,0.6515,0.0762,0.5009,0.0682,0.0172,0.0017,
"17",59534,0,0.7897,0.1902,0.0202,44041,0.4119,0.5881,0.0433,0.5029,0.0361,0.0144,0.0013,
"18",59160,-0.0063,0.7871,0.1881,0.0248,44192,0.3659,0.6341,0.0837,0.5063,0.0354,0.0211,0.0015,
"19",59016,-0.0087,0.7489,0.22,0.0311,54648,0.7871,0.2129,0.0717,0.066,0.0539,0.0153,0.0017,
"20",59959,0.0072,0.5496,0.4238,0.0266,47925,0.762,0.238,0.1242,0.0409,0.052,0.0229,0.001,
"21",59908,0.0063,0.4885,0.4838,0.0277,47357,0.7977,0.2023,0.0992,0.0435,0.0385,0.0219,0.001,
"22",59244,-0.0048,0.3601,0.6192,0.0206,45809,0.8587,0.1413,0.0231,0.0311,0.069,0.0107,0.0006,
"23",59314,-0.0037,0.4995,0.4797,0.0208,45827,0.8819,0.1181,0.0283,0.0278,0.0448,0.0087,0.001,
"24",59259,-0.0046,0.3072,0.6727,0.0201,46105,0.9125,0.0875,0.022,0.0189,0.0294,0.0101,0.0012,
"25",59593,0.001,0.3736,0.5947,0.0317,47065,0.8884,0.1116,0.0452,0.0151,0.0285,0.0188,0.0008,
"26",59666,0.0022,0.399,0.569,0.032,46513,0.8285,0.1715,0.0704,0.0229,0.0593,0.0157,0.0011,
"27",59295,-0.004,0.4117,0.5601,0.0282,46236,0.881,0.119,0.0451,0.0139,0.0427,0.0127,0.0011,
"28",59274,-0.0043,0.3681,0.606,0.0259,46647,0.9379,0.0621,0.0173,0.0064,0.0069,0.0229,0.0007,
"29",59863,0.0056,0.4163,0.5495,0.0342,46177,0.9163,0.0837,0.021,0.0138,0.0243,0.0165,0.0009,
"30",59532,0,0.4646,0.5016,0.0338,46217,0.9146,0.0854,0.0269,0.0156,0.0173,0.017,0.0014,
"31",59354,-0.003,0.4338,0.5384,0.0278,46462,0.8544,0.1456,0.0819,0.0264,0.0154,0.0165,0.0008,
"32",59397,-0.0023,0.367,0.6018,0.0312,46882,0.8582,0.1418,0.0987,0.01,0.0116,0.0165,0.0008,
"33",59287,-0.0041,0.363,0.6111,0.026,46888,0.9127,0.0873,0.0466,0.0083,0.0086,0.0138,0.0007,
"34",59693,0.0027,0.3865,0.5868,0.0266,50203,0.9455,0.0545,0.012,0.006,0.007,0.0224,0.0007,
"35",59090,-0.0074,0.3683,0.6001,0.0317,47611,0.9457,0.0543,0.016,0.0052,0.0078,0.0186,0.0007,
"36",59493,-0.0007,0.3396,0.6361,0.0244,47976,0.8829,0.1171,0.0172,0.0043,0.004,0.086,0.0011,
"37",59757,0.0038,0.6224,0.3525,0.0251,45547,0.8121,0.1879,0.0531,0.0531,0.0628,0.0169,0.0016,
"38",59681,0.0025,0.4347,0.5385,0.0267,46054,0.8932,0.1068,0.0616,0.0146,0.0116,0.0137,0.0009,
"39",59568,0.0006,0.3633,0.6119,0.0249,46831,0.9076,0.0924,0.0521,0.0135,0.0077,0.0138,0.0005,
"40",59831,0.005,0.3477,0.6265,0.0258,48223,0.93,0.07,0.0277,0.0125,0.0069,0.0166,0.0005,
"41",59798,0.0045,0.3815,0.5899,0.0286,48454,0.8923,0.1077,0.053,0.023,0.0088,0.0188,0.0013,
"42",59639,0.0018,0.4951,0.4801,0.0248,46640,0.9201,0.0799,0.0268,0.0211,0.0105,0.0144,0.0009,
"43",59508,-0.0004,0.5431,0.4283,0.0286,48134,0.8938,0.1062,0.0529,0.019,0.0137,0.0147,0.001,
"44",59135,-0.0067,0.6001,0.3695,0.0304,46051,0.8608,0.1392,0.0575,0.039,0.0196,0.0188,0.0015,
"45",59130,-0.0068,0.5683,0.401,0.0307,44717,0.7609,0.2391,0.1109,0.09,0.014,0.0239,0.001,
