ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",178688,0.0005,0.4108,0.5723,0.017,139406,0.9228,0.0772,0.0283,0.0104,0.0162,0.0167,0.0008,
"2",178977,0.0021,0.3879,0.5959,0.0163,138603,0.8711,0.1289,0.0289,0.0169,0.0164,0.0641,0.0008,
"3",178740,0.0008,0.6641,0.3183,0.0176,129076,0.3993,0.6007,0.4521,0.0936,0.0481,0.0384,0.0015,
"4",178779,0.001,0.7868,0.1985,0.0147,132438,0.3804,0.6196,0.0478,0.5062,0.0603,0.0139,0.0012,
"5",178842,0.0014,0.5797,0.4025,0.0178,138816,0.6851,0.3149,0.0524,0.1886,0.0595,0.0148,0.0012,
"6",178072,-0.0029,0.8295,0.1536,0.0169,133862,0.3751,0.6249,0.0678,0.5033,0.0468,0.0176,0.0015,
"7",178883,0.0016,0.6212,0.3592,0.0196,149930,0.7824,0.2176,0.0971,0.0509,0.0484,0.0198,0.0013,
"8",177817,-0.0044,0.4446,0.5402,0.0151,137741,0.8844,0.1156,0.0245,0.0259,0.0477,0.0099,0.0009,
"9",178554,-0.0002,0.3995,0.5815,0.019,139814,0.866,0.134,0.0536,0.0173,0.0435,0.0157,0.001,
"10",178669,0.0004,0.4066,0.5722,0.0212,139041,0.923,0.077,0.0217,0.012,0.0161,0.0188,0.001,
"11",178038,-0.0031,0.3917,0.5915,0.0168,140232,0.8752,0.1248,0.0757,0.0148,0.0119,0.0156,0.0008,
"12",178276,-0.0018,0.3554,0.6316,0.013,145790,0.925,0.075,0.015,0.0052,0.0063,0.0421,0.0009,
"13",179006,0.0023,0.4723,0.5108,0.0169,138432,0.8714,0.1286,0.0556,0.0269,0.0271,0.0148,0.001,
"14",179268,0.0038,0.389,0.5958,0.0153,143317,0.9141,0.0859,0.036,0.0188,0.0087,0.0166,0.0009,
"15",177773,-0.0046,0.5494,0.4318,0.0187,138902,0.8401,0.1599,0.0731,0.0485,0.0157,0.019,0.0012,
"16",178661,0.0004,0.7764,0.2078,0.0158,141586,0.7829,0.2171,0.0743,0.0813,0.0426,0.0173,0.0015,
"17",178069,-0.003,0.4529,0.5303,0.0168,138619,0.9311,0.0689,0.027,0.0126,0.0082,0.0148,0.0008,
"18",179420,0.0046,0.4324,0.5479,0.0197,143649,0.865,0.135,0.0424,0.0439,0.0263,0.0192,0.0011,
"19",179303,0.004,0.4944,0.4839,0.0217,138345,0.8558,0.1442,0.0516,0.0242,0.0448,0.0195,0.0013,
"20",177556,-0.0058,0.316,0.6693,0.0147,139527,0.9282,0.0718,0.0288,0.0139,0.0107,0.0129,0.0009,
"21",179710,0.0062,0.3953,0.5882,0.0165,142561,0.8559,0.1441,0.0614,0.0421,0.0179,0.0175,0.0011,
"22",178509,-0.0005,0.5905,0.3911,0.0185,134998,0.6214,0.3786,0.1793,0.1629,0.0209,0.023,0.0014,
"23",179353,0.0042,0.3874,0.5942,0.0184,136500,0.9258,0.0742,0.0237,0.0131,0.0156,0.0146,0.0008,
"24",178991,0.0022,0.4243,0.5576,0.0181,142001,0.9078,0.0922,0.0334,0.0137,0.0211,0.0188,0.0014,
"25",178118,-0.0027,0.4465,0.5384,0.0151,143580,0.8988,0.1012,0.0148,0.0117,0.0078,0.0584,0.0015,
"26",179281,0.0038,0.8433,0.1401,0.0166,151569,0.7188,0.2812,0.0715,0.0612,0.1329,0.0148,0.0013,
"27",178126,-0.0026,0.6407,0.3418,0.0175,137260,0.8919,0.1081,0.0372,0.0232,0.0265,0.0147,0.0009,
"28",178436,-0.0009,0.4115,0.5744,0.0141,141578,0.8536,0.1464,0.0565,0.0303,0.0415,0.0154,0.0009,
"29",178411,-0.001,0.3892,0.5927,0.0181,138826,0.89,0.11,0.0221,0.0099,0.0412,0.0308,0.0009,
"30",178599,0,0.4523,0.5297,0.0179,136962,0.7995,0.2005,0.0973,0.0367,0.0305,0.0362,0.0011,
"31",178143,-0.0025,0.4724,0.5059,0.0217,140034,0.8982,0.1018,0.0355,0.0138,0.0254,0.0221,0.0012,
"32",177651,-0.0053,0.5233,0.4583,0.0184,139367,0.9103,0.0897,0.0208,0.0184,0.0314,0.013,0.0009,
"33",178999,0.0022,0.381,0.6017,0.0173,139938,0.8784,0.1216,0.0576,0.0189,0.0266,0.013,0.001,
"Summary",178598,0.0121,0.4945,0.4882,0.0173,139767,0.8183,0.1817,0.0616,0.0642,0.0318,0.0216,0.0011,
