ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",18807,0.0485,0.2781,0.6935,0.0284,15450,0.9455,0.0545,0.0097,0.0103,0.0073,0.015,0.0003,
"2",18831,0.0498,0.337,0.6364,0.0266,15171,0.9071,0.0929,0.0135,0.0446,0.0061,0.02,0.0005,
"3",18817,0.0491,0.323,0.6476,0.0295,15644,0.9326,0.0674,0.0093,0.0236,0.0044,0.0159,0.0006,
"4",18830,0.0498,0.3427,0.6313,0.026,14985,0.9309,0.0691,0.0105,0.0214,0.0123,0.0168,0.0008,
"5",18794,0.0478,0.4395,0.5328,0.0277,15240,0.8726,0.1274,0.015,0.0736,0.0131,0.0183,0.001,
"6",18747,0.0451,0.3241,0.6513,0.0246,15177,0.9432,0.0568,0.0112,0.0115,0.0071,0.0181,0.0009,
"7",18828,0.0497,0.2735,0.6994,0.0271,15142,0.9456,0.0544,0.0108,0.0118,0.0042,0.0168,0.0011,
"8",18566,0.0351,0.215,0.7536,0.0314,15044,0.9516,0.0484,0.0061,0.0128,0.0027,0.0193,0.0002,
"9",18524,0.0327,0.2021,0.7711,0.0268,14993,0.9557,0.0443,0.0067,0.0098,0.0024,0.0207,0.0006,
"10",17073,-0.0482,0.2816,0.693,0.0253,13515,0.9406,0.0594,0.009,0.0112,0.008,0.0238,0.0012,
"11",17145,-0.0442,0.3516,0.6226,0.0258,13895,0.9152,0.0848,0.0158,0.0223,0.0206,0.0199,0.0008,
"12",17129,-0.0451,0.37,0.6003,0.0297,13585,0.9053,0.0947,0.0168,0.0354,0.0072,0.0287,0.0009,
"13",17055,-0.0492,0.2712,0.7021,0.0267,13411,0.945,0.055,0.0096,0.0135,0.0058,0.0172,0.0008,
"14",17079,-0.0478,0.2281,0.7452,0.0267,13454,0.9605,0.0395,0.0078,0.0067,0.0054,0.0158,0.0006,
"15",18037,0.0056,0.2704,0.7057,0.0239,14306,0.9537,0.0463,0.0062,0.0045,0.0044,0.025,0.0006,
"16",18735,0.0445,0.2582,0.7209,0.0209,14760,0.9612,0.0388,0.0059,0.0052,0.0037,0.0183,0.0001,
"17",18103,0.0092,0.2942,0.6836,0.0221,14361,0.9564,0.0436,0.0074,0.0091,0.0048,0.0171,0.0001,
"18",17429,-0.0283,0.287,0.6874,0.0255,13709,0.9642,0.0358,0.0058,0.0082,0.0034,0.0139,0.0004,
"19",18791,0.0476,0.3123,0.6633,0.0244,14845,0.9477,0.0523,0.0099,0.0108,0.0049,0.0227,0.0003,
"20",18823,0.0494,0.3193,0.6564,0.0243,14564,0.9186,0.0814,0.0126,0.0205,0.0225,0.0191,0.0006,
"21",18803,0.0483,0.3197,0.6541,0.0262,14297,0.9379,0.0621,0.0124,0.0148,0.0113,0.0178,0.0007,
"22",17068,-0.0485,0.2882,0.6883,0.0235,13613,0.9539,0.0461,0.009,0.007,0.0071,0.0172,0.0005,
"23",17069,-0.0484,0.328,0.6499,0.0221,13586,0.9318,0.0682,0.0104,0.0199,0.0166,0.0153,0.0001,
"24",17052,-0.0493,0.4534,0.5213,0.0253,13534,0.8714,0.1286,0.0168,0.0735,0.0115,0.0245,0.0007,
"25",18791,0.0476,0.6293,0.3413,0.0294,16217,0.7702,0.2298,0.021,0.1534,0.0316,0.0221,0.0014,
"26",17355,-0.0325,0.4385,0.5379,0.0235,13931,0.9024,0.0976,0.0153,0.033,0.0231,0.0192,0.0011,
"27",17560,-0.021,0.3779,0.5971,0.025,13918,0.9306,0.0694,0.0116,0.0218,0.0062,0.0241,0.0011,
"28",17222,-0.0399,0.2842,0.6919,0.024,13514,0.9623,0.0377,0.0058,0.0044,0.0036,0.0181,0.0004,
"29",17069,-0.0484,0.2181,0.7659,0.016,13174,0.9703,0.0297,0.0045,0.005,0.0014,0.0162,0.001,
"30",18695,0.0422,0.2878,0.692,0.0202,14517,0.9644,0.0356,0.0073,0.0061,0.0021,0.0181,0.0003,
"31",18829,0.0497,0.2487,0.7328,0.0185,15060,0.9653,0.0347,0.0059,0.0085,0.0031,0.0136,0.0001,
"32",18484,0.0305,0.3141,0.6654,0.0205,14691,0.9507,0.0493,0.0061,0.0104,0.0038,0.024,0.0008,
"33",18831,0.0498,0.2504,0.7334,0.0161,15045,0.9385,0.0615,0.0058,0.031,0.0021,0.017,0,
"34",18038,0.0056,0.2168,0.7668,0.0164,14328,0.9447,0.0553,0.0056,0.0268,0.0024,0.018,0.0003,
"35",17696,-0.0134,0.2036,0.7828,0.0136,14119,0.9659,0.0341,0.0052,0.0086,0.002,0.0151,0.0006,
"36",18787,0.0474,0.2596,0.7294,0.0111,15462,0.8223,0.1777,0.0234,0.1303,0.0016,0.0195,0.0008,
"37",18707,0.0429,0.2928,0.687,0.0202,14943,0.8356,0.1644,0.0086,0.1289,0.0041,0.0213,0.0007,
"38",18822,0.0493,0.25,0.7282,0.0218,15052,0.8969,0.1031,0.0112,0.0543,0.0107,0.0209,0.0007,
"39",18813,0.0488,0.2234,0.7535,0.023,14978,0.929,0.071,0.0105,0.029,0.0063,0.0215,0.0008,
"40",18809,0.0486,0.2755,0.7045,0.02,15266,0.9238,0.0762,0.0125,0.0358,0.0038,0.0205,0.0007,
"41",18700,0.0425,0.2309,0.7502,0.0189,14816,0.9464,0.0536,0.009,0.0089,0.0082,0.0211,0.0005,
"42",18821,0.0493,0.2359,0.7443,0.0198,14794,0.9444,0.0556,0.0075,0.0193,0.0047,0.0178,0.0005,
"43",18234,0.0165,0.2163,0.7659,0.0178,14143,0.9338,0.0662,0.0103,0.024,0.0085,0.0158,0.0004,
"44",18778,0.0469,0.4547,0.5226,0.0227,14875,0.7271,0.2729,0.0194,0.2017,0.0269,0.0239,0.0014,
"45",17459,-0.0267,0.2903,0.6877,0.022,14222,0.808,0.192,0.0199,0.133,0.0095,0.0255,0.0009,
"46",17407,-0.0296,0.3347,0.6409,0.0244,14205,0.9231,0.0769,0.0138,0.0326,0.0098,0.0164,0.0004,
"47",18023,0.0048,0.3061,0.6702,0.0238,14469,0.9303,0.0697,0.016,0.0261,0.0057,0.0187,0.0003,
"48",17467,-0.0262,0.2554,0.7236,0.021,14110,0.9657,0.0343,0.0042,0.0056,0.0021,0.0174,0.0004,
"49",17080,-0.0478,0.2555,0.7234,0.0211,13636,0.9545,0.0455,0.0077,0.0051,0.0059,0.0229,0.0007,
"50",17267,-0.0374,0.3729,0.6035,0.0236,13813,0.8821,0.1179,0.0141,0.0657,0.0045,0.0249,0.001,
