ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",102975,-0.0241,0.3399,0.6601,0,83612,0.9204,0.0796,0.0112,0.0325,0.0081,0.0171,0.0007,
"2",104256,-0.0119,0.3175,0.6825,0,83207,0.9315,0.0685,0.012,0.0173,0.0114,0.0194,0.0006,
"3",105587,0.0007,0.2768,0.7232,0,84057,0.938,0.062,0.0106,0.016,0.0081,0.0209,0.0008,
"4",104885,-0.0059,0.2864,0.7136,0,82052,0.9475,0.0525,0.0092,0.0112,0.0093,0.0172,0.0004,
"5",106335,0.0078,0.3903,0.6097,0,85746,0.8916,0.1084,0.0135,0.0534,0.0157,0.0211,0.0009,
"6",110696,0.0491,0.2394,0.7606,0,88332,0.8979,0.1021,0.011,0.064,0.0045,0.0194,0.0007,
"7",100341,-0.049,0.2836,0.7164,0,79501,0.9466,0.0534,0.0067,0.0188,0.0037,0.0193,0.0005,
"8",101467,-0.0383,0.405,0.5949,0,81248,0.856,0.144,0.0125,0.0942,0.0093,0.0246,0.0007,
"9",110670,0.0489,0.248,0.752,0,87368,0.8801,0.1199,0.0129,0.0712,0.0104,0.0202,0.0008,
"10",107707,0.0208,0.3003,0.6997,0,86884,0.9337,0.0663,0.0108,0.0252,0.0051,0.0205,0.0005,
"11",102050,-0.0328,0.286,0.714,0,82351,0.9466,0.0534,0.009,0.0158,0.0044,0.019,0.0008,
"12",104886,-0.0059,0.3087,0.6913,0,83406,0.9187,0.0813,0.0169,0.028,0.0079,0.0201,0.0011,
"13",110029,0.0428,0.4524,0.5476,0,92053,0.8503,0.1497,0.0274,0.0583,0.0364,0.0202,0.0017,
"14",101601,-0.0371,0.23,0.77,0,81541,0.9133,0.0867,0.0167,0.0423,0.0045,0.0183,0.0005,
"15",109687,0.0396,0.3088,0.6912,0,85747,0.8655,0.1345,0.0314,0.0622,0.0129,0.0234,0.001,
"16",110246,0.0449,0.4042,0.5958,0,85098,0.8178,0.1822,0.053,0.0813,0.0204,0.0238,0.0013,
"17",100298,-0.0494,0.3848,0.6152,0,80729,0.8952,0.1048,0.0115,0.0501,0.0181,0.0198,0.0008,
"Summary",105513,0.0985,0.3201,0.6799,0,84290,0.9024,0.0976,0.0164,0.0439,0.0113,0.0203,0.0008,
