ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"HD1",9484,0.0194,0.0883,0.8814,0.0303,7272,0.9424,0.0576,0.0153,0.003,0.0052,0.0253,0.0018,
"HD2",9741,0.047,0.1269,0.8331,0.0399,7887,0.8993,0.1007,0.0482,0.0095,0.0074,0.03,0.0025,
"HD3",9436,0.0142,0.0739,0.8892,0.0368,6925,0.8926,0.1074,0.0563,0.0061,0.0064,0.0316,0.0009,
"HD4",8879,-0.0457,0.1908,0.7675,0.0418,7077,0.8846,0.1154,0.0668,0.0041,0.0075,0.0291,0.0025,
"HD5",9759,0.0489,0.1941,0.7696,0.0364,7699,0.8661,0.1339,0.0916,0.0081,0.0055,0.021,0.0005,
"HD6",9732,0.046,0.1268,0.8343,0.0389,7276,0.8784,0.1216,0.0735,0.0059,0.0088,0.0252,0.0007,
"HD7",8933,-0.0399,0.3687,0.5973,0.034,7096,0.8186,0.1814,0.0961,0.0255,0.0244,0.0278,0.0045,
"HD8",8923,-0.0409,0.2687,0.6942,0.0371,6975,0.8735,0.1265,0.0668,0.0096,0.0209,0.0184,0.0026,
"HD9",9015,-0.031,0.3683,0.5847,0.047,6842,0.786,0.214,0.1253,0.0341,0.0281,0.0308,0.0041,
"HD10",8978,-0.035,0.1647,0.7975,0.0378,6809,0.8649,0.1351,0.0777,0.0081,0.0106,0.0288,0.0007,
"HD11",9337,0.0036,0.4546,0.5005,0.045,7681,0.7486,0.2514,0.145,0.045,0.0211,0.0432,0.0042,
"HD12",9336,0.0035,0.3079,0.6383,0.0539,6962,0.71,0.29,0.1969,0.0309,0.0174,0.0527,0.0036,
"HD13",9384,0.0086,0.5339,0.4141,0.052,8044,0.8059,0.1941,0.0925,0.0216,0.0511,0.0244,0.0026,
"HD14",9278,-0.0028,0.4601,0.485,0.0549,7522,0.835,0.165,0.0726,0.0125,0.0465,0.0271,0.0012,
"HD15",9091,-0.0229,0.2833,0.6739,0.0428,6907,0.7145,0.2855,0.2162,0.0175,0.0136,0.0378,0.0017,
"HD16",9623,0.0343,0.687,0.2741,0.039,7661,0.7423,0.2577,0.2,0.0057,0.0269,0.0236,0.0007,
"HD17",8866,-0.0471,0.288,0.6634,0.0486,6782,0.7778,0.2222,0.1539,0.0158,0.015,0.0326,0.0022,
"HD18",8886,-0.0449,0.1741,0.7835,0.0423,6673,0.8771,0.1229,0.0746,0.0054,0.0093,0.0267,0.0037,
"HD19",9174,-0.014,0.1475,0.7993,0.0532,6478,0.8964,0.1036,0.0655,0.0054,0.0043,0.0273,0.0028,
"HD20",9303,-0.0001,0.1599,0.8084,0.0316,7043,0.8951,0.1049,0.0561,0.005,0.0074,0.0221,0.0027,
"HD21",9456,0.0164,0.0852,0.8606,0.0543,6728,0.9276,0.0724,0.0358,0.0031,0.0076,0.0175,0.0019,
"HD22",9522,0.0235,0.4243,0.5379,0.0379,7592,0.8996,0.1004,0.0564,0.004,0.0124,0.0133,0.0013,
"HD23",9547,0.0261,0.566,0.399,0.035,7757,0.8982,0.1018,0.0571,0.0046,0.0169,0.013,0.0017,
"HD24",9031,-0.0293,0.2248,0.735,0.0402,7333,0.9182,0.0818,0.0312,0.0041,0.0101,0.0258,0.0007,
"HD25",9294,-0.0011,0.2001,0.7534,0.0466,7219,0.8763,0.1237,0.0731,0.0054,0.0116,0.0238,0.0035,
"HD26",8999,-0.0328,0.1338,0.8179,0.0483,6712,0.8799,0.1201,0.0729,0.0034,0.0089,0.0299,0.0022,
"HD27",8918,-0.0415,0.1602,0.8,0.0398,6846,0.8503,0.1497,0.1058,0.0039,0.0095,0.0244,0.0025,
"HD28",8875,-0.0461,0.1556,0.8049,0.0395,6933,0.9022,0.0978,0.0415,0.0084,0.0087,0.0361,0.0022,
"HD29",9855,0.0592,0.2731,0.6893,0.0377,7754,0.8872,0.1128,0.0487,0.0077,0.0126,0.0302,0.0022,
"HD30",9808,0.0542,0.2127,0.7547,0.0326,7739,0.8969,0.1031,0.0359,0.0089,0.012,0.0362,0.0016,
"HD31",9358,0.0058,0.109,0.8499,0.0411,6486,0.8548,0.1452,0.0882,0.0082,0.0097,0.0347,0.0008,
"HD32",9668,0.0391,0.1363,0.8253,0.0384,6754,0.8804,0.1196,0.0592,0.0087,0.0138,0.0275,0.0015,
