ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",18279,-0.0493,0.0944,0.8712,0.0344,13704,0.9127,0.0873,0.0414,0.0033,0.0069,0.0269,0.0014,
"2",19742,0.0267,0.162,0.7906,0.0475,15162,0.8933,0.1067,0.0638,0.0037,0.0063,0.0261,0.0013,
"3",18568,-0.0343,0.1673,0.7871,0.0455,14713,0.8853,0.1147,0.0689,0.0075,0.0061,0.0254,0.0016,
"4",21206,0.1029,0.314,0.645,0.041,16704,0.8253,0.1747,0.097,0.0238,0.02,0.0292,0.0035,
"5",19061,-0.0087,0.3539,0.6032,0.0429,14772,0.8136,0.1864,0.0975,0.0337,0.0238,0.0257,0.0041,
"6",22643,0.1776,0.2608,0.6898,0.0494,17077,0.819,0.181,0.1056,0.0222,0.0226,0.0282,0.0025,
"7",18196,-0.0537,0.3682,0.5755,0.0563,13828,0.7417,0.2583,0.1626,0.0357,0.022,0.045,0.0048,
"8",20338,0.0577,0.3933,0.5456,0.0612,15626,0.6857,0.3143,0.2064,0.0481,0.0204,0.0485,0.0035,
"9",16748,-0.129,0.5334,0.4004,0.0662,13927,0.7982,0.2018,0.1109,0.0185,0.0365,0.0312,0.0023,
"10",20076,0.0441,0.4437,0.5021,0.0542,16721,0.831,0.169,0.0782,0.0155,0.0431,0.0259,0.0019,
"11",16360,-0.1492,0.214,0.7393,0.0467,12656,0.7938,0.2062,0.148,0.012,0.0096,0.033,0.0017,
"12",17079,-0.1118,0.2765,0.67,0.0536,12838,0.7698,0.2302,0.1643,0.0149,0.0122,0.0322,0.0033,
"13",19261,0.0017,0.2669,0.6851,0.0479,13809,0.8022,0.1978,0.1315,0.0135,0.0148,0.0305,0.0035,
"14",17529,-0.0884,0.1694,0.7879,0.0427,13125,0.8738,0.1262,0.0753,0.0056,0.0091,0.0263,0.0023,
"15",18889,-0.0176,0.184,0.7619,0.0542,13410,0.8709,0.1291,0.0842,0.0061,0.0084,0.0286,0.0028,
"16",20292,0.0553,0.2466,0.7039,0.0495,15277,0.9165,0.0835,0.0435,0.0038,0.0098,0.0151,0.0026,
"17",19731,0.0262,0.6134,0.3466,0.04,15831,0.8223,0.1777,0.1263,0.0049,0.0215,0.0182,0.0011,
"18",19136,-0.0048,0.19,0.7622,0.0477,15337,0.9169,0.0831,0.0349,0.0036,0.0098,0.0232,0.0007,
"19",18153,-0.0559,0.1662,0.7799,0.0539,13838,0.8767,0.1233,0.0752,0.0044,0.0103,0.0272,0.0028,
"20",16847,-0.1238,0.1573,0.7894,0.0533,13035,0.8742,0.1258,0.0743,0.0064,0.0094,0.0306,0.0025,
"21",20477,0.065,0.2397,0.7163,0.0441,16031,0.9075,0.0925,0.0364,0.0059,0.0099,0.0271,0.0017,
"22",18891,-0.0175,0.1853,0.7738,0.0408,14952,0.9052,0.0948,0.0354,0.0074,0.0092,0.0318,0.0015,
"23",20399,0.0609,0.0983,0.8596,0.0421,14757,0.8708,0.1292,0.0721,0.0077,0.0091,0.0329,0.0007,
"24",20446,0.0634,0.1392,0.8208,0.04,14716,0.8532,0.1468,0.0792,0.011,0.013,0.0352,0.0019,
"25",19335,0.0056,0.4154,0.5366,0.048,14173,0.6256,0.3744,0.0394,0.0092,0.0131,0.3165,0.0024,
"26",19214,-0.0007,0.1806,0.7712,0.0482,14881,0.8192,0.1808,0.0634,0.0085,0.0083,0.1032,0.0021,
"27",22178,0.1534,0.2366,0.7136,0.0498,16527,0.8543,0.1457,0.0735,0.0162,0.0143,0.0354,0.0015,
"28",18782,-0.0232,0.3171,0.631,0.052,14521,0.8484,0.1516,0.0781,0.0181,0.0151,0.0391,0.0028,
"29",19583,0.0185,0.2503,0.6978,0.0518,15056,0.8738,0.1262,0.0662,0.0129,0.0106,0.0317,0.0017,
"30",19412,0.0096,0.1865,0.7686,0.0449,14333,0.8573,0.1427,0.0767,0.0137,0.0103,0.0352,0.0027,
"Summary",19228,0.3268,0.2631,0.689,0.0479,14711,0.8385,0.1615,0.0864,0.0134,0.0148,0.0418,0.0023,
