ID,Total Pop,Devation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",84330,-0.0306,0.3728,0.6076,0.0196,67790,0.7507,0.2493,0.0328,0.1816,0.0114,0.0203,0.0021,
"2",90751,0.0432,0.5475,0.4317,0.0208,71471,0.568,0.432,0.0886,0.3069,0.0186,0.0232,0.0009,
"3",85099,-0.0218,0.3948,0.5825,0.0227,67674,0.6904,0.3096,0.0547,0.2018,0.0343,0.0197,0.0021,
"4",83138,-0.0443,0.401,0.5859,0.0131,63173,0.5417,0.4583,0.1844,0.255,0.0073,0.0215,0.0014,
"5",82953,-0.0465,0.5022,0.4809,0.0169,65833,0.5343,0.4657,0.0481,0.3859,0.0134,0.0231,0.0022,
"6",84016,-0.0342,0.4223,0.5508,0.0269,59980,0.5895,0.4105,0.115,0.2459,0.0252,0.0331,0.0049,
"7",86439,-0.0064,0.4279,0.5485,0.0235,66908,0.655,0.345,0.0788,0.2348,0.0112,0.0241,0.001,
"8",85089,-0.0219,0.569,0.4091,0.0219,67486,0.5114,0.4886,0.0752,0.3813,0.021,0.0174,0.0015,
"9",85154,-0.0212,0.5034,0.4758,0.0207,64787,0.5746,0.4254,0.0536,0.3319,0.0273,0.0173,0.0016,
"10",82910,-0.047,0.4527,0.5278,0.0194,64372,0.5508,0.4492,0.0679,0.3437,0.025,0.0189,0.0024,
"11",85987,-0.0116,0.6406,0.3286,0.0308,71986,0.6546,0.3454,0.079,0.1362,0.1112,0.0172,0.0014,
"12",84745,-0.0259,0.4658,0.5194,0.0148,66970,0.5241,0.4759,0.0719,0.3848,0.0074,0.0172,0.001,
"13",83307,-0.0424,0.3,0.6776,0.0224,68322,0.8202,0.1798,0.045,0.0884,0.0186,0.0248,0.003,
"14",90506,0.0404,0.3578,0.6056,0.0366,72761,0.6302,0.3698,0.16,0.144,0.0394,0.0287,0.0095,
"15",89176,0.0251,0.3461,0.6203,0.0336,65570,0.6381,0.3619,0.105,0.1912,0.0404,0.0343,0.0066,
"16",85097,-0.0218,0.3213,0.6527,0.026,65744,0.7778,0.2222,0.063,0.1172,0.0135,0.027,0.0022,
