state_abbreviation,congressional_district,2018 Two-Party D Share,2018 D-R,All Money,pollster,fte_grade,EndDate,Best Poll Two-Party D Share,Best Poll D-R
AK,1,0.4669369132102869,-6.612617357942614e-2,3751938.0,Public Policy Polling,B,2020-07-08,0.5119047619047619,2.3809523809523808e-2
AZ,6,0.4480696463807663,-0.10386070723846745,4786421.0,GQR Research (GQRR),B,2020-08-12,0.5161290322580645,3.225806451612903e-2
CA,1,0.4511341111271151,-9.77317777457698e-2,2190227.0,Lake Research Partners,B/C,2020-06-14,0.47126436781609193,-5.747126436781609e-2
CA,4,0.4586853522929424,-8.26292954141152e-2,3168385.0,Lake Research Partners,B/C,2020-07-25,0.4827586206896552,-3.4482758620689655e-2
CA,8,0.0,-1.0,4297316.0,Global Strategy Group,B/C,2020-08-05,0.4418604651162791,-0.11627906976744186
CA,21,0.5037934797915786,7.586959583157302e-3,6624262.0,NRCC,,2019-07-02,0.4090909090909091,-0.18181818181818182
CA,25,0.5436613855082401,8.732277101648016e-2,1.5830903e7,Global Strategy Group,B/C,2020-08-30,0.4945054945054945,-1.098901098901099e-2
CA,39,0.5155712315819193,3.114246316383857e-2,5972621.0,Public Opinion Strategies,B+,2020-07-30,0.5108695652173914,2.1739130434782608e-2
CA,48,0.5355199229140655,7.103984582813094e-2,7942078.0,Point Blank Political,C/D,2020-01-24,0.2585034013605442,-0.48299319727891166
CA,50,0.4828451560755937,-3.4309687848812595e-2,1.833994e7,Strategies 360,B/C,2020-07-26,0.4777777777777778,-4.4444444444444446e-2
CA,53,0.6907408647514454,0.38148172950289067,6580758.0,RMG Research,B/C,2020-08-02,1.0,1.0
CO,3,0.45810950752586577,-8.378098494826847e-2,2705204.0,GQR Research (GQRR),B,2020-08-06,0.5058823529411764,1.1764705882352941e-2
FL,4,0.3317929585685812,-0.3364140828628376,1864618.0,St. Pete Polls,C,2020-09-02,0.36174636174636177,-0.2765072765072766
