state_abbreviation,congressional_district,2018 Two-Party D Share,2018 D-R,All Money
AL,1,0.3680120765176075,-0.2639758469647851,7090602.0
AL,2,0.3849740932642487,-0.23005181347150258,5698604.0
AL,3,0.3624172656903946,-0.27516546861921076,1413413.0
AL,4,0.20148474303024524,-0.5970305139395095,1562659.0
AL,5,0.38927859750970434,-0.22144280498059135,1272402.0
AL,6,0.30786596018491225,-0.3842680796301755,1059596.0
AL,7,0.9780453894260506,0.9560907788521011,3177113.0
AR,1,0.29444636537444574,-0.41110726925110846,1081325.0
AR,2,0.467795859179892,-6.44082816402159e-2,3043003.0
AR,3,0.33510231636927784,-0.32979536726144437,2081521.0
AR,4,0.31876606683804626,-0.36246786632390743,1733004.0
AZ,1,0.5384476588578474,7.689531771569483e-2,3237736.0
AZ,2,0.5474644913170772,9.492898263415431e-2,2386085.0
AZ,3,0.6386546195924643,0.27730923918492856,656160.0
AZ,4,0.3091896123469526,-0.38162077530609484,896759.0
AZ,5,0.4057540950093272,-0.18849180998134565,1401801.0
AZ,7,0.8560631877077796,0.7121263754155591,1864781.0
AZ,8,0.4453587994901512,-0.10928240101969751,1402551.0
AZ,9,0.6108557101571322,0.22171142031426438,1589666.0
CA,2,0.7700795483705415,0.5401590967410829,1461877.0
CA,3,0.5807294694102502,0.16145893882050025,1999056.0
CA,5,0.788681240374227,0.5773624807484541,3185780.0
CA,6,1.0,1.0,1149755.0
CA,7,0.550449724270907,0.10089944854181389,2823612.0
CA,9,0.5649148498478306,0.12982969969566105,1080275.0
CA,10,0.5225101397025688,4.502027940513745e-2,7878102.0
CA,11,0.7413242116794411,0.4826484233588822,810349.0
CA,12,0.8682318211636474,0.7364636423272948,1.6965213e7
CA,13,0.8838103765809583,0.7676207531619166,1484999.0
CA,14,0.7922255577667593,0.5844511155335185,2368163.0
CA,15,0.7296754383447642,0.4593508766895285,3909809.0
CA,16,0.5754517029358067,0.15090340587161355,2804614.0
CA,17,0.753473636355026,0.506947272710052,4101788.0
CA,18,0.7449162580482931,0.4898325160965861,2633173.0
